L,excitation_rank,numerical_dimension,exact_dimension,deviation
8,1,0.12583958395624772,0.125,0.0008395839562477247
8,2,0.9873897227955183,1.0,-0.012610277204481712
8,3,1.0779928183793026,1.125,-0.04700718162069739
8,4,1.0779928183793037,1.125,-0.04700718162069628
8,5,1.8026424570721797,2.0,-0.19735754292782026
8,6,1.8026424570721808,2.0,-0.19735754292781915
8,7,1.844233871178503,2.0,-0.1557661288214971
8,8,1.844233871178504,2.0,-0.15576612882149599
8,9,1.844233871178504,2.125,-0.280766128821496
8,10,1.8442338711785051,2.125,-0.2807661288214949
8,11,2.030146052802355,2.125,-0.09485394719764484
10,1,0.1255279538080939,0.125,0.000527953808093895
10,2,0.9918749531645641,1.0,-0.008125046835435912
10,3,1.0941416413191511,1.125,-0.030858358680848852
10,4,1.0941416413191511,1.125,-0.030858358680848852
10,5,1.8955013882164322,2.0,-0.10449861178356779
10,6,1.8955013882164349,2.0,-0.10449861178356512
10,7,1.8955013882164349,2.0,-0.10449861178356512
10,8,1.8955013882164349,2.0,-0.10449861178356512
10,9,1.9027241713471588,2.125,-0.22227582865284123
10,10,1.9027241713471614,2.125,-0.22227582865283857
10,11,2.062755328830211,2.125,-0.06224467116978882
12,1,0.12536347128085873,0.125,0.00036347128085872926
12,2,0.9943367349216048,1.0,-0.005663265078395208
12,3,1.1032619750829091,1.125,-0.02173802491709087
12,4,1.1032619750829125,1.125,-0.02173802491708754
12,5,1.9253982190953711,2.0,-0.07460178090462888
12,6,1.925398219095378,2.0,-0.074601780904622
12,7,1.925398219095378,2.0,-0.074601780904622
12,8,1.9253982190953813,2.0,-0.07460178090461866
12,9,1.9634572464610691,2.125,-0.16154275353893088
12,10,1.9634572464610724,2.125,-0.16154275353892755
12,11,2.0811604788849527,2.125,-0.0438395211150473
16,1,0.12520279668263082,0.125,0.00020279668263081807
16,2,0.9968026095625251,1.0,-0.003197390437474912
16,3,1.1125925194780553,1.125,-0.012407480521944736
16,4,1.1125925194780553,1.125,-0.012407480521944736
16,5,1.956795937399387,2.0,-0.043204062600612936
16,6,1.9567959373993962,2.0,-0.04320406260060383
16,7,1.9567959373994368,2.0,-0.0432040626005632
16,8,1.9567959373994412,2.0,-0.04320406260055876
16,9,2.0295092655286795,2.125,-0.0954907344713205
16,10,2.0295092655286977,2.125,-0.0954907344713023
16,11,2.0999822422735703,2.125,-0.025017757726429668
20,1,0.1251293194826683,0.125,0.00012931948266831084
20,2,0.9979501448796569,1.0,-0.002049855120343058
20,3,1.1170042726456209,1.125,-0.007995727354379145
20,4,1.117004272645734,1.125,-0.007995727354265902
20,5,1.9719566187265793,2.0,-0.028043381273420653
20,6,1.971956618726647,2.0,-0.02804338127335293
20,7,1.9719566187267263,2.0,-0.02804338127327366
20,8,1.9719566187268507,2.0,-0.028043381273149315
20,9,2.0623566945030527,2.125,-0.0626433054969473
20,10,2.0623566945031433,2.125,-0.0626433054968567
20,11,2.1088792258115365,2.125,-0.01612077418846347
