L,U,Delta,delta,n,E_n,E_n_minus_E0,D_n,Delta_D_n,method
6,12.0,2.0,-0.5,0,-2.414086163945638,0.0,0.21452527246434247,0.0,full_ed
6,12.0,2.0,-0.5,1,-1.6800654269545714,0.7340207369910667,0.1492563641750334,-0.06526890828930906,full_ed
6,12.0,2.0,-0.5,2,-1.610833629068712,0.8032525348769262,0.1433792595668979,-0.07114601289744457,full_ed
6,12.0,2.0,-0.5,3,-1.610833629068709,0.803252534876929,0.14337925956689732,-0.07114601289744515,full_ed
6,12.0,2.0,-0.5,4,-0.9566337142836335,1.4574524496620045,0.08730948737052466,-0.1272157850938178,full_ed
6,12.0,2.0,-0.5,5,-0.9025445102868773,1.5115416536587607,0.08168751678784958,-0.1328377556764929,full_ed
6,12.0,2.0,-0.5,6,-0.9025445102868624,1.5115416536587758,0.08168751678784958,-0.1328377556764929,full_ed
6,12.0,2.0,-0.5,7,-0.877841911932682,1.5362442520129562,0.07984799549278898,-0.1346772769715535,full_ed
6,12.0,2.0,-0.5,8,-0.8778419119326819,1.5362442520129562,0.0798479954927888,-0.13467727697155368,full_ed
6,12.0,2.0,-0.5,9,-0.8713025303830042,1.542783633562634,0.07774587311620157,-0.1367793993481409,full_ed
6,12.0,2.0,-0.5,10,-0.826711567581182,1.587374596364456,0.07466410508105588,-0.13986116738328658,full_ed
6,12.0,2.0,-0.5,11,-0.8073783130394262,1.6067078509062118,0.07202971962349439,-0.14249555284084808,full_ed
6,12.0,2.0,-0.5,12,-0.8073783130393997,1.6067078509062385,0.07202971962349435,-0.14249555284084814,full_ed
6,12.0,2.0,-0.5,13,-0.12945050917510464,2.2846356547705335,0.014352615256152002,-0.20017265720819047,full_ed
6,12.0,2.0,-0.5,14,-0.11930027786608387,2.2947858860795542,0.013225676402498106,-0.20129959606184436,full_ed
6,12.0,2.0,-0.5,15,-0.11401732761078529,2.300068836334853,0.01262814641117738,-0.2018971260531651,full_ed
6,12.0,2.0,-0.5,16,-0.11401732761076645,2.3000688363348716,0.012628146411177339,-0.20189712605316512,full_ed
