distance,exact_power_law,exponential_fit,absolute_error,relative_error
1,1.0,0.9999999999999983,1.6653345369377348e-15,1.6653345369377348e-15
2,0.14865088937534013,0.1486732127674426,2.2323392102480133e-05,0.00015017328316222902
3,0.04874348196120343,0.04868889673508237,5.4585226121055264e-05,0.0011198466733357596
4,0.02209708691207961,0.022150801273231484,5.371436115187214e-05,0.0024308344971258906
5,0.011962790249769765,0.011950512492290023,1.22777574797419e-05,0.001026328910178643
6,0.007245761944783737,0.007232092240771735,1.3669704012002348e-05,0.0018865792329602054
7,0.004742205719235527,0.004741697629031638,5.080902038892554e-07,0.00010714216842772538
8,0.0032847516220848223,0.0032893947816917705,4.643159606948239e-06,0.0014135496808130774
9,0.002375927033702164,0.002379541959132754,3.6149254305901067e-06,0.0015214799862592323
10,0.0017782794100389228,0.0017793897557848398,1.1103457459170525e-06,0.000624393298178462
11,0.001368264678315456,0.0013676305599705613,6.341183448946557e-07,0.0004634471348594285
12,0.0010770889572940968,0.0010758219016239945,1.267055670102317e-06,0.0011763704952332458
13,0.0008642826227200463,0.0008631323711708799,1.1502515491663718e-06,0.0013308743215805173
14,0.0007049330977651856,0.0007042166545698735,7.164431953121534e-07,0.001016327928967242
15,0.0005831080507453127,0.0005828507489906562,2.573017546565618e-07,0.0004412591359829207
16,0.00048828125,0.0004883696329690794,8.838296907938501e-08,0.0001810083206745805
17,0.00041330005798268486,0.0004135860793555757,2.860213728908198e-07,0.0006920429053092526
18,0.00035318366665074033,0.0003535387983312528,3.5513168051247435e-07,0.0010055155830964867
19,0.00030438804926809216,0.0003047227311252401,3.346818571479471e-07,0.0010995236440875294
20,0.00026434281586014104,0.0002646067090694448,2.6389320930374216e-07,0.0009982991534877319
21,0.00023115161893187263,0.0002313255296112359,1.73910679363259e-07,0.0007523662614472786
22,0.0002033937613324562,0.00020347955204061492,8.579070815870841e-08,0.00042179616324848656
23,0.00017999003066448938,0.00018000159109068253,1.1560426193147483e-08,6.422814725053694e-05
24,0.00016011023143812524,0.00016006662083777276,4.3610600352478584e-08,0.0002723785979244677
25,0.00014310835055998653,0.00014302919789338988,7.915266659664667e-08,0.0005530960722202466
26,0.00012847638053898645,0.0001283791808627266,9.719967625985678e-08,0.0007565567760555125
27,0.00011581095650839697,0.00011570977478854247,1.0118171985450065e-07,0.0008736800291185263
28,0.00010478893193290843,0.000104694053207162,9.487872574643968e-08,0.0009054269758869782
29,9.514927988462354e-05,9.506743287362308e-05,8.184701100045588e-08,0.0008601958007428141
30,8.66795303452117e-05,8.661441100809295e-05,6.511933711875293e-08,0.0007512654586314358
31,7.92055003783212e-05,7.915841027751657e-05,4.7090100804633044e-08,0.0005945306901630503
32,7.25834420778028e-05,7.255392619785459e-05,2.9515879948211875e-08,0.00040664756455850574
33,6.669398466562124e-05,6.668040420563689e-05,1.3580459984346852e-08,0.00020362346098278897
34,6.143742119800576e-05,6.143743156839299e-05,1.0370387233953234e-11,1.687959395387164e-07
35,5.6730012340473174e-05,5.6740938744525306e-05,1.0926404052132163e-08,0.0001926035902575837
36,5.250106616047621e-05,5.252018215959413e-05,1.9115999117918494e-08,0.0003641068746963729
37,4.869061486110715e-05,4.871533606165608e-05,2.472120054893218e-08,0.000507720032278312
38,4.524755423892675e-05,4.5275561891102625e-05,2.8007652175876866e-08,0.0006189870954788914
39,4.2128144429936165e-05,4.215745388621849e-05,2.9309456282324844e-08,0.0006957215106179139
40,3.929479467759173e-05,3.932378242252848e-05,2.8987744936752866e-08,0.0007376993613172748
41,3.6715072828822024e-05,3.6742473892079856e-05,2.7401063257831838e-08,0.0007463164620586422
42,3.436089373477257e-05,3.438577919388663e-05,2.488545911405579e-08,0.0007242378299628504
43,3.220785090659961e-05,3.2229593144342364e-05,2.174223774275636e-08,0.0006750601834877852
44,3.023466351546528e-05,3.025289506246495e-05,1.8231546999668253e-08,0.0006030014850452252
45,2.8422716752936642e-05,2.8437286981067547e-05,1.4570228130905379e-08,0.0005126261594750607
46,2.6755678136971087e-05,2.676661078537432e-05,1.0932648403230911e-08,0.0004086104021457838
47,2.5219175892585318e-05,2.5226629389946873e-05,7.453497361555706e-09,0.00029554880751464627
48,2.380052830136886e-05,2.3804760065005398e-05,4.231763636536811e-09,0.00017780124806277624
49,2.248851508355014e-05,2.2489850392197176e-05,1.3353086470341323e-09,5.937735960214116e-05
50,2.1273183587779955e-05,2.1271989204814348e-05,1.194382965607647e-09,5.614500343492271e-05
51,2.014568392084333e-05,2.0142346354771484e-05,3.337566071845904e-09,0.0001656715197637325
52,1.9098128230844975e-05,1.9093036331103827e-05,5.09189974114759e-09,0.0002666177375918846
53,1.8123470223124363e-05,1.8117001696956004e-05,6.468526168359052e-09,0.0003569143264906097
54,1.7215401684382046e-05,1.7207913064565883e-05,7.488619816162662e-09,0.00043499535784613145
55,1.63682633528565e-05,1.636008293026426e-05,8.18042259223835e-09,0.000499773397818086
56,1.5576967928518818e-05,1.556839117516262e-05,8.576753356198598e-09,0.0005506048029087869
57,1.4836933388705148e-05,1.4828220426503316e-05,8.712962201831674e-09,0.0005872481848887017
58,1.4144025078272452e-05,1.4135399788918417e-05,8.62528935403431e-09,0.00060981858461805
59,1.3494505292537387e-05,1.348615570933143e-05,8.349583205957293e-09,0.0006187394813631817
60,1.2884989276452504e-05,1.2877068945987847e-05,7.920330464656242e-09,0.0006146943776764142
61,1.2312406733035988e-05,1.230503678065132e-05,7.369952384666861e-09,0.0005985793471955569
62,1.1773968074656286e-05,1.1767239750908197e-05,6.728323748089136e-09,0.0005714576178078819
63,1.12671347677087e-05,1.1261112292783068e-05,6.022474925632124e-09,0.0005345169867757659
64,1.0789593218788873e-05,1.0784316777250226e-05,5.276441538647057e-09,0.0004890306271656954
65,1.033923173212081e-05,1.0334720501529883e-05,4.5112305909266e-09,0.00043632164437436836
66,9.914120136529894e-06,9.910375260314784e-06,3.7448762151093225e-09,0.0003777315751209054
67,9.512491737934205e-06,9.509499175707434e-06,2.9925622267716097e-09,0.00031459288577752754
68,9.13272730201093e-06,9.130460509603482e-06,2.2667924074471895e-09,0.0002482054190918485
69,8.77334081289099e-06,8.771763220095365e-06,1.577592795624127e-09,0.00017981665471220637
70,8.432966788685358e-06,8.43203405544947e-06,9.32733235887992e-10,0.00011060558629727496
71,8.110348964371309e-06,8.110011006347474e-06,3.379580238351557e-10,4.1669973181154386e-05
72,7.804330177908362e-06,7.804532960201533e-06,2.0278229317138613e-10,2.5983305235521674e-05
73,7.51384331710893e-06,7.514530421124238e-06,6.871040153072269e-10,9.144508160593386e-05
74,7.237903203335731e-06,7.239017176104007e-06,1.1139727682759796e-09,0.0001539082158162302
75,6.97559930401828e-06,6.977082802553034e-06,1.4834985347547371e-09,0.00021266968902588354
76,6.7260891796754026e-06,6.727885925025789e-06,1.7967453503862704e-09,0.00026713076535107437
77,6.488592582935514e-06,6.490648139855171e-06,2.055556919657214e-09,0.00031679549815828576
78,6.262386137242792e-06,6.264648535972344e-06,2.2623987295521627e-09,0.0003612678426354995
79,6.046798531761851e-06,6.049218748474395e-06,2.420216712543419e-09,0.00040024761860856016
80,5.841206176645393e-06,5.843738488755908e-06,2.5323121105148033e-09,0.000433525548308776
81,5.645029269476762e-06,5.647631501373321e-06,2.6022318965588875e-09,0.00046097757377971726
82,5.457728229484779e-06,5.460361903387554e-06,2.6336739027747568e-09,0.00048255863832622186
83,5.278800461172313e-06,5.2814308668357665e-06,2.630405663453648e-09,0.0004982960963956363
84,5.107777413405496e-06,5.110373609305595e-06,2.596195900099189e-09,0.0005082828968399064
85,4.944221903864541e-06,4.946756661400491e-06,2.5347575359500996e-09,0.0005126706659280124
86,4.7877256821343866e-06,4.7901753832574375e-06,2.449701123050964e-09,0.0005116627989343946
87,4.637907207677644e-06,4.640251705263957e-06,2.344497586313573e-09,0.0005055076527690043
88,4.494409621538062e-06,4.496632070767512e-06,2.222449229449545e-09,0.0004944919169804076
89,4.356898892916898e-06,4.358985560918722e-06,2.086668001823527e-09,0.0004789342266390131
90,4.2250621237874115e-06,4.227002183875861e-06,1.9400600884497037e-09,0.00045917906804896955
91,4.098605996498885e-06,4.100391312452994e-06,1.7853159541088341e-09,0.00043559101695402985
92,3.977255350901096e-06,3.9788802559451145e-06,1.6249050440187563e-09,0.00040854933884258005
93,3.860751878918791e-06,3.862212953334291e-06,1.4610744155000937e-09,0.0003784429720744628
94,3.7488529257459447e-06,3.750148776391817e-06,1.2958506458722298e-09,0.0003456659067558331
95,3.641330387930771e-06,3.6424614323610932e-06,1.1310444303222108e-09,0.0003106129655444257
