distance,exact_hurwitz,periodized_fit,absolute_error,relative_error
1,1.0000272223661726,1.0000271911275187,3.1238653885878875e-08,3.123780351895306e-08
2,0.1486781971224892,0.14867816591059868,3.1211890516580354e-08,2.0992916998358742e-07
3,0.04877093262343844,0.04877090123316661,3.139027183324261e-08,6.436266469539892e-07
4,0.02212473895190495,0.02212470824251711,3.0709387838223634e-08,1.388011307386727e-06
5,0.011990703446034532,0.011990671233705999,3.221232853373168e-08,2.686441932177439e-06
6,0.007273997797641701,0.007273966954232411,3.084340929014606e-08,4.240228021535254e-06
7,0.004770827877587333,0.004770798280456385,2.959713094746741e-08,6.203772533171968e-06
8,0.0033138263394606174,0.0033137924599683146,3.387949230274773e-08,1.0223677656042229e-05
9,0.0024055236591666437,0.002405492799276907,3.085988973649395e-08,1.2828761678937251e-05
10,0.0018084709214844735,0.0018084410817902547,2.983969421880249e-08,1.6499957983459716e-05
11,0.001399128266477947,0.0013990971465831568,3.111989479022241e-08,2.2242345849077246e-05
12,0.0011087066700138993,0.0011086746770570903,3.199295680895303e-08,2.8856105653763183e-05
13,0.0008967420804198297,0.000896710274725109,3.18056947207386e-08,3.54680519797265e-05
14,0.0007383282928790199,0.0007382970518074513,3.124107156857788e-08,4.231325261389779e-05
15,0.0006175402459769032,0.0006175093424580955,3.090351880766142e-08,5.0042922722832955e-05
16,0.0005238599928950874,0.000523829076378067,3.0916517020410615e-08,5.901675531577044e-05
17,0.00045014433247692433,0.0004501132126820535,3.1119794870854926e-08,6.913292609865351e-05
18,0.00039142320613279736,0.0003913918827074288,3.13234253685726e-08,8.002444637364081e-05
19,0.0003441648404469724,0.0003441334142187982,3.142622817422884e-08,9.131155911630918e-05
20,0.00030581282856092357,0.00030578140915338167,3.141940754189951e-08,0.00010274064593611443
21,0.0002744868041402074,0.0002744554597545667,3.134438564066479e-08,0.00011419268674443867
22,0.0002487843687193614,0.0002487531170021615,3.1251717199926986e-08,0.00012561768796326653
23,0.0002276473079068371,0.0002276161299499284,3.1177956908703605e-08,0.00013695728359530148
24,0.00021026958150190757,0.00021023844201581042,3.113948609715202e-08,0.00014809315676918072
25,0.0001960330405115649,0.00019600190422956406,3.113628200084842e-08,0.00015883180671786572
26,0.0001844619174188649,0.00018443075836533886,3.1159053526046664e-08,0.00016891862538375647
27,0.00017519027370047036,0.00017515907798795676,3.1195712513605546e-08,0.00017806760532232554
28,0.00016793856510123034,0.00016790732954698572,3.1235554244621235e-08,0.00018599393311353473
29,0.000162496757364122,0.0001624654862989752,3.1271065146809855e-08,0.00019244116408266408
30,0.00015871226215949662,0.0001586809641655045,3.1297993992112586e-08,0.00019719959608829668
31,0.00015648152731797158,0.00015645021282602385,3.131449194772925e-08,0.00020011622128468862
32,0.0001557445077040282,0.00015571318768702172,3.1320017006492614e-08,0.0002010986934191744
33,0.00015648152731797158,0.00015645021282602385,3.131449194772925e-08,0.00020011622128468862
34,0.00015871226215949662,0.0001586809641655045,3.1297993992112586e-08,0.00019719959608829668
35,0.000162496757364122,0.0001624654862989752,3.1271065146809855e-08,0.00019244116408266408
36,0.00016793856510123034,0.00016790732954698572,3.1235554244621235e-08,0.00018599393311353473
37,0.00017519027370047036,0.00017515907798795676,3.1195712513605546e-08,0.00017806760532232554
38,0.0001844619174188649,0.00018443075836533886,3.1159053526046664e-08,0.00016891862538375647
39,0.0001960330405115649,0.00019600190422956406,3.113628200084842e-08,0.00015883180671786572
40,0.00021026958150190757,0.00021023844201581042,3.113948609715202e-08,0.00014809315676918072
41,0.0002276473079068371,0.0002276161299499284,3.1177956908703605e-08,0.00013695728359530148
42,0.0002487843687193614,0.0002487531170021615,3.1251717199926986e-08,0.00012561768796326653
43,0.0002744868041402074,0.0002744554597545667,3.134438564066479e-08,0.00011419268674443867
44,0.00030581282856092357,0.00030578140915338167,3.141940754189951e-08,0.00010274064593611443
45,0.0003441648404469724,0.0003441334142187982,3.142622817422884e-08,9.131155911630918e-05
46,0.00039142320613279736,0.0003913918827074288,3.13234253685726e-08,8.002444637364081e-05
47,0.00045014433247692433,0.0004501132126820535,3.1119794870854926e-08,6.913292609865351e-05
48,0.0005238599928950874,0.000523829076378067,3.0916517020410615e-08,5.901675531577044e-05
49,0.0006175402459769032,0.0006175093424580955,3.090351880766142e-08,5.0042922722832955e-05
50,0.0007383282928790199,0.0007382970518074513,3.124107156857788e-08,4.231325261389779e-05
51,0.0008967420804198297,0.000896710274725109,3.18056947207386e-08,3.54680519797265e-05
52,0.0011087066700138993,0.0011086746770570903,3.199295680895303e-08,2.8856105653763183e-05
53,0.001399128266477947,0.0013990971465831568,3.111989479022241e-08,2.2242345849077246e-05
54,0.0018084709214844735,0.0018084410817902547,2.983969421880249e-08,1.6499957983459716e-05
55,0.0024055236591666437,0.002405492799276907,3.085988973649395e-08,1.2828761678937251e-05
56,0.0033138263394606174,0.0033137924599683146,3.387949230274773e-08,1.0223677656042229e-05
57,0.004770827877587333,0.004770798280456385,2.959713094746741e-08,6.203772533171968e-06
58,0.007273997797641701,0.007273966954232411,3.084340929014606e-08,4.240228021535254e-06
59,0.011990703446034532,0.011990671233705999,3.221232853373168e-08,2.686441932177439e-06
60,0.02212473895190495,0.02212470824251711,3.0709387838223634e-08,1.388011307386727e-06
61,0.04877093262343844,0.048770901233166616,3.139027182630372e-08,6.436266468117141e-07
62,0.1486781971224892,0.14867816591059868,3.1211890516580354e-08,2.0992916998358742e-07
63,1.0000272223661726,1.0000271911275187,3.1238653885878875e-08,3.123780351895306e-08
