distance,exact_power_law,exponential_fit,absolute_error,relative_error
1,1.0,1.0000000000355287,3.5528691100239485e-11,3.5528691100239485e-11
2,0.14865088937534013,0.1486508893073312,6.800893181946321e-11,4.575077357777672e-10
3,0.04874348196120343,0.048743482072267544,1.110641162371806e-10,2.27854293063389e-09
4,0.02209708691207961,0.022097086802950125,1.0912948669727918e-10,4.938636804547407e-09
5,0.011962790249769765,0.011962790263132473,1.3362708509156995e-11,1.1170227204655849e-09
6,0.007245761944783737,0.007245762156883272,2.1209953498385614e-10,2.92722196230236e-08
7,0.004742205719235527,0.00474220514388725,5.753482768336426e-10,1.2132503541545902e-07
8,0.0032847516220848223,0.003284752387351805,7.652669825955472e-10,2.329756007882978e-07
9,0.002375927033702164,0.0023759267160187946,3.176833691942438e-10,1.3370922788787428e-07
10,0.0017782794100389228,0.0017782791053674862,3.0467143651707884e-10,1.7132933935866143e-07
11,0.001368264678315456,0.001368264840639673,1.6232421700193567e-10,1.1863510004641917e-07
12,0.0010770889572940968,0.0010770891767973557,2.1950325888517308e-10,2.0379306407208684e-07
13,0.0008642826227200463,0.000864282635545427,1.2825380731398828e-11,1.4839336571450603e-08
14,0.0007049330977651856,0.000704932973271797,1.2449338857977582e-10,1.7660312584903593e-07
15,0.0005831080507453127,0.0005831079448292081,1.0591610466285928e-10,1.816406145095754e-07
16,0.00048828125,0.00048828123472235556,1.5277644438167065e-11,3.128861580936615e-08
17,0.00041330005798268486,0.0004133001125654387,5.4582753844078374e-11,1.3206568155469532e-07
18,0.00035318366665074033,0.000353183735813855,6.916311468853353e-11,1.9582761384299297e-07
19,0.00030438804926809216,0.0003043880912762412,4.2008149020965335e-11,1.3800853588692088e-07
20,0.00026434281586014104,0.00026434281837001925,2.509878210214117e-12,9.49478502771964e-09
21,0.00023115161893187263,0.0002311515922260529,2.6705819738785663e-11,1.1553377762262904e-07
22,0.0002033937613324562,0.00020339372440336432,3.6929091891662463e-11,1.8156452611788917e-07
23,0.00017999003066448938,0.00017999000006558804,3.059890134240323e-11,1.7000331201365895e-07
24,0.00016011023143812524,0.00016011021607896116,1.535916408163321e-11,9.592868577901453e-08
25,0.00014310835055998653,0.00014310835151332957,9.533430360246509e-13,6.661686982584845e-09
