distance,exact_power_law,exponential_fit,absolute_error,relative_error
1,1.0,1.0000000000000067,6.661338147750939e-15,6.661338147750939e-15
2,0.14865088937534013,0.14865088937516682,1.7330581414398694e-13,1.165857902850441e-12
3,0.04874348196120343,0.048743481963627704,2.424276057677588e-12,4.973538943334312e-11
4,0.02209708691207961,0.02209708689397107,1.8108542443329156e-11,8.194990821812773e-10
5,0.011962790249769765,0.01196279033409441,8.432464448926424e-11,7.048911059097367e-09
6,0.007245761944783737,0.007245761691172699,2.5361103841992083e-10,3.50012932183753e-08
7,0.004742205719235527,0.004742206200926342,4.816908148394528e-10,1.0157526757761666e-07
8,0.0032847516220848223,0.0032847511048532743,5.172315479563816e-10,1.5746443185500164e-07
9,0.002375927033702164,0.002375927211323734,1.776215702298245e-10,7.475884895044735e-08
10,0.0017782794100389228,0.001778279591073718,1.8103479522760257e-10,1.0180334665385352e-07
11,0.001368264678315456,0.0013682645841105396,9.420491643707951e-11,6.884992204363577e-08
12,0.0010770889572940968,0.0010770888408854892,1.1640860757972105e-10,1.0807705973717075e-07
13,0.0008642826227200463,0.0008642826263711703,3.651123999491579e-12,4.224456102103341e-09
14,0.0007049330977651856,0.0007049331673465471,6.958136150592154e-11,9.870633358897727e-08
15,0.0005831080507453127,0.0005831080987131473,4.7967834565509904e-11,8.226234315269483e-08
16,0.00048828125,0.0004882812470007406,2.9992594237186754e-12,6.142483299775847e-09
17,0.00041330005798268486,0.0004133000245755986,3.3407086233623595e-11,8.08301029442952e-08
18,0.00035318366665074033,0.00035318363447281323,3.217792709803852e-11,9.110819705560997e-08
19,0.00030438804926809216,0.0003043880363394236,1.2928668552403266e-11,4.247429747485336e-08
20,0.00026434281586014104,0.0002643428228102758,6.950134749401232e-12,2.629212648275042e-08
21,0.00023115161893187263,0.00023115163639123753,1.7459364900010432e-11,7.553209006576863e-08
22,0.0002033937613324562,0.00020339377858692015,1.725446394378223e-11,8.483280819798124e-08
23,0.00017999003066448938,0.00017999004082306795,1.015857856818611e-11,5.643967352348653e-08
24,0.00016011023143812524,0.00016011023265123173,1.2131064924293666e-12,7.576695639829694e-09
25,0.00014310835055998653,0.0001431083447590709,5.800915628927095e-12,4.0535130243818534e-08
26,0.00012847638053898645,0.00012847637136460826,9.174378189655621e-12,7.140906485041922e-08
27,0.00011581095650839697,0.00011581094753024539,8.97815158264377e-12,7.752419851564564e-08
28,0.00010478893193290843,0.00010478892561004484,6.322863592292741e-12,6.033904035152282e-08
29,9.514927988462354e-05,9.514927725675094e-05,2.627872596719545e-12,2.7618418131025906e-08
30,8.66795303452117e-05,8.667953122946777e-05,8.84256060843143e-13,1.0201440378385605e-08
31,7.92055003783212e-05,7.920550380722315e-05,3.4289019513284932e-12,4.329121001635632e-08
32,7.25834420778028e-05,7.258344676902155e-05,4.691218754063718e-12,6.46320788842607e-08
33,6.669398466562124e-05,6.669398939850198e-05,4.732880740424515e-12,7.096413213505557e-08
