distance,exact_hurwitz,periodized_fit,absolute_error,relative_error
1,1.0000272223661726,1.0000271848357134,3.753045918486464e-08,3.752943754477354e-08
2,0.1486781971224892,0.14867810137985638,9.574263282186024e-08,6.439587960767525e-07
3,0.04877093262343844,0.04877107038878911,1.3776535066900575e-07,2.8247430028188176e-06
4,0.02212473895190495,0.022124235434666024,5.035172389242226e-07,2.2758109825330597e-05
5,0.011990703446034532,0.011991205804111726,5.023580771940789e-07,4.1895630181748396e-05
6,0.007273997797641701,0.007273715403000903,2.823946407982253e-07,3.882248093198218e-05
7,0.004770827877587333,0.004770618072306361,2.098052809713924e-07,4.3976703070137496e-05
8,0.0033138263394606174,0.003313857944992527,3.160553190949961e-08,9.537473805777026e-06
9,0.0024055236591666437,0.0024055710287258667,4.736955922304831e-08,1.9691994731599837e-05
10,0.0018084709214844735,0.0018084340335008024,3.688798367110224e-08,2.0397333035812898e-05
11,0.001399128266477947,0.0013990371499074655,9.111657048158951e-08,6.512381506733407e-05
12,0.0011087066700138993,0.0011086136542589756,9.301575492367924e-08,8.389572953729335e-05
13,0.0008967420804198297,0.0008966726931529565,6.93872668731943e-08,7.737706124007151e-05
14,0.0007383282928790199,0.0007382819861405196,4.6306738500233487e-08,6.271835841433908e-05
15,0.0006175402459769032,0.0006175054143548664,3.483162203685251e-08,5.640380892382398e-05
16,0.0005238599928950874,0.000523825375648555,3.4617246532416684e-08,6.608110373366386e-05
17,0.00045014433247692433,0.0004501035554599015,4.0777017022860206e-08,9.058653876298787e-05
18,0.00039142320613279736,0.0003913747593156492,4.844681714816484e-08,0.00012377093741276134
19,0.0003441648404469724,0.000344110264340602,5.4576106370436955e-08,0.00015857548464148194
20,0.00030581282856092357,0.00030575482093118597,5.800762973759942e-08,0.0001896834413734976
21,0.0002744868041402074,0.00027442792735704645,5.8876783160931746e-08,0.00021449768175688908
22,0.0002487843687193614,0.0002487264290903477,5.79396290137325e-08,0.00023289095417039921
23,0.0002276473079068371,0.00022759122963599015,5.607827084695791e-08,0.00024633838793256235
24,0.00021026958150190757,0.00021021555668667368,5.402481523388925e-08,0.00025693119683789896
25,0.0001960330405115649,0.00019598078282339864,5.2257688166275264e-08,0.00026657592021173766
26,0.0001844619174188649,0.00018441091264207338,5.100477679152813e-08,0.0002765057281482637
27,0.00017519027370047036,0.00017513997543904062,5.029826142974271e-08,0.0002871064721078044
28,0.00016793856510123034,0.00016788852071947987,5.00443817504732e-08,0.0002979921956598078
29,0.000162496757364122,0.00016244666938629987,5.0087977822131516e-08,0.00030823986050315205
30,0.00015871226215949662,0.00015866199875303285,5.0263406463769804e-08,0.0003166951675936545
31,0.00015648152731797158,0.0001564310969169005,5.0430401071066945e-08,0.00032227702486947236
32,0.0001557445077040282,0.00015569401096851945,5.049673550876557e-08,0.0003242280338047485
33,0.00015648152731797158,0.0001564310969169005,5.0430401071066945e-08,0.00032227702486947236
34,0.00015871226215949662,0.00015866199875303285,5.0263406463769804e-08,0.0003166951675936545
35,0.000162496757364122,0.00016244666938629987,5.0087977822131516e-08,0.00030823986050315205
36,0.00016793856510123034,0.00016788852071947987,5.00443817504732e-08,0.0002979921956598078
37,0.00017519027370047036,0.00017513997543904062,5.029826142974271e-08,0.0002871064721078044
38,0.0001844619174188649,0.00018441091264207338,5.100477679152813e-08,0.0002765057281482637
39,0.0001960330405115649,0.00019598078282339864,5.2257688166275264e-08,0.00026657592021173766
40,0.00021026958150190757,0.00021021555668667368,5.402481523388925e-08,0.00025693119683789896
41,0.0002276473079068371,0.00022759122963599015,5.607827084695791e-08,0.00024633838793256235
42,0.0002487843687193614,0.0002487264290903477,5.79396290137325e-08,0.00023289095417039921
43,0.0002744868041402074,0.00027442792735704645,5.8876783160931746e-08,0.00021449768175688908
44,0.00030581282856092357,0.00030575482093118597,5.800762973759942e-08,0.0001896834413734976
45,0.0003441648404469724,0.000344110264340602,5.4576106370436955e-08,0.00015857548464148194
46,0.00039142320613279736,0.0003913747593156492,4.844681714816484e-08,0.00012377093741276134
47,0.00045014433247692433,0.0004501035554599015,4.0777017022860206e-08,9.058653876298787e-05
48,0.0005238599928950874,0.000523825375648555,3.4617246532416684e-08,6.608110373366386e-05
49,0.0006175402459769032,0.0006175054143548664,3.483162203685251e-08,5.640380892382398e-05
50,0.0007383282928790199,0.0007382819861405196,4.6306738500233487e-08,6.271835841433908e-05
51,0.0008967420804198297,0.0008966726931529565,6.93872668731943e-08,7.737706124007151e-05
52,0.0011087066700138993,0.0011086136542589756,9.301575492367924e-08,8.389572953729335e-05
53,0.001399128266477947,0.0013990371499074655,9.111657048158951e-08,6.512381506733407e-05
54,0.0018084709214844735,0.0018084340335008024,3.688798367110224e-08,2.0397333035812898e-05
55,0.0024055236591666437,0.0024055710287258667,4.736955922304831e-08,1.9691994731599837e-05
56,0.0033138263394606174,0.003313857944992527,3.160553190949961e-08,9.537473805777026e-06
57,0.004770827877587333,0.004770618072306361,2.098052809713924e-07,4.3976703070137496e-05
58,0.007273997797641701,0.007273715403000903,2.823946407982253e-07,3.882248093198218e-05
59,0.011990703446034532,0.011991205804111726,5.023580771940789e-07,4.1895630181748396e-05
60,0.02212473895190495,0.022124235434666024,5.035172389242226e-07,2.2758109825330597e-05
61,0.04877093262343844,0.04877107038878911,1.3776535066900575e-07,2.8247430028188176e-06
62,0.1486781971224892,0.14867810137985638,9.574263282186024e-08,6.439587960767525e-07
63,1.0000272223661726,1.0000271848357134,3.753045918486464e-08,3.752943754477354e-08
