distance,exact_hurwitz,periodized_fit,absolute_error,relative_error
1,1.0001837038934902,1.0001837015241906,2.369299645366141e-09,2.368864475738797e-09
2,0.14883690938464875,0.14883690701528624,2.36936251174491e-09,1.591918645409127e-08
3,0.04893342938080256,0.04893342701136601,2.369436549742865e-09,4.8421632812688915e-08
4,0.022292677517006174,0.022292675147506217,2.3694999573553588e-09,1.0629050528128638e-07
5,0.012165893719735003,0.012165891350171806,2.3695631966996755e-09,1.9477099268554923e-07
6,0.007458459715060566,0.0074584573456335495,2.3694270165700027e-09,3.1768315538200395e-07
7,0.004966860918098899,0.004966858548500946,2.3695979527518785e-09,4.7708159979218e-07
8,0.0035240959209625225,0.0035240935516044833,2.3693580391941083e-09,6.723307459085776e-07
9,0.0026331709670734805,0.00263316859824714,2.368826340377189e-09,8.996097746778344e-07
10,0.002057255290203835,0.002057252920049906,2.370153929023844e-09,1.1520951922252715e-06
11,0.0016736150706181546,0.0016736127014903525,2.3691278021407275e-09,1.415575088760215e-06
12,0.0014145194985748226,0.001414517129462479,2.369112343586152e-09,1.6748530833071689e-06
13,0.0012409069208668016,0.0012409045509447513,2.3699220502715335e-09,1.909830633079304e-06
14,0.0011297514990118171,0.0011297491291114197,2.3699003974531063e-09,2.0977183031189034e-06
15,0.0010676845784538278,0.001067682209306443,2.3691473847835265e-09,2.2189581385678698e-06
16,0.0010477199857901747,0.0010477176170681501,2.368722024515685e-09,2.2608350099661697e-06
17,0.0010676845784538278,0.001067682209306443,2.3691473847835265e-09,2.2189581385678698e-06
18,0.0011297514990118171,0.0011297491291114197,2.3699003974531063e-09,2.0977183031189034e-06
19,0.0012409069208668016,0.0012409045509447513,2.3699220502715335e-09,1.909830633079304e-06
20,0.0014145194985748226,0.001414517129462479,2.369112343586152e-09,1.6748530833071689e-06
21,0.0016736150706181546,0.0016736127014903525,2.3691278021407275e-09,1.415575088760215e-06
22,0.002057255290203835,0.002057252920049906,2.370153929023844e-09,1.1520951922252715e-06
23,0.0026331709670734805,0.00263316859824714,2.368826340377189e-09,8.996097746778344e-07
24,0.0035240959209625225,0.0035240935516044833,2.3693580391941083e-09,6.723307459085776e-07
25,0.004966860918098899,0.004966858548500946,2.3695979527518785e-09,4.7708159979218e-07
26,0.007458459715060566,0.0074584573456335495,2.3694270165700027e-09,3.1768315538200395e-07
27,0.012165893719735003,0.012165891350171806,2.3695631966996755e-09,1.9477099268554923e-07
28,0.022292677517006174,0.022292675147506217,2.3694999573553588e-09,1.0629050528128638e-07
29,0.04893342938080256,0.048933427011366,2.3694365566817588e-09,4.8421632954491647e-08
30,0.14883690938464875,0.14883690701528624,2.36936251174491e-09,1.591918645409127e-08
31,1.0001837038934902,1.0001837015241906,2.369299645366141e-09,2.368864475738797e-09
