sigma,L,Gamma,R_xi,energy,variance,relative_variance,discarded_weight,sweeps,quality_flags
1.5,32,1.2,1.4511827477684414,-51.731620126784165,2.7500846044858918e-08,1.0276231873856256e-11,3.2353213639570383e-10,13,
1.5,32,1.25,1.3393806764407712,-52.505273864014434,3.822742655756883e-08,1.3866575048206118e-11,5.116707660175267e-10,15,
1.5,32,1.3,1.232059907372653,-53.3154112432915,5.901210897718556e-08,2.0760394830434084e-11,8.15245152785275e-10,17,
1.5,32,1.35,1.1279570204089722,-54.16299277681791,9.013956514536403e-08,3.072629189916528e-11,1.2410841413514163e-09,17,
1.5,32,1.4,1.0255951299292247,-55.04922492276196,1.3559338185586967e-07,4.47441307553143e-11,1.8005262936885696e-09,17,
1.5,32,1.45,0.9232276964467722,-55.97571020902565,2.003007466555573e-07,6.392685560416138e-11,2.520701571924076e-09,17,
1.5,32,1.5,0.819056162527573,-56.944685168995434,2.873716766771395e-07,8.86211883813111e-11,3.3627239184074695e-09,17,
1.5,32,1.55,0.7120891666672017,-57.959314254399054,3.861550794681534e-07,1.1495166733748243e-10,4.375956089718176e-09,17,relative_variance
1.5,32,1.6,0.6038155527597289,-59.02380570589483,4.886151145910844e-07,1.4025310366558126e-10,5.337712555089689e-09,17,relative_variance
1.5,32,1.65,0.4995897427788395,-60.142722981105635,5.705437615688425e-07,1.5773308119491373e-10,5.970376384262547e-09,17,relative_variance
1.5,32,1.7,0.40713318682234645,-61.318836272120706,6.013210622768383e-07,1.5992582797087529e-10,5.9784163726575434e-09,17,relative_variance
1.5,32,1.75,0.3319734830819965,-62.55046347306826,5.35967501491541e-07,1.369863812038113e-10,5.307058422382132e-09,18,relative_variance
1.5,32,1.8,0.27460705791244755,-63.83112405542949,4.334656296123285e-07,1.0638727434807354e-10,4.47046973658137e-09,17,relative_variance
1.5,32,1.85,0.23198845908757412,-65.15211830066,3.3993273973464966e-07,8.008218486885237e-11,3.588954595072877e-09,17,
1.5,32,1.9,0.20027836189208614,-66.50527179714355,2.719198164413683e-07,6.14792715476837e-11,2.818350559921286e-09,17,
1.5,64,1.2,2.0353083016892652,-103.47170490375954,1.4439865481108427e-07,1.3487142229737133e-11,1.157604601114559e-09,17,
1.5,64,1.25,1.876033910232637,-105.01843405984931,2.60493834502995e-07,2.361926464397603e-11,1.6825842241132927e-09,17,
1.5,64,1.3,1.723249291291903,-106.63794731379383,4.583689587889239e-07,4.03080367352346e-11,2.556181776668015e-09,17,
1.5,64,1.35,1.5755733911309349,-108.33199121804891,8.123042789520696e-07,6.921580739269051e-11,3.986594051911436e-09,17,
1.5,64,1.4,1.431633475206295,-110.10259205710233,1.3713142834603786e-06,1.1312065546173104e-10,6.255279600037207e-09,19,relative_variance
1.5,64,1.45,1.2899389166147694,-111.95214014583765,2.464032149873674e-06,1.9659912001898096e-10,9.91808426938036e-09,20,relative_variance
1.5,64,1.5,1.1485641717401833,-113.88353404650651,4.126630301470868e-06,3.18180596233867e-10,1.639516860664342e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.5,64,1.55,1.0043679629192912,-115.90048546231708,7.010869012447074e-06,5.219168797095641e-10,2.8821978773244047e-08,19,relative_variance;discarded_weight
1.5,64,1.6,0.8516178446501581,-118.0082878305809,1.2088372386642732e-05,8.680461427210273e-10,4.60904068273009e-08,19,relative_variance;discarded_weight
1.5,64,1.65,0.6828776608014197,-120.21567851504705,1.852280183811672e-05,1.281694310770294e-09,6.777235715344659e-08,27,relative_variance;discarded_weight
1.5,64,1.7,0.5033541529072149,-122.53717330662602,2.7234786102781072e-05,1.8137952205738432e-09,8.914929042403602e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.5,64,1.75,0.34903192697669483,-124.9864254993453,2.73022069450235e-05,1.7477208148680015e-09,8.647230169989818e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.5,64,1.8,0.2474034513081869,-127.55446167565918,1.9460718249320053e-05,1.1961001822961208e-09,6.624702335596802e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.5,64,1.85,0.1873918018311564,-130.21217666323108,1.2189462722744793e-05,7.189213249956763e-10,4.683900760460712e-08,20,relative_variance;discarded_weight
1.5,64,1.9,0.15076571160778085,-132.93421124232125,7.806931535014883e-06,4.417808074456687e-10,3.323993352998097e-08,20,relative_variance;discarded_weight
1.6,32,1.2,1.3500860266937547,-50.85821038611356,2.9710463422816247e-08,1.1486488389056676e-11,4.978338116878225e-10,15,
1.6,32,1.25,1.2357375756144542,-51.66046349597914,4.7111370804486796e-08,1.7652618862866568e-11,8.155131714721004e-10,17,
1.6,32,1.3,1.1246118448177138,-52.50167590157384,7.39573806640692e-08,2.6830896749130638e-11,1.297820029815175e-09,17,
1.6,32,1.35,1.0148889633468747,-53.38325597779274,1.1467591320979409e-07,4.024038149496009e-11,1.924973625918103e-09,17,
1.6,32,1.4,0.9044207634425845,-54.30711346162815,1.7433922039344907e-07,5.911281756227223e-11,2.750566057782836e-09,17,
1.6,32,1.45,0.7911775743577968,-55.27597234974441,2.5617555365897715e-07,8.384263168726706e-11,3.7233172659447363e-09,17,
1.6,32,1.5,0.6747309694875782,-56.29372577178372,3.40768565365579e-07,1.0753244968842414e-10,4.8403492718601365e-09,17,relative_variance
1.6,32,1.55,0.5586520757382759,-57.36540200505389,4.2678493628045544e-07,1.296907493162401e-10,5.791492368423789e-09,17,relative_variance
1.6,32,1.6,0.4512475125458174,-58.49575745858498,4.851085577683989e-07,1.4177191250850446e-10,6.1986196048414006e-09,17,relative_variance
1.6,32,1.65,0.361325039801448,-59.68608327869259,4.838939275941812e-07,1.358325991799865e-10,5.728173302468462e-09,17,relative_variance
1.6,32,1.7,0.29231781398794154,-60.931811759254366,4.1683051676955074e-07,1.1227196488410713e-10,4.9658006198987765e-09,17,relative_variance
1.6,32,1.75,0.241786152895175,-62.22410957140063,3.189097697031684e-07,8.236646793046208e-11,4.008428988197718e-09,17,
1.6,32,1.8,0.2050638717480732,-63.55356950153222,2.467709236952942e-07,6.109618477605993e-11,3.105737263007412e-09,18,
1.6,32,1.85,0.17795331040266063,-64.91242202555331,1.8072660168400034e-07,4.2891027912208225e-11,2.3397167924244393e-09,19,
1.6,32,1.9,0.15743300019784695,-66.29487735962874,1.3048156688455492e-07,2.9688565941530056e-11,1.7905239322177236e-09,17,
1.6,64,1.2,1.8913068957248689,-101.72194194961679,2.0451443560887128e-07,1.9764902795940512e-11,1.6922519778759521e-09,17,
1.6,64,1.25,1.7284994162886766,-103.32584629594123,3.7323297874536365e-07,3.49592469269793e-11,2.602233136280102e-09,17,
1.6,64,1.3,1.570915783774155,-105.00730942739844,6.870941433589906e-07,6.231278831395039e-11,4.1921443333940375e-09,17,
1.6,64,1.35,1.4168664709700742,-106.76870219240999,1.2788750609615818e-06,1.121863945407594e-10,6.9139156141349395e-09,18,relative_variance
1.6,64,1.4,1.264413732409723,-108.61286891605609,2.3245775082614273e-06,1.9705227838446258e-10,1.1467220837463063e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.6,64,1.45,1.110808696413646,-110.54334689781192,3.885314072249457e-06,3.179515248192993e-10,1.9956088872667342e-08,21,relative_variance;discarded_weight
1.6,64,1.5,0.951085967544165,-112.56487569237883,7.068991180858575e-06,5.578939447054093e-10,3.567947216674782e-08,19,relative_variance;discarded_weight
1.6,64,1.55,0.7764863922012928,-114.6847675895497,1.279051139135845e-05,9.724704896285398e-10,5.664957785195471e-08,21,relative_variance;discarded_weight
1.6,64,1.6,0.5821480244778371,-116.9159161855005,1.9610708477557637e-05,1.434650153779464e-09,8.459761547670785e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.6,64,1.65,0.3970045639177055,-119.27662780484194,2.300596133864019e-05,1.6170732060982773e-09,9.31119200953169e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.6,64,1.7,0.2682118619388869,-121.77001380841746,1.785238964657765e-05,1.2039699476752076e-09,7.536229034421502e-08,19,relative_variance;discarded_weight
1.6,64,1.75,0.19444338243178386,-124.3691493781372,1.104658622352872e-05,7.14171900779377e-10,5.290329767451688e-08,19,relative_variance;discarded_weight
1.6,64,1.8,0.15180343641246394,-127.04355108683933,6.853111699456349e-06,4.246025141836594e-10,3.672482704283969e-08,23,relative_variance;discarded_weight
1.6,64,1.85,0.1250729818243626,-129.7737278935622,4.555866325972602e-06,2.705187749974469e-10,2.5840814956186443e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.6,64,1.9,0.10695654222880133,-132.54794010727932,2.973840310005471e-06,1.6926675880924507e-10,1.877450659392713e-08,19,relative_variance;discarded_weight
1.7,32,1.2,1.2543250010364773,-50.11967307569647,3.559262040653266e-08,1.4169140407949472e-11,7.645523910044045e-10,17,
1.7,32,1.25,1.1359571572237646,-50.94969164849123,5.7729721447685733e-08,2.2239055673067988e-11,1.2669616030265042e-09,17,
