sigma,L,Gamma,ground_chi,ground_energy,ground_variance,ground_relative_variance,ground_discarded_weight,ground_sweeps,ground_runtime_seconds,ground_flags,excited_chi,excited_energy,excited_variance,excited_relative_variance,excited_discarded_weight,excited_sweeps,excited_runtime_seconds,excited_flags,gap
1.6,32,1.65,64,-59.68608327869259,4.838939275941812e-07,1.358325991799865e-10,5.728173302468462e-09,17,37.739961346997006,relative_variance,128,-59.527825760322195,2.4901964934542775e-09,7.027382237193916e-13,6.830028193084582e-10,13,98.01181856599578,,0.15825751837039803
1.6,32,1.7,64,-60.931811759254366,4.1683051676955074e-07,1.1227196488410713e-10,4.9658006198987765e-09,17,38.460525702997984,relative_variance,128,-60.68772260021549,2.517936081858352e-09,6.836644866845034e-13,1.0797121622941981e-09,13,98.11792749899905,,0.24408915903887873
1.6,64,1.65,64,-119.27662780484194,2.300596133864019e-05,1.6170732060982773e-09,9.31119200953169e-08,31,132.63615317499352,relative_variance;discarded_weight;sweep_cap,128,-119.20328596108976,2.5967347028199583e-07,1.827473664947088e-11,4.1656033995643164e-08,17,286.0101225690014,discarded_weight,0.0733418437521749
1.6,64,1.7,64,-121.77001380841746,1.785238964657765e-05,1.2039699476752076e-09,7.536229034421502e-08,19,99.93819579199771,relative_variance;discarded_weight,128,-121.60552326704514,2.8546128305606544e-07,1.9303702321843364e-11,5.565085452859565e-08,17,288.17734729199583,discarded_weight,0.16449054137231656
1.75,32,1.55,64,-56.74317435103639,3.663844836410135e-07,1.1379149880906443e-10,5.937403050680225e-09,18,42.50257936799608,relative_variance,128,-56.60513830423994,1.667558535700664e-09,5.204384515324194e-13,1.3334526846475039e-10,15,107.86837113299407,,0.13803604679645076
1.75,32,1.6,64,-57.96737399694512,3.1345234674517997e-07,9.328337968295434e-11,5.057321822043362e-09,18,42.21793452400016,,128,-57.74610377132218,1.6298145055770874e-09,4.887567911418705e-13,1.397615945370106e-10,15,109.95940224199876,,0.22127022562293774
1.75,64,1.55,64,-113.40900966885026,1.6444993889308535e-05,1.2786114828111232e-09,8.60508139208881e-08,21,108.18338665000192,relative_variance;discarded_weight,128,-113.34158098627687,1.886965037556365e-07,1.468876629066722e-11,4.915362794011712e-09,18,323.4228984799993,,0.06742868257339296
1.75,64,1.6,64,-115.86270668398153,1.2092164979549125e-05,9.007758291132461e-10,6.719236845551719e-08,20,105.08229587800452,relative_variance;discarded_weight,128,-115.70440425056275,2.1235973690636456e-07,1.5862527847497783e-11,5.666915017464123e-09,18,320.78022355899884,,0.15830243341878258
1.8,32,1.5,64,-55.399475040035114,3.338741407787893e-07,1.0878561832086514e-10,6.150685508920293e-09,18,42.73313497700292,relative_variance,128,-55.29522358376029,5.026322469348088e-09,1.6438989228628037e-12,1.2766444357177902e-10,15,115.64452184199763,,0.1042514562748238
1.8,32,1.55,64,-56.59236802724369,3.0839964892948046e-07,9.629375921947259e-11,5.412075195287515e-09,18,42.37758631100587,,128,-56.414320721736686,5.505171429831535e-09,1.7297849767061226e-12,1.3772574581340606e-10,15,115.3884292799994,,0.17804730550700043
1.8,64,1.5,64,-110.73040529795537,1.462983709643595e-05,1.193179302355088e-09,8.404889166297061e-08,20,108.87043490199721,relative_variance;discarded_weight,128,-110.68994695036936,1.5371188055723906e-07,1.2545589622666476e-11,4.454179387341474e-09,18,335.90849918800086,,0.040458347586010746
1.8,64,1.55,64,-113.11372296435378,1.278026684303768e-05,9.988708243533749e-10,7.481055375625764e-08,23,116.61307916200167,relative_variance;discarded_weight,128,-112.99961283718443,1.8917307897936553e-07,1.4815128458223213e-11,5.524886421210484e-09,18,325.13770785499946,,0.11411012716935431
2.0,32,1.4,64,-52.498664700521545,2.3297025109059177e-07,8.452865393268525e-11,6.222706722892131e-09,17,39.10633057799714,,128,-52.412024528755396,8.108145266305655e-10,2.951614599074015e-13,1.1743933150461137e-10,13,91.84571898500144,,0.08664017176614891
2.0,32,1.45,64,-53.66427124368742,2.1670712158083916e-07,7.524934283825194e-11,5.415326692816247e-09,17,39.13416601499921,,128,-53.50741554600344,8.813003660179675e-10,3.078194097819973e-13,1.2968485386081172e-10,13,94.22312654500274,,0.1568556976839801
2.0,64,1.4,64,-104.94251373339101,9.771134500624612e-06,8.87241946146505e-10,9.425925067224422e-08,19,97.41634010899725,relative_variance;discarded_weight,128,-104.90819702418443,9.750874596647918e-08,8.859816451344729e-12,4.369854452906828e-09,17,281.01525103399763,,0.034316709206578366
2.0,64,1.45,64,-107.27411689656822,8.233966582338326e-06,7.155157600732075e-10,8.39876296112254e-08,19,98.03656549599691,relative_variance;discarded_weight,128,-107.16778751281234,1.1951851774938405e-07,1.0406547453286169e-11,5.647102411290998e-09,17,276.34045096599584,,0.10632938375587742
