distance,exact,compact,absolute_error,relative_error
1,1.0000338874377797,1.0000338876158517,1.7807200158870273e-10,1.7806596738931216e-10
2,0.15392704110484784,0.15392704126740214,1.6255430335121446e-10,1.0560477365409118e-09
3,0.05153005534971855,0.05153005558027906,2.3056050818537344e-10,4.4742918791883794e-09
4,0.023717472024037605,0.023717471986060036,3.7977569006253376e-11,1.6012486055749616e-09
5,0.0129999653085801,0.012999965996898441,6.883183415601346e-10,5.294770603009518e-08
6,0.007959958214352945,0.007959957650849371,5.635035736639704e-10,7.07922778599381e-08
7,0.005262351735494621,0.005262352251065634,5.15571012965621e-10,9.797349908940689e-08
8,0.003680758965624466,0.0036807596554616056,6.898371396682479e-10,1.8741709145065202e-07
9,0.0026885485945177447,0.0026885481199908695,4.745268752590071e-10,1.7649927407918947e-07
10,0.0020326929842777145,0.0020326929463710215,3.790669297551452e-11,1.8648508785493776e-08
11,0.0015807834260955062,0.0015807839515195599,5.254240536579913e-10,3.3238206131486017e-07
12,0.0012587109412497946,0.0012587113731589714,4.319091768262284e-10,3.431361106604657e-07
13,0.0010226782864375973,0.001022678385382295,9.894469770420355e-11,9.675056077397321e-08
14,0.0008456127131644662,0.0008456126646914427,4.847302355510952e-11,5.732295979055583e-08
15,0.0007101360820648106,0.0007101361115580066,2.94931960798106e-11,4.1531752610084815e-08
16,0.0006047292031861519,0.0006047293837361301,1.8054997828840375e-10,2.985633525504235e-07
17,0.0005215426025140964,0.0005215428799740623,2.774599659185681e-10,5.319986604758119e-07
18,0.00045509771981492436,0.0004550980058805601,2.8606563575199126e-10,6.285806834372324e-07
19,0.0004014900569089497,0.00040149029320100027,2.3629205059619296e-10,5.885377396775221e-07
20,0.0003578856961893591,0.00035788587015103364,1.7396167454686653e-10,4.860816635008027e-07
21,0.00032219482639421303,0.0003221949573683085,1.3097409544719427e-10,4.065058924532337e-07
22,0.00029285513053369866,0.0002928552483079226,1.1777422391284417e-10,4.021586499038369e-07
23,0.0002686851134497024,0.0002686852423135353,1.2886383290739573e-10,4.796091277737236e-07
24,0.00024878298985192386,0.0002487831417378177,1.5188589383603734e-10,6.105155900185946e-07
25,0.0002324558857624636,0.00023245606064438575,1.7488192214894574e-10,7.523230550834486e-07
