L,sector,Gamma,energy,variance,relative_variance,discarded_weight,requested_chi,reached_chi,sweeps,wall_seconds,gap
16,even,1.5738504887054727,-28.727952919672923,7.958078640513122e-13,9.642704670006458e-16,1.1605759103384152e-13,128,128,14,20.246355513998424,0.30142209727391034
16,odd,1.5738504887054727,-28.426530822399013,0.0,0.0,1.217706048388744e-13,128,128,14,20.983285113004968,0.30142209727391034
32,even,1.5738504887054727,-57.32018690104749,1.425632945029065e-09,4.3390287459084543e-13,7.204697884788392e-11,128,128,14,96.60762299499766,0.17534293425457292
32,odd,1.5738504887054727,-57.14484396679292,1.6702870198059827e-09,5.114898307888806e-13,8.066287163944866e-10,128,128,15,100.7777161289996,0.17534293425457292
64,even,1.5738504887054727,-114.56322399739832,2.1859523258171976e-07,1.665521457558934e-11,2.3906273138905533e-09,128,128,18,301.2789797279984,0.10614546598533536
64,odd,1.5738504887054727,-114.45707853141299,2.0060542738065124e-07,1.5312897151940944e-11,5.4928677933304723e-08,128,128,18,297.01133615001163,0.10614546598533536
96,even,1.5738504887054727,-171.8218622909671,1.6581798263359815e-06,5.616616655697794e-11,9.780637406988624e-09,128,128,22,544.2774056799972,0.0818121973100574
96,odd,1.5738504887054727,-171.74005009365703,2.5789631763473153e-08,8.743835341280873e-13,8.161927833495935e-10,256,256,17,1429.525654317,0.0818121973100574
128,even,1.5738504887054727,-229.08489065422012,5.51380799151957e-06,1.0506516483687316e-10,5.940852256847882e-08,128,128,21,735.8292596889951,0.06948948304440705
128,odd,1.5738504887054727,-229.0154011711757,1.1651718523353338e-07,2.2215730881491812e-12,2.6881496869120067e-09,256,256,18,2035.2104832310001,0.06948948304440705
