model,sigma,chi,poles,L,L_pair,Gamma_low,Gamma_high,Gamma_crossing,interpolation_half_width
long_range,1.75,32,16,16,[16, 32],1.56,1.58,1.5684815545751685,0.010000000000000009
long_range,1.75,64,12,32,[32, 64],1.56,1.57,1.5637356502249102,0.0050000000000000044
long_range,1.75,64,16,8,[8, 16],1.58,1.6,1.5857245949346217,0.010000000000000009
long_range,1.75,64,16,16,[16, 32],1.56,1.57,1.56809952636659,0.0050000000000000044
long_range,1.75,64,16,24,[24, 48],1.56,1.57,1.5649502192338622,0.0050000000000000044
long_range,1.75,64,16,32,[32, 64],1.56,1.565,1.563584148264277,0.0024999999999999467
long_range,1.75,128,16,32,[32, 64],1.5609,1.56395,1.5635527530282631,0.0015249999999999986
long_range,2.0,32,16,16,[16, 32],1.42,1.44,1.4272250660349701,0.010000000000000009
long_range,2.0,64,12,32,[32, 64],1.42,1.43,1.423350819424096,0.0050000000000000044
long_range,2.0,64,16,8,[8, 16],1.44,1.46,1.4411197878696254,0.010000000000000009
long_range,2.0,64,16,16,[16, 32],1.42,1.43,1.4268735696798858,0.0050000000000000044
long_range,2.0,64,16,24,[24, 48],1.42,1.43,1.4243296163896693,0.0050000000000000044
long_range,2.0,64,16,32,[32, 64],1.42,1.4249999999999998,1.4232026087899308,0.0024999999999999467
long_range,2.0,128,16,32,[32, 64],1.4208,1.4239000000000002,1.4231683893557967,0.0015500000000000513
nn,nothing,64,nothing,16,[16, 32],0.99,1.0,0.9979780577490796,0.0050000000000000044
nn,nothing,64,nothing,24,[24, 48],0.99,1.0,0.9989289575804409,0.0050000000000000044
nn,nothing,64,nothing,32,[32, 64],0.99,1.0,0.9993397770454178,0.0050000000000000044
