source_cell_id,model,sigma,L,Gamma,chi,poles,excited,normalized_ground_variance,convergence_residual,reason,recommended_action
stage1-0b23224a42d8bb8622a6b9cfdbb380c4,nn,,64,1.0,64,,true,1.2204915063821637e-10,8.851364086126523e-12,finite_chi_limit,chi128_manual_review
stage1-16e795118093d64eef90a9e23662a650,long_range,1.75,32,1.54,64,16,false,1.189797674013694e-10,1.3751222383007189e-12,finite_chi_limit,chi128_manual_review
stage1-433e0bda651d6fe7f85ed6cec024bdbe,long_range,1.75,32,1.52,64,16,false,1.206971366173138e-10,1.3210543770014738e-12,finite_chi_limit,chi128_manual_review
stage1-4ebef3162d3dfe862fcbf9d001e3ad0d,long_range,1.75,32,1.6,64,16,false,1.0178214254787683e-10,1.2954082251326327e-12,finite_chi_limit,chi128_manual_review
stage1-735fad2e14befcaed8cf93fb7c387629,long_range,2.0,64,1.38,64,16,false,8.604262119449694e-10,5.544742442964434e-11,finite_chi_limit,chi128_manual_review
stage1-8cf1e2dc39c720d5a080f665b6e644fd,long_range,1.75,64,1.58,64,16,false,1.1167626005693015e-9,4.2057690663455105e-11,finite_chi_limit,chi128_manual_review
stage1-a6dd08c83cfd9ac36cab71a58aae5782,long_range,1.75,64,1.6,64,16,false,9.254869017881017e-10,3.616962285235559e-11,finite_chi_limit,chi128_manual_review
stage1-c3166ba840bb4a7779b41bcf2532e632,nn,,64,1.0,64,,false,1.2204915063821637e-10,8.851364086126523e-12,finite_chi_limit,chi128_manual_review
stage1-f32cc7471e553f9cb5bd0d392655caa5,long_range,1.75,64,1.54,64,16,false,1.3423076899993576e-9,5.5961235645440865e-11,finite_chi_limit,chi128_manual_review
stage2-first-pass-01376fc72c30bc80f5513c9fce495b8f,long_range,1.75,64,1.58,64,12,false,1.116768115141186e-9,4.0328629324903886e-11,finite_chi_limit,chi128_manual_review
stage2-first-pass-12847d8b6681f7f49f6e9f293e7ba6bd,long_range,1.75,64,1.52,64,12,false,1.2936375812141966e-9,6.010580921866904e-11,finite_chi_limit,chi128_manual_review
stage2-first-pass-28f1996e782c56efb92c353272c9e1ef,long_range,1.75,64,1.6,64,12,false,9.255069559838565e-10,3.644129442648136e-11,finite_chi_limit,chi128_manual_review
stage2-first-pass-4975650210ca4e9a699380de03374cf6,long_range,2.0,48,1.46,64,16,false,3.2833759214330463e-10,7.3595574079377e-12,finite_chi_limit,chi128_manual_review
stage2-first-pass-55a2561475579f757822c2962629728b,long_range,1.75,48,1.6,64,16,false,4.5724143416675093e-10,7.950862190853059e-12,finite_chi_limit,chi128_manual_review
stage2-first-pass-8985a0fce6d5a494b5217c9e1349fb71,long_range,1.75,64,1.57,64,16,false,1.2033379162461201e-9,4.506739426091144e-11,finite_chi_limit,chi128_manual_review
stage2-first-pass-bd0ff2dcb8169e784c21a8bd5523f251,long_range,1.75,32,1.6,64,12,false,1.0177605256967081e-10,1.2949641359227826e-12,finite_chi_limit,chi128_manual_review
stage2-first-pass-db162f2897d89c09aa0bb4f1529a4907,long_range,1.75,32,1.54,64,12,false,1.1898631903530254e-10,1.3752332606031814e-12,finite_chi_limit,chi128_manual_review
stage2-first-pass-e1cf3fb2b7b29e7b58c04cfd9bd9552f,long_range,1.75,48,1.58,64,16,false,5.312374222388895e-10,9.359957253707307e-12,finite_chi_limit,chi128_manual_review
