cell_id,tier,reason,resource_class,model,sigma,L,Gamma,chi,poles
chi128-retry-11f42c66d34a9d51f46fac8a711a7630,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,2.0,32,1.4249999999999998,128,16
chi128-retry-3c1dde5f4ffbbe9a9f3ee87622e5f548,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,2.0,32,1.42,128,16
chi128-retry-4a0e1a3851a8db3c1cad985917f691e9,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,1.75,64,1.56,128,16
chi128-retry-6b67bbe28eab864d185621108e0c4b2f,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,1.75,64,1.565,128,16
chi128-retry-7dec6f9d7001851e4ed13301e813e3eb,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,1.75,32,1.565,128,16
chi128-retry-f5f3f57d7c0c5a065fcd0043ca4b0740,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,2.0,64,1.4249999999999998,128,16
chi128-retry-fa4419592715007335f102db44b4a5dc,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,2.0,64,1.42,128,16
chi128-retry-fd005da531a83536ab1e66c8f9e45ce6,chi128_retry,manually review bond-dimension drift at the current largest-size crossing endpoints,B,long_range,1.75,32,1.56,128,16
remaining-adaptive-08ad2003f47747fc3df6358df60a7cf2,remaining_adaptive,refine the current largest-size crossing midpoint,A,long_range,2.0,32,1.4224999999999999,64,16
remaining-adaptive-58c59a7e9b181fdc561c41f3a875b457,remaining_adaptive,refine the current largest-size crossing midpoint,A,long_range,2.0,64,1.4224999999999999,64,16
remaining-adaptive-7c18b0679911fa1ba82f9eda73c624cf,remaining_adaptive,refine the current largest-size crossing midpoint,A,long_range,1.75,64,1.5625,64,16
remaining-adaptive-8260b2c973379e5adb0b30bfbc16d5da,remaining_adaptive,refine the current largest-size crossing midpoint,A,long_range,1.75,32,1.5625,64,16
