model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
long_range,2.0,48,1.46,64,16,34,"{""max_absolute"":3.8797343115959393e-10,""max_relative"":5.472232874755494e-10,""rms_relative"":2.998126520572872e-10}",-80.82828027489296,,,2.1450987333082594e-6,,3.2833759214330463e-10,,,7.3595574079377e-12,0.2693502914570846,,,,,,,294.00716614723206,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.4208,128,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.97545804818874,,,8.826646080706269e-10,,3.1451855534070463e-13,,,4.6629367034256575e-15,0.3640686618885734,,,,,,,318.87602400779724,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,32,1.02,64,,4,,-41.1756131247712,,,3.6070559872314334e-9,,2.1275155049143047e-12,,,6.161737786669619e-14,0.3282731659169952,,,,,,,218.1645691394806,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,8,1.52,64,16,34,"{""max_absolute"":2.0816681711721685e-17,""max_relative"":4.3903717715005326e-16,""rms_relative"":2.0239724628135877e-16}",-14.150588315682192,,,8.978588539321208e-9,,4.483932614412975e-11,,,8.881784197001252e-16,0.34832250577925644,-14.150588316455336,-13.702639557530896,0.44794875892443997,0.3483220340748962,5.4636832748383825e-11,4.7170436023868945e-7,193.98437809944153,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,64,1.02,64,,4,,-82.32898941691809,,,6.774498615413904e-7,,9.994742032847968e-11,,,9.4840801878604e-12,0.27237417573667055,,,,,,,238.50703501701355,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,8,1.58,64,16,34,"{""max_absolute"":2.0816681711721685e-17,""max_relative"":4.3903717715005326e-16,""rms_relative"":2.0239724628135877e-16}",-14.51241281895677,,,7.078227781676105e-9,,3.360820261539913e-11,,,6.661338147750939e-16,0.31937496781571406,-14.512412819555339,-13.976196960433937,0.5362158591214019,0.3193743398829557,4.12452645520875e-11,6.279327583458283e-7,193.29304814338684,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.5609,128,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.00523020441192,,,1.520675141364336e-9,,4.679581753263216e-13,,,1.1872791638722902e-10,0.34273742205145336,,,,,,,276.1609261035919,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.4,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-104.94251350004953,,,1.008195431495551e-5,,9.154651188732262e-10,,,1.8965273795856774e-11,0.4608962294260647,,,,,,,14329.884160995483,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.38,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-104.05488020883213,,,9.316194336861372e-6,,8.604262119449694e-10,,,5.544742442964434e-11,0.5633030961884777,,,,,,,332.93430495262146,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.52,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.084066460840322,,,3.668499175546458e-7,,4.6512367040881226e-10,,,6.8937078268049845e-12,0.37593264163997386,-28.08406647994049,-26.524412898731754,1.5596535812087353,0.37593269370046867,6.801068782246959e-10,5.2060494803995994e-8,207.16507697105408,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.4239000000000002,128,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.04753055625611,,,8.931237971410155e-10,,3.1738128777416957e-13,,,3.885780586188048e-15,0.3577953527538497,,,,,,,356.857666015625,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,48,1.0,64,,4,,-61.126407805894594,-61.0936799643382,0.032727841556393855,1.0952908269246109e-7,8.280812835437246e-8,2.931377171800068e-11,2.2186070956690284e-11,,9.632517006252783e-12,0.39507886786023444,,,,,,,291.6144151687622,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.565,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.104526028270925,,,3.6544179238262586e-7,,1.1206684614021577e-10,,,2.22472040789512e-10,0.3360746435521595,,,,,,,247.17703080177307,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.42,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.95689835606454,,,2.8187969746795716e-5,,1.0051218519955276e-8,,,1.6627299537219642e-10,0.3657044311796807,,,,,,,222.33142399787903,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,48,1.4,64,16,34,"{""max_absolute"":3.8797343115959393e-10,""max_relative"":5.472232874755494e-10,""rms_relative"":2.998126520572872e-10}",-78.71749892957224,,,2.6639108909876086e-6,,4.29909576657608e-10,,,7.715938998842375e-12,0.43530602017108055,,,,,,,373.9885718822479,486b2673baa11d44a1048fbf9fd36751189889d7
