method,lattice,beta,u,u_se,c,role
ED,4x4 open,0.025,-0.2618264106708456,,0.006512090032664059,finite-size diagnostic
ED,4x4 open,0.05,-0.5196632000228346,,0.025456333716879533,finite-size diagnostic
ED,4x4 open,0.07500000000000001,-0.7697727664197114,,0.05514943650046963,finite-size diagnostic
ED,4x4 open,0.1,-1.00888807302166,,0.09307239891169689,finite-size diagnostic
ED,4x4 open,0.125,-1.2343716317258897,,0.13622848356561995,finite-size diagnostic
ED,4x4 open,0.15,-1.4443012372577029,,0.18152588830330962,finite-size diagnostic
ED,4x4 open,0.17500000000000002,-1.637482437376742,,0.2261136198751782,finite-size diagnostic
ED,4x4 open,0.2,-1.8133990836161547,,0.2676227662582099,finite-size diagnostic
ED,4x4 open,0.225,-1.9721201143839282,,0.30429556860031287,finite-size diagnostic
ED,4x4 open,0.25,-2.1141825415630957,,0.3350109973448223,finite-size diagnostic
ED,4x4 open,0.275,-2.2404684551652743,,0.3592319488993371,finite-size diagnostic
ED,4x4 open,0.30000000000000004,-2.3520894254374864,,0.3769048017335994,finite-size diagnostic
ED,4x4 open,0.32500000000000007,-2.450286617527027,,0.38833949048668204,finite-size diagnostic
ED,4x4 open,0.35000000000000003,-2.5363504083252395,,0.3940912755226318,finite-size diagnostic
ED,4x4 open,0.37500000000000006,-2.6115598918287413,,0.3948573268253314,finite-size diagnostic
ED,4x4 open,0.4,-2.6771404898606574,,0.39139421519572587,finite-size diagnostic
ED,4x4 open,0.42500000000000004,-2.7342367776513723,,0.38445731603903427,finite-size diagnostic
ED,4x4 open,0.45000000000000007,-2.7838973031388012,,0.37476004280169045,finite-size diagnostic
ED,4x4 open,0.47500000000000003,-2.8270683378711396,,0.3629493619439264,finite-size diagnostic
ED,4x4 open,0.5,-2.8645939130190854,,0.3495936915014042,finite-size diagnostic
ED,4x4 open,0.525,-2.8972200026925647,,0.33517958710179124,finite-size diagnostic
ED,4x4 open,0.55,-2.925601218062903,,0.32011422415699275,finite-size diagnostic
ED,4x4 open,0.5750000000000001,-2.9503088173306855,,0.30473136667649087,finite-size diagnostic
ED,4x4 open,0.6000000000000001,-2.9718391982055397,,0.2892991457278982,finite-size diagnostic
ED,4x4 open,0.6250000000000001,-2.990622320304577,,0.27402849791139394,finite-size diagnostic
ED,4x4 open,0.65,-3.007029713567022,,0.2590815229938455,finite-size diagnostic
ED,4x4 open,0.675,-3.0213818780602293,,0.24457931933578486,finite-size diagnostic
ED,4x4 open,0.7000000000000001,-3.0339549833993704,,0.23060906467179143,finite-size diagnostic
ED,4x4 open,0.7250000000000001,-3.044986844033194,,0.217230248732751,finite-size diagnostic
ED,4x4 open,0.7500000000000001,-3.0546821894519276,,0.2044800517864279,finite-size diagnostic
ED,4x4 open,0.775,-3.063217273459082,,0.19237791469485113,finite-size diagnostic
ED,4x4 open,0.8,-3.070743879666894,,0.18092937325627648,finite-size diagnostic
ED,4x4 open,0.8250000000000001,-3.0773927854451415,,0.17012924097206777,finite-size diagnostic
ED,4x4 open,0.8500000000000001,-3.083276746597831,,0.15996422600284343,finite-size diagnostic
ED,4x4 open,0.8750000000000001,-3.0884930620852957,,0.150415064015419,finite-size diagnostic
ED,4x4 open,0.9,-3.0931257735145725,,0.14145824159394096,finite-size diagnostic
ED,4x4 open,0.925,-3.097247548783922,,0.1330673765995957,finite-size diagnostic
ED,4x4 open,0.9500000000000001,-3.100921293755604,,0.12521431333318794,finite-size diagnostic
ED,4x4 open,0.9750000000000001,-3.1042015304870176,,0.11786998222131366,finite-size diagnostic
ED,4x4 open,1.0,-3.107135575567907,,0.11100506627778373,finite-size diagnostic
thermodynamic PEPO,10x10 open,0.025,-0.26936758179517734,,,two-step feasibility probe
thermodynamic PEPO,10x10 open,0.05,-0.5344961364806469,,,two-step feasibility probe
QMC zero-step estimate,10x10,0.5,-2.9096956367525992,0.0029852341573309506,,Trotter-extrapolated reference point
