beta,energy,energy_standard_error,energy_per_site,energy_per_site_standard_error,autocorrelation_time,effective_samples
0.1,-16.84701456154348,0.5409220384761024,-1.0529384100964676,0.0338076274047564,1.0,200.0
0.5,-46.22173452887667,0.17141443460743422,-2.8888584080547917,0.010713402162964639,1.0,200.0
1.0,-49.701912811694285,0.06097334978172788,-3.106369550730893,0.0038108343613579925,1.0868811842330184,184.01275401702202
2.0,-50.157081249801095,0.013248523698969632,-3.1348175781125684,0.000828032731185602,1.0,200.0
3.0,-50.17796827903184,0.0027838640509706475,-3.13612301743949,0.00017399150318566547,1.0,200.0
4.0,-50.18332688521156,2.4547919401274633e-5,-3.1364579303257223,1.5342449625796646e-6,1.0,200.0
5.0,-50.18349681266907,4.1110925460296175e-6,-3.136468550791817,2.569432841268511e-7,1.0,200.0
6.0,-50.181665159928286,0.0018499592516111726,-3.136354072495518,0.00011562245322569829,1.0,200.0
7.0,-50.18352075279201,6.710978491491592e-6,-3.136470047049501,4.194361557182245e-7,1.0,200.0
8.0,-50.18352804801835,1.1711671735974218e-8,-3.136470503001147,7.319794834983886e-10,1.0,200.0
9.0,-50.18352813114857,1.5936798440137512e-9,-3.1364705081967856,9.960499025085945e-11,1.0,200.0
10.0,-50.18352814093018,2.074519573382004e-10,-3.136470508808136,1.2965747333637525e-11,1.0,200.0
11.0,-50.18352814249682,2.787992387035592e-11,-3.136470508906051,1.742495241897245e-12,1.0,200.0
12.0,-50.183528142695685,3.2787401343085154e-12,-3.1364705089184803,2.049212583942822e-13,1.0,200.0
13.0,-50.18163022344066,0.0018979192720403918,-3.1363518889650415,0.00011861995450252449,1.0,200.0
14.0,-50.1835281427182,7.891720194019696e-14,-3.1364705089198877,4.93232512126231e-15,1.0,200.0
15.0,-50.18352814271875,1.1301256746612373e-14,-3.136470508919922,7.063285466632733e-16,1.0,200.0
16.0,-50.183528142718835,0.0,-3.136470508919927,0.0,85.86483679049805,2.329242184294612
