beta,peps_energy,peps_stat_se,qmc_energy,qmc_se,qmc_within_se,delta,abs_delta,combined_se,z,qmc_error_calibration,wall_seconds,cutoff_touched
0.1,-0.15617900598382703,0.015578229451024982,-0.19318807125094395,0.00015771720291811388,0.00016367478292620872,0.03700906526711692,0.03700906526711692,0.01557902781128779,2.3755696257440397,0.9636011125135827,7.013751657,false
0.2,-0.39429383270275237,0.01764569001032861,-0.3966916335953961,0.00013027494824069825,0.00013630058944133172,0.002397800892643742,0.002397800892643742,0.017646170902004495,0.13588222090557714,0.9557915250012392,12.059589444,false
0.3,-0.6168537656494386,0.01655041255688975,-0.6217155544846392,0.00011666906575615274,0.0001312054625996063,0.004861788835200609,0.004861788835200609,0.016550823770258637,0.2937490545900867,0.889208905212936,15.98281209,false
0.4,-0.856552221665314,0.019266872970415152,-0.8799244761467321,0.00010936609961505324,0.00013902855367004197,0.02337225448141811,0.02337225448141811,0.019267183369705572,1.2130602607004342,0.7866448778185021,21.819647823,false
0.5,-1.1564268260716453,0.018579263965553837,-1.1641947560840322,0.00015267632172805194,0.00015040136338657388,0.007767930012386959,0.007767930012386959,0.018579891268813813,0.4180826410661166,1.0151259156848915,30.882020928,false
0.6,-1.3927617600219793,0.019342919879385148,-1.4077624634460277,0.00016388652461698974,0.00013716974363031157,0.015000703424048467,0.015000703424048467,0.019343614146618626,0.7754860756809852,1.1947716768989742,36.394483249,false
0.7,-1.5557133759402715,0.010401730991362738,-1.5546622011396578,0.0001239178600283057,0.0001106449607910968,-0.0010511748006136745,0.0010511748006136745,0.010402469094052144,-0.10105050936558017,1.1199593650023412,40.690636159,false
0.8,-1.6352375795358776,0.0056570553254635825,-1.6280266692241496,9.956996457942437e-5,9.459820033218433e-5,-0.007210910311727936,0.007210910311727936,0.0056579315242588635,-1.2744781870919688,1.052556647270049,44.60184727,false
0.9,-1.6571583629989732,0.005300132654513876,-1.6640930705599941,7.924226997138226e-5,8.11263639072967e-5,0.006934707561020881,0.006934707561020881,0.005300724996903209,1.3082564300302841,0.9767758118918358,50.730092705,false
2.4,-1.7060770609144793,5.129605268033464e-6,-1.706085781808241,4.9989295708083297e-5,5.543261109782545e-5,8.720893761804405e-6,8.720893761804405e-6,5.0251791367035186e-5,0.17354393792865358,0.9018030130289914,75.873463429,false
2.5,-1.7060821527975774,5.405381203880414e-6,-1.7061849943796887,6.545598149095909e-5,5.646801320306897e-5,0.00010284158211137928,0.00010284158211137928,6.567879154570403e-5,1.565826345020595,1.1591691964717759,77.9733347,false
2.6,-1.7060837372743072,9.043527742672067e-6,-1.7060697353803476,5.4499688806753817e-5,5.564757249782589e-5,-1.4001893959614264e-5,1.4001893959614264e-5,5.524492260891933e-5,-0.25345123675408404,0.9793722593898068,84.845876486,false
2.7,-1.7060964373311822,2.1471202437198933e-6,-1.7060168383052683,5.5916647303511686e-5,5.476273869666129e-5,-7.959902591392343e-5,7.959902591392343e-5,5.5957855310995545e-5,-1.4224817136314098,1.0210710536819947,84.389683399,false
2.8,-1.706096388332549,2.117861015500062e-6,-1.7060012859957197,4.77051847104053e-5,5.41650120837534e-5,-9.510233682941127e-5,9.510233682941127e-5,4.775217255303535e-5,-1.9915813615346414,0.880738005497728,83.863185318,false
2.9,-1.7060994914398313,1.4079381376778337e-6,-1.7060572242371563,4.591937449749938e-5,5.328449873211548e-5,-4.226720267497264e-5,4.226720267497264e-5,4.594095388693104e-5,-0.9200331969379615,0.8617773572076974,86.397038053,false
3.0,-1.7061013686371167,9.609796738933545e-7,-1.706042230570742,5.9055889758276784e-5,5.255280155346224e-5,-5.913806637480867e-5,5.913806637480867e-5,5.9063707952306695e-5,-1.0012589528338116,1.1237438920967688,92.63181419,false
3.1,-1.7061030455902229,5.787925240154832e-7,-1.706091620588802,4.411962097502285e-5,5.301926172228401e-5,-1.1425001420928282e-5,1.1425001420928282e-5,4.412341731740111e-5,-0.2589328323947058,0.8321432540144059,91.552209381,false
