beta,energy,energy_standard_error,energy_per_site,energy_per_site_standard_error,autocorrelation_time,effective_samples
0.1,-2.7019883241903706,0.39403608338933777,-0.16887427026189816,0.02462725521183361,1.0,100.0
0.2,-6.125225327578841,0.35233396604583594,-0.38282658297367755,0.022020872877864747,1.0,100.0
0.3,-9.07741394777447,0.36278187533994344,-0.5673383717359044,0.022673867208746465,1.0,100.0
0.4,-11.591120117094583,0.40108530167537504,-0.7244450073184114,0.02506783135471094,1.0,100.0
0.5,-14.884410061492764,0.4189520021313286,-0.9302756288432977,0.026184500133208038,1.0,100.0
0.6,-18.5280679123732,0.3797018191705003,-1.158004244523325,0.023731363698156267,1.0,100.0
0.7,-21.035261448259934,0.31963344520475107,-1.314703840516246,0.01997709032529694,1.5933214269530394,62.761975272769206
0.8,-22.34202274072352,0.25167191024354285,-1.39637642129522,0.015729494390221428,1.0,100.0
0.9,-23.711224718542336,0.1381098189447621,-1.481951544908896,0.008631863684047631,1.0,100.0
1.0,-24.132642668085726,0.07393016281845757,-1.5082901667553579,0.004620635176153598,1.0,100.0
1.1,-24.39578265111038,0.05962179630270755,-1.5247364156943988,0.003726362268919222,1.0,100.0
1.2,-24.3380000988127,0.12214223125097491,-1.5211250061757937,0.007633889453185932,1.014123174443273,98.60735117792508
1.3,-24.584708430194596,0.02585667609213132,-1.5365442768871622,0.0016160422557582074,1.0,100.0
1.4,-24.640951094124535,0.012661594063251244,-1.5400594433827834,0.0007913496289532028,1.0,100.0
1.5,-24.66777883885204,0.007630306052224464,-1.5417361774282525,0.000476894128264029,1.0,100.0
1.6,-24.66738276347035,0.017884023680563417,-1.5417114227168969,0.0011177514800352136,1.026000280985662,97.46586024706698
1.7,-24.67931478195585,0.012803247947017845,-1.5424571738722406,0.0008002029966886153,1.0367153426146845,96.45849336790124
1.8,-24.690312337262846,0.00414647933437646,-1.5431445210789279,0.00025915495839852877,1.0,100.0
1.9,-24.701014429641646,0.001792406595656779,-1.5438134018526029,0.00011202541222854869,1.0,100.0
2.0,-24.700495194659908,0.001858704999352785,-1.5437809496662442,0.00011616906245954907,1.0089628242187418,99.1116794391625
2.1,-24.704201269551362,0.00122032702148766,-1.5440125793469601,7.627043884297875e-5,1.0180533884920002,98.2266756639608
