run_label,stage,Lx,Ly,boundary,J,h,beta,warmup_sweeps,measurement_sweeps,bin_size,replica,seed,energy_total,energy_total_error,energy_density,energy_density_error,max_expansion_order,cutoff,cutoff_touched,elapsed_seconds
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,1,202627300001,-3.8784713745116903,0.006823234841776646,-0.9696178436279226,0.0017058087104441615,30,47,false,1.252470927
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,2,202627300002,-3.866703033447237,0.00661028711971776,-0.9666757583618093,0.00165257177992944,30,48,false,1.187373143
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,3,202627300003,-3.8749465942382244,0.006316197798182705,-0.9687366485595561,0.0015790494495456762,29,47,false,1.16022645
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,4,202627300004,-3.87877273559576,0.006403346709191744,-0.96969318389894,0.001600836677297936,30,51,false,1.249072929
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,5,202627300005,-3.8640518188476562,0.007327810988438677,-0.9660129547119141,0.0018319527471096692,29,47,false,1.159365724
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,6,202627300006,-3.8765335083007812,0.0063873152931992905,-0.9691333770751953,0.0015968288232998226,30,47,false,1.078830171
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,7,202627300007,-3.871910095214872,0.007079830110525305,-0.967977523803718,0.0017699575276313262,29,47,false,1.198536198
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,8,202627300008,-3.8654365539551065,0.0071412986669978865,-0.9663591384887766,0.0017853246667494716,29,47,false,1.209818085
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,9,202627300009,-3.8679313659668253,0.007730732441402752,-0.9669828414917063,0.001932683110350688,29,52,false,1.253440893
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,10,202627300010,-3.8647499084472656,0.006987605153638774,-0.9661874771118164,0.0017469012884096934,30,47,false,1.144223399
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,11,202627300011,-3.870693206787081,0.007665703236905022,-0.9676733016967702,0.0019164258092262555,30,48,false,1.167949772
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,12,202627300012,-3.8750610351562216,0.006795473641576918,-0.9687652587890554,0.0016988684103942295,30,47,false,1.116588751
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,13,202627300013,-3.884941101074162,0.007122288690804433,-0.9712352752685405,0.0017805721727011082,30,47,false,1.158646867
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,14,202627300014,-3.861087799072237,0.006861785952881056,-0.9652719497680593,0.001715446488220264,30,47,false,1.131562579
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,15,202627300015,-3.861377716064453,0.007464331536909189,-0.9653444290161133,0.0018660828842272973,29,47,false,1.104017286
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,16,202627300016,-3.8774909973144247,0.006427569689806659,-0.9693727493286062,0.0016068924224516648,32,47,false,1.095021046
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,17,202627300017,-3.8569030761718466,0.005649905842976437,-0.9642257690429616,0.0014124764607441093,30,47,false,1.139151069
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,18,202627300018,-3.876232147216797,0.007813286041058538,-0.9690580368041992,0.0019533215102646344,29,47,false,1.167126622
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,19,202627300019,-3.870613098144446,0.00799725813698754,-0.9676532745361115,0.001999314534246885,29,47,false,1.12554614
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,262144,4096,20,202627300020,-3.8746032714843466,0.006356961436374597,-0.9686508178710866,0.0015892403590936494,29,47,false,1.108389633
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,1,202627310001,-4.247156143188363,0.003387072222651545,-1.0617890357970907,0.0008467680556628862,50,62,false,2.093711542
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,2,202627310002,-4.241258621215877,0.0034998005432909955,-1.0603146553039693,0.0008749501358227489,47,62,false,2.06309066
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,3,202627310003,-4.246255874633789,0.003845665636583746,-1.0615639686584473,0.0009614164091459365,46,63,false,1.991406882
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,4,202627310004,-4.246309280395565,0.0031955945409923494,-1.0615773200988912,0.0007988986352480873,48,62,false,1.993472969
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,5,202627310005,-4.24560737609869,0.003144479596433909,-1.0614018440246724,0.0007861198991084773,48,70,false,2.157762876
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,6,202627310006,-4.238470077514592,0.0034330611466145333,-1.059617519378648,0.0008582652866536333,46,62,false,1.919049725
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,7,202627310007,-4.2426910400390625,0.0039696780523390965,-1.0606727600097656,0.0009924195130847741,47,78,false,2.007517613
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,8,202627310008,-4.24638557434082,0.003888763366657969,-1.061596393585205,0.0009721908416644923,45,63,false,1.863906938
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,9,202627310009,-4.240255355835018,0.0036882352174925706,-1.0600638389587544,0.0009220588043731427,46,62,false,1.802721065
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,10,202627310010,-4.248186111450252,0.0035966388307718915,-1.062046527862563,0.0008991597076929729,47,62,false,1.80047775
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,11,202627310011,-4.241519927978459,0.003121352063719791,-1.0603799819946147,0.0007803380159299478,46,62,false,1.831853082
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,12,202627310012,-4.246065139770565,0.003261989095842134,-1.0615162849426412,0.0008154972739605335,47,62,false,1.762380818
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,13,202627310013,-4.245025634765625,0.0031974111938267748,-1.0612564086914062,0.0007993527984566937,50,62,false,1.821271733
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,14,202627310014,-4.23857307434082,0.003276199391284558,-1.059643268585205,0.0008190498478211395,48,63,false,1.73386927
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,15,202627310015,-4.247751235961914,0.0034777446526439385,-1.0619378089904785,0.0008694361631609846,47,62,false,1.743701775
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,16,202627310016,-4.241390228271484,0.0040308369410310555,-1.060347557067871,0.0010077092352577639,47,66,false,1.875176066
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,17,202627310017,-4.24427604675293,0.0035679536834573745,-1.0610690116882324,0.0008919884208643436,50,62,false,1.749420305
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,18,202627310018,-4.235862731933594,0.0033419837651229565,-1.0589656829833984,0.0008354959412807391,48,62,false,1.76257545
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,19,202627310019,-4.245342254638729,0.003934189072997893,-1.0613355636596822,0.0009835472682494732,46,66,false,1.831930928
FORMAL,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,262144,4096,20,202627310020,-4.2522678375243,0.0036704848699595635,-1.063066959381075,0.0009176212174898909,49,62,false,1.771003003
