series,plot_record_kind,series_kind,sampling_scheme,beta0,beta,temperature,method,energy_per_site,energy_error_per_site,energy_error_available,error_definition,sse_energy_per_site_at_same_beta,sse_energy_mcse_at_same_beta,difference_from_sse,absolute_difference_from_sse,combined_statistical_error,difference_over_combined_error,contributes_to_energy_panel,specific_heat_per_site,specific_heat_error_per_site,specific_heat_error_available,specific_heat_definition,specific_heat_error_definition,specific_heat_beta_left,specific_heat_beta_right,specific_heat_temperature_left,specific_heat_temperature_right,contributes_to_specific_heat_panel,contributes_to_absolute_error_panel,number_of_bootstrap_replicates,number_of_samples,D,DSETTN,source_path
SSE,data_knot,reference,SSE,,0.10000000000000001,10,SSE,-1.0363413556417129,0.00014654710681766495,true,energy_final_mcse,,,,,,,true,0.095274246903239754,0.00012449503520367653,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,0.5,2,SSE,-2.9067928962707699,8.6957843385190029e-05,true,energy_final_mcse,,,,,,,true,0.34000701189032678,0.00073508326910246404,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,1,1,SSE,-3.1389534854889081,5.9308109328284641e-05,true,energy_final_mcse,,,,,,,true,0.10376905845631405,0.001455229080233403,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,2,0.5,SSE,-3.1670337573687259,4.3875955397721998e-05,true,energy_final_mcse,,,,,,,true,0.020473551687248924,0.0033829456964974453,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,3,0.33333333333333331,SSE,-3.1693065201441639,3.6483270651704813e-05,true,energy_final_mcse,,,,,,,true,0.011478846117343974,0.0042450820714940917,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,4,0.25,SSE,-3.1698331457773445,3.8692992591750324e-05,true,energy_final_mcse,,,,,,,true,0.0041734098199112512,0.0059429339848241841,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,5,0.20000000000000001,SSE,-3.1699199651718346,2.9543246561417826e-05,true,energy_final_mcse,,,,,,,true,0.0046698848576705327,0.0078892891143255775,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,6,0.16666666666666666,SSE,-3.1699495888286267,2.6858954285257616e-05,true,energy_final_mcse,,,,,,,true,0.0015850086877777633,0.0086897759500448746,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,7,0.14285714285714285,SSE,-3.1699605157488882,2.5059348866873719e-05,true,energy_final_mcse,,,,,,,true,-0.013813560808370673,0.014254555883932901,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,8,0.125,SSE,-3.16998120558261,2.3693167659023988e-05,true,energy_final_mcse,,,,,,,true,-0.0019265783030824935,0.011829574242920284,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
