run_kind,stage,Lx,Ly,boundary,J,h,beta_index,beta,replicas,warmup_sweeps,measurement_sweeps_per_replica,bin_size,qmc_energy_per_site,qmc_within_mcse,qmc_between_mcse,qmc_final_mcse,qmc_relative_mcse,qmc_calibration_ratio,peps_energy_per_site,peps_statistical_se,peps_minus_qmc,combined_statistical_se,statistical_z,precision_pass,calibration_pass,cutoff_pass,complete_pass,passed,wall_seconds
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,1,0.1,32,20000,1048576,4096,-0.20693497657778948,7.917202089889493e-5,9.609657698039935e-5,9.609657698039935e-5,0.0004643805439254752,0.8252120281419384,-0.20734059151625328,0.008980248453131213,-0.00040561493846380525,0.008980762597467594,-0.045164865907732714,true,true,true,true,true,34.929590551
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,2,0.2,32,20000,1048576,4096,-0.42677567750217715,7.917385678591466e-5,7.177855623743825e-5,7.917385678591466e-5,0.00018551632850611726,1.099675242507232,-0.4324105634264118,0.010810170912668253,-0.005634885924234667,0.010810460844048098,-0.5212438216578953,true,true,true,true,true,56.914962784
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,3,0.3,32,20000,1048576,4096,-0.6751038243373229,8.413016575029388e-5,9.446397274043939e-5,9.446397274043939e-5,0.00013992510386556402,0.8900882428669816,-0.6838735523052523,0.01178119184495842,-0.008769727967929408,0.011781570554466018,-0.7443598395805628,true,true,true,true,true,73.882397357
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,4,0.4,32,20000,1048576,4096,-0.9774743400514643,9.602713805070839e-5,0.00011512134460903776,0.00011512134460903776,0.00011777428817515208,0.8338311370927209,-0.9878773521362461,0.012964314167215931,-0.010403012084781782,0.012964825288073122,-0.8024027978496511,true,true,true,true,true,129.761945269
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,5,0.5,32,20000,1048576,4096,-1.3466554212570223,0.00010538015457331754,0.00011095425377308308,0.00011095425377308308,8.239246062627804e-5,0.9410581542513407,-1.325809199651706,0.013477969855055477,0.02084622160531624,0.013478426549869036,1.546636139477185,true,true,true,true,true,156.501704513
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,6,0.6,32,20000,1048576,4096,-1.6208533267180272,8.083923652926462e-5,7.236348113295166e-5,8.083923652926462e-5,4.98744921559012e-5,1.128317902725994,-1.6087429112490836,0.008822424455722327,0.012110415468943536,0.008822794809984534,1.3726280311130532,true,true,true,true,true,209.612059283
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,7,0.7,32,20000,1048576,4096,-1.7384694686957758,6.225754658614943e-5,6.927792208796132e-5,6.927792208796132e-5,3.984995039339666e-5,0.9017015119079358,-1.7431618500369646,0.004932732064908974,-0.004692381341188767,0.004933218528979835,-0.951180515037741,true,true,true,true,true,236.62063797
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,8,0.8,32,20000,1048576,4096,-1.7883127596229809,5.331563644017543e-5,5.41908200211493e-5,5.41908200211493e-5,3.030276428412557e-5,0.985570689994008,-1.7851482456465146,0.0037296982260113286,0.003164513976466221,0.003730091889228282,0.8483742680990431,true,true,true,true,true,250.845010502
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,9,0.9,32,20000,1048576,4096,-1.8114410572581772,4.802613501345364e-5,5.028113027345401e-5,5.028113027345401e-5,2.7757530432461455e-5,0.9560392570381221,-1.808118023160241,0.0027339571889544905,0.003323034097936217,0.0027344195184897135,1.2152612558045262,true,true,true,true,true,262.984171603
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,10,1.0,32,20000,1048576,4096,-1.8228572922945112,4.63654218562029e-5,4.357727830105139e-5,4.63654218562029e-5,2.5435574168200895e-5,1.0609770755582428,-1.822411940830466,0.0012012367980764557,0.0004453514640452294,0.001202131272946877,0.3704682459125325,true,true,true,true,true,267.581536739
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,11,1.1,32,20000,1048576,4096,-1.828708799318827,4.329223245033091e-5,4.2469713585319065e-5,4.329223245033091e-5,2.367366114629993e-5,1.018933543384768,-1.8297293525333034,0.0007511478935397925,-0.0010205532144764717,0.0007523944280494114,-1.3564071933949113,true,true,true,true,true,300.554744642
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,12,1.2,32,20000,1048576,4096,-1.8318565872808392,4.183624818834774e-5,3.958058946300928e-5,4.183624818834774e-5,2.2838167834114344e-5,1.0623447541872935,-1.8325849775057392,0.0003551056551727513,-0.0007283902249000107,0.0003575616002846866,-2.0371041642057603,true,true,true,true,true,362.992045624
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,13,1.3,32,20000,1048576,4096,-1.8336194469378544,4.0882393306861234e-5,4.1761559611663306e-5,4.1761559611663306e-5,2.277547812955689e-5,0.9757917118332281,-1.8337503513547557,0.0002132102297953364,-0.00013090441690133403,0.00021726166240406674,-0.6025196321009267,true,true,true,true,true,391.717870637
