beta,energy,energy_standard_error,energy_per_site,energy_per_site_standard_error,autocorrelation_time,effective_samples
0.1,-16.390653152963914,0.26439723662854486,-1.0244158220602446,0.016524827289284054,1.0,1000.0
0.5,-45.86027219432845,0.0825856586851407,-2.8662670121455283,0.005161603667821294,1.0,1000.0
1.0,-49.72608149204044,0.026318511716089284,-3.1078800932525277,0.0016449069822555803,1.2387660607083748,807.2549222313703
2.0,-50.14960288446326,0.007020831911113827,-3.134350180278954,0.00043880199444461417,1.0361026456647908,965.1553387921074
3.0,-50.17591752884274,0.003462403858065403,-3.135994845552671,0.0002164002411290877,1.0,1000.0
4.0,-50.18145759945595,0.0008127253004405158,-3.136341099965997,5.079533127753224e-5,1.0,1000.0
5.0,-50.18189144050187,0.0009509456007741629,-3.136368215031367,5.943410004838518e-5,1.0,1000.0
6.0,-50.18201436124469,0.0007525459247377808,-3.136375897577793,4.70341202961113e-5,1.0,1000.0
7.0,-50.18090056179899,0.0009892723186545008,-3.136306285112437,6.18295199159063e-5,1.0,1000.0
8.0,-50.1824185564964,0.000638686192117473,-3.136401159781025,3.9917887007342065e-5,1.0,1000.0
9.0,-50.18277933085269,0.0005292089162153777,-3.136423708178293,3.307555726346111e-5,1.0,1000.0
10.0,-50.1835281364288,3.481388293481265e-9,-3.1364705085268,2.1758676834257906e-10,1.0026066661611681,997.400110881819
11.0,-50.18315902960397,0.0003691128726203488,-3.136447439350248,2.30695545387718e-5,1.0,1000.0
12.0,-50.18276894980234,0.0005365614096949245,-3.136423059362646,3.3535088105932784e-5,1.0,1000.0
13.0,-50.18238939113696,0.0006568000751899886,-3.13639933694606,4.105000469937429e-5,1.0,1000.0
14.0,-50.18315902960161,0.00036911311472401535,-3.1364474393501007,2.306956967025096e-5,1.0,1000.0
15.0,-50.18315902998863,0.00036911272945208825,-3.1364474393742894,2.3069545590755516e-5,1.0,1000.0
16.0,-50.183148491248765,0.0003796086537279634,-3.136446780703048,2.3725540857997712e-5,1.0,1000.0
