beta,energy,energy_standard_error,energy_per_site,energy_per_site_standard_error,autocorrelation_time,effective_samples
0.1,-20.734059151625324,0.8980248453131212,-0.20734059151625328,0.008980248453131213,1.0,100.0
0.2,-43.24105634264118,1.0810170912668253,-0.4324105634264118,0.010810170912668253,1.0,100.0
0.3,-68.38735523052522,1.178119184495842,-0.6838735523052523,0.01178119184495842,1.0,100.0
0.4,-98.7877352136246,1.2964314167215933,-0.9878773521362461,0.012964314167215931,1.0,100.0
0.5,-132.5809199651706,1.3477969855055476,-1.325809199651706,0.013477969855055477,1.0,100.0
0.6,-160.87429112490835,0.8822424455722327,-1.6087429112490836,0.008822424455722327,1.0,100.0
0.7,-174.31618500369643,0.4932732064908971,-1.7431618500369646,0.004932732064908974,1.3749625599136255,72.72925308328537
0.8,-178.51482456465146,0.3729698226011325,-1.7851482456465146,0.0037296982260113286,1.3389515847229259,74.68529940960738
0.9,-180.81180231602403,0.27339571889544906,-1.808118023160241,0.0027339571889544905,1.0,100.0
1.0,-182.24119408304662,0.12012367980764554,-1.822411940830466,0.0012012367980764557,1.0964350346809477,91.20467409097253
1.1,-182.97293525333032,0.07511478935397922,-1.8297293525333034,0.0007511478935397925,1.0,100.0
1.2,-183.25849775057392,0.03551056551727502,-1.8325849775057392,0.0003551056551727513,1.0,100.0
1.3,-183.3750351354755,0.02132102297953363,-1.8337503513547557,0.0002132102297953364,1.0,100.0
1.4,-183.48095306968847,0.012681520149315683,-1.8348095306968843,0.00012681520149315564,1.0,100.0
1.5,-183.51371389210502,0.010864368042459317,-1.8351371389210498,0.00010864368042459398,1.0,100.0
1.6,-183.543618842517,0.00676391271557146,-1.83543618842517,6.763912715571347e-5,1.0,100.0
1.7,-183.56498509744762,0.0029692550134632423,-1.8356498509744765,2.9692550134630097e-5,1.0,100.0
1.8,-183.56798182006577,0.0037525085721725774,-1.835679818200657,3.7525085721726705e-5,1.0,100.0
1.9,-183.57647335149144,0.0025691144965605717,-1.835764733514914,2.5691144965607882e-5,1.0,100.0
2.0,-183.58170540433886,0.002119156935045185,-1.8358170540433891,2.1191569350451223e-5,1.0,100.0
2.1,-183.58609080711213,0.0007784298563995542,-1.8358609080711208,7.784298563995755e-6,1.0,100.0
2.2,-183.58590713770917,0.0010315722891503633,-1.8358590713770924,1.0315722891503168e-5,1.0,100.0
2.3,-183.5881920760326,0.0004249261174432484,-1.835881920760326,4.249261174433138e-6,1.0,100.0
2.4,-183.58865428581757,0.000329103646574986,-1.8358865428581754,3.2910364657511187e-6,1.0,100.0
2.5,-183.5893741836513,0.00019484748896439217,-1.835893741836513,1.948474889642807e-6,1.0,100.0
2.6,-183.58986987338213,3.2167284781678984e-5,-1.835898698733821,3.2167284781872616e-7,1.0,100.0
2.7,-183.58976899181795,0.00010025862656276086,-1.8358976899181796,1.0025862656269367e-6,1.0,100.0
2.8,-183.58988218621508,9.078102666627228e-5,-1.8358988218621508,9.078102666546428e-7,2.0067492053032208,49.83183734954561
2.9,-183.5900069283377,4.631224970439073e-5,-1.8359000692833771,4.631224970467434e-7,1.0617287164836469,94.18601799826165
3.0,-183.59008589399164,2.676829640288839e-5,-1.8359008589399162,2.676829640277515e-7,1.0,100.0
3.1,-183.59014348648898,1.1351711020332794e-5,-1.8359014348648899,1.1351711020282703e-7,1.0,100.0
3.2,-183.5901307984129,1.665227188677584e-5,-1.835901307984129,1.6652271886853834e-7,1.2000320774757434,83.33110579039612
3.3,-183.59016799440553,8.309278552848945e-6,-1.8359016799440555,8.309278552794123e-8,1.013700599282249,98.64845702054929
3.4,-183.59017563106153,6.2968131549960376e-6,-1.8359017563106155,6.296813154844071e-8,1.0,100.0
3.5,-183.59018311367822,4.224276049287935e-6,-1.8359018311367823,4.224276049303857e-8,1.0,100.0
3.6,-183.59018512268239,5.8405017814442966e-6,-1.8359018512268235,5.8405017814986615e-8,1.0000660112930688,99.99339930641344
3.7,-183.59019120183166,3.7512835739981805e-6,-1.8359019120183162,3.751283573791991e-8,1.0075225708359639,99.2533595719129
3.8,-183.59019390800927,1.8283385709610811e-6,-1.8359019390800926,1.828338570961299e-8,1.0,100.0
3.9,-183.5901982687672,4.6594997400663653e-7,-1.8359019826876724,4.659499742500916e-9,1.0,100.0
4.0,-183.590197216733,1.1828788971935199e-6,-1.8359019721673298,1.182878897236532e-8,1.014855299505047,98.53621501387516
4.1,-183.5901991689676,2.8855109285705125e-7,-1.8359019916896762,2.8855109288975536e-9,1.0,100.0
4.2,-183.59019908883448,2.9495430162361087e-7,-1.8359019908883445,2.9495430172001234e-9,1.0,100.0
4.3,-183.5901998926691,9.634707309929983e-8,-1.8359019989266903,9.63470729175898e-10,1.0,100.0
4.4,-183.5901996092675,2.442464227492268e-7,-1.835901996092675,2.4424642268379035e-9,1.0,100.0
4.5,-183.59020002136745,7.179294548499856e-8,-1.8359020002136746,7.179294537692241e-10,1.0,100.0
4.6,-183.59020014234062,4.061189631570982e-8,-1.8359020014234062,4.0611896341599693e-10,1.0,100.0
4.7,-183.59020000040763,8.146480927138532e-8,-1.8359020000040769,8.146480927029041e-10,1.0,100.0
4.8,-183.59020022219468,1.8308986675171856e-8,-1.835902002221947,1.8308986575499947e-10,1.0,100.0
4.9,-183.59020023393484,1.5218241514191782e-8,-1.8359020023393484,1.5218241369256258e-10,1.0,100.0
5.0,-183.5902002334767,1.4592707815605346e-8,-1.8359020023347674,1.459270795892674e-10,1.0,100.0
5.1,-183.59020025898684,1.0663947973758715e-8,-1.8359020025898687,1.0663947874902505e-10,1.0032334819827562,99.67769397245738
5.2,-183.59020027594667,4.5843970363230466e-9,-1.8359020027594664,4.584396974195351e-11,1.000185152051566,99.981488222337
5.3,-183.59020028515522,1.966392153151282e-9,-1.8359020028515518,1.9663922387500434e-11,1.0,100.0
5.4,-183.59020028737416,1.3608204499164721e-9,-1.8359020028737414,1.3608204143595135e-11,1.0,100.0
5.5,-183.5902002868949,1.6136752738016755e-9,-1.8359020028689492,1.613675211835633e-11,1.7966146562849454,55.66023835449546
5.6,-183.5902002897222,8.714484192102836e-10,-1.8359020028972222,8.714484066985784e-12,1.0,100.0
5.7,-183.5902002897905,1.4591916207153015e-9,-1.835902002897905,1.459192002079799e-11,1.0494913837918705,95.2842505849781
5.8,-183.59020029096658,5.769911924497356e-10,-1.8359020029096653,5.769914678791207e-12,1.0633938518167079,94.03853504433889
5.9,-183.59020029193692,2.8079066859574847e-10,-1.8359020029193693,2.8079057440148893e-12,1.1140976486478738,89.75873894120964
6.0,-183.59020029248504,1.3410515293388335e-10,-1.8359020029248503,1.3410511428821293e-12,1.0,100.0
6.1,-183.59020029240205,1.4473591003717292e-10,-1.8359020029240207,1.4473599209152129e-12,1.10252812267822,90.70063424512361
6.2,-183.5902002927153,6.443001112655379e-11,-1.8359020029271529,6.44299540452237e-13,1.0,100.0
6.3,-183.5902002926552,1.029305858038051e-10,-1.835902002926552,1.029306604780139e-12,1.0,100.0
6.4,-183.5902002927044,6.427332245416466e-11,-1.8359020029270439,6.427340151611136e-13,1.0035581245696923,99.64544907937267
6.5,-183.59020029268606,5.519973391429874e-11,-1.8359020029268607,5.519962383319668e-13,1.127757743513907,88.67152593288033
6.6,-183.5902002927478,3.4624894694909476e-11,-1.8359020029274773,3.4625080770220006e-13,1.0,100.0
6.7,-183.59020029275626,3.079277896895185e-11,-1.8359020029275632,3.0792688785482565e-13,1.0,100.0
6.8,-183.59020029275493,2.501864024715019e-11,-1.8359020029275492,2.5018559080845007e-13,1.0,100.0
6.9,-183.59020029275428,2.154387461465188e-11,-1.8359020029275432,2.154382913993682e-13,1.306964823249415,76.51315339258865
7.0,-183.5902002927922,1.1718231575034926e-11,-1.8359020029279216,1.171817814633751e-13,1.0,100.0
7.1,-183.59020029279955,9.99068045183985e-12,-1.8359020029279953,9.991124583030765e-14,1.7556895878766938,56.957676738824084
7.2,-183.59020029277758,1.4611980791929178e-11,-1.8359020029277766,1.4612368812687994e-13,1.138098983225332,87.8658196465509
7.3,-183.59020029279526,5.76695321590108e-12,-1.8359020029279527,5.767165961267423e-14,1.061807038666277,94.17907054525537
7.4,-183.5902002927927,6.865460850003137e-12,-1.835902002927927,6.863574809990419e-14,2.8055457286120062,35.643689204621595
7.5,-183.59020029279037,4.8032320665300545e-12,-1.8359020029279036,4.8036457821393816e-14,1.4737435380498574,67.85441117680881
7.6,-183.5902002928035,2.5087095552302233e-12,-1.8359020029280346,2.508733854610156e-14,1.0,100.0
7.7,-183.5902002927938,2.7731997035791444e-12,-1.8359020029279385,2.7732631212070637e-14,1.0,100.0
7.8,-183.59020029280003,2.675302085143315e-12,-1.8359020029280007,2.6755119763902267e-14,1.306127975267424,76.56217606052381
7.9,-183.5902002928008,1.870073903119635e-12,-1.8359020029280078,1.8702773169792327e-14,1.0278886878946862,97.28679883112561
8.0,-183.5902002927999,1.1237236196993639e-12,-1.835902002927999,1.1239287552563659e-14,1.2774993490086084,78.27792638611055
8.1,-183.59020029280182,9.084701818914099e-13,-1.8359020029280182,9.085424374795638e-15,1.2321771770796983,81.15715974954462
8.2,-183.59020029279938,9.351912095848407e-13,-1.8359020029279935,9.349516326715023e-15,1.220570875474185,81.92887607706562
