beta,energy,energy_standard_error,energy_per_site,energy_per_site_standard_error,autocorrelation_time,effective_samples
0.1,-2.7019883177190014,0.3940360833689061,-0.1688742698574376,0.024627255210556632,1.0,100.0
0.2,-6.125225216936815,0.3523339646673733,-0.3828265760585509,0.022020872791710833,1.0,100.0
0.3,-9.077413803992771,0.36278187976004805,-0.5673383627495482,0.022673867485003003,1.0,100.0
0.4,-11.591117421104457,0.4010852977720877,-0.7244448388190285,0.02506783111075548,1.0,100.0
0.5,-14.884401293399367,0.41895181126211983,-0.9302750808374605,0.02618448820388249,1.0,100.0
0.6,-18.528054975514223,0.3797016525318265,-1.158003435969639,0.023731353283239155,1.0,100.0
0.7,-21.035250553623314,0.3196334949757686,-1.3147031596014571,0.019977093435985537,1.5933223139691837,62.76194033264138
0.8,-22.34201311136894,0.25167174341468823,-1.3963758194605587,0.015729483963418014,1.0,100.0
0.9,-23.711217561598772,0.13810992613477463,-1.4819510975999233,0.008631870383423414,1.0,100.0
1.0,-24.132636637904426,0.07393022544776959,-1.5082897898690266,0.004620639090485599,1.0,100.0
1.1,-24.39577934100417,0.059621849546844186,-1.5247362088127607,0.0037263655966777616,1.0,100.0
1.2,-24.33799855223728,0.12214219507828271,-1.52112490951483,0.007633887192392669,1.0141234589118981,98.60732351788293
1.3,-24.584708137465196,0.025856680120835827,-1.5365442585915747,0.0016160425075522392,1.0,100.0
1.4,-24.640951062295905,0.012661590709338944,-1.540059441393494,0.000791349419333684,1.0,100.0
1.5,-24.667778682344128,0.007630312552259881,-1.541736167646508,0.0004768945345162426,1.0,100.0
1.6,-24.66738317084485,0.0178840205608231,-1.5417114481778031,0.0011177512850514438,1.0260005106547074,97.46583842944521
1.7,-24.679314656308225,0.012803247715075464,-1.542457166019264,0.0008002029821922165,1.036716174227004,96.4584159927494
1.8,-24.69031243285091,0.00414647989869197,-1.5431445270531818,0.0002591549936682481,1.0,100.0
1.9,-24.701014473853352,0.0017924056822742201,-1.5438134046158345,0.00011202535514213876,1.0,100.0
2.0,-24.70049521346522,0.0018587050523696117,-1.5437809508415763,0.00011616906577310073,1.0089617019462325,99.11178968151657
2.1,-24.704201221812987,0.0012203247783617677,-1.5440125763633117,7.627029864761048e-5,1.0180535801731394,98.22665716964828
2.2,-24.706745643922492,0.0005503949446562784,-1.5441716027451557,3.43996840410174e-5,1.0,100.0
2.3,-24.70672926544244,0.0006499350051066459,-1.5441705790901525,4.062093781916537e-5,1.0,100.0
