sample,g0,g1,g2,g3,g4,g5,neg_g0,x1,x2
1,16.835987505899336,16.796107940494235,15.836537441775375,15.78778331326239,15.629562119272663,15.558554100517368,-16.835987505899336,0.06347029962578432,1.5906741807884013
2,16.87219999291195,16.852686385586775,15.924654785910588,15.906656549131139,15.66224977359152,15.556006435183702,-16.87219999291195,0.031056870633555257,1.5080650349729963
3,16.91430924222978,16.8827127360012,15.883445733843102,15.857172469493939,15.67327018627776,15.598645799844336,-16.91430924222978,0.050287401507125636,1.6406702301279341
4,17.160017211279715,17.11755121176533,16.083562430042683,16.046614169874488,15.797294777741753,15.74422811599024,-17.160017211279715,0.0675867373605226,1.7132309944877855
5,16.918583615762262,16.859976515456182,15.919416718161857,15.874498576100645,15.63940421833981,15.554090523875885,-16.918583615762262,0.09327609713995194,1.5902235072689814
6,16.927860819830265,16.882329417822323,15.902517783347566,15.873342321968092,15.695698355317608,15.62963189655742,-16.927860819830265,0.07246547695468224,1.6318841262107513
7,16.811682734029862,16.76368177790656,15.80330321795214,15.742632736602763,15.599618517659252,15.52058749233857,-16.811682734029862,0.07639589440160893,1.604885844963829
8,16.714332771793828,16.663653366906733,15.752576471147092,15.723395171635504,15.527618937632777,15.433901759690722,-16.714332771793828,0.08065877800736744,1.5306826929770296
9,16.782985785355535,16.751325940505314,15.837823971027662,15.81901797949893,15.599855315962433,15.520080171945807,-16.782985785355535,0.05038820805435194,1.5042717477198524
10,16.960052546508805,16.931214965722504,15.968624097204858,15.944343554695639,15.703896088173153,15.637204255076485,-16.960052546508805,0.0458964352895182,1.5779073842865587
11,16.781422290151635,16.736264183088824,15.899090930233454,15.849749718522975,15.703306443381964,15.636974354890125,-16.781422290151635,0.07187135959719382,1.4042739737597276
12,16.9777707344537,16.94077570272179,15.971790336622783,15.938461588928146,15.767750449337063,15.687769279317164,-16.9777707344537,0.058879421699748025,1.6010675296834167
13,16.77324999281783,16.71489986825026,15.858358191034982,15.821671542665914,15.670249385431656,15.570722786719049,-16.77324999281783,0.0928671075495681,1.4560955264799091
14,16.867980600597814,16.81260977580518,15.912408381121814,15.858808841920595,15.708469140787004,15.577338942740424,-16.867980600597814,0.08812540468823273,1.5208404221089893
15,16.748469625385805,16.691796139565156,15.858456881978135,15.78402380766509,15.584168882239315,15.50856443198515,-16.748469625385805,0.09019865410604803,1.4164992752810939
16,16.895847882868402,16.84232747457791,15.927281616422645,15.83679993905747,15.628351452347717,15.608015305929813,-16.895847882868402,0.08518037535728239,1.5415210901690402
17,16.795643468707645,16.738663027162183,15.921334330880374,15.848815863677833,15.57417593440373,15.491770076176524,-16.795643468707645,0.0906871893151918,1.391506210756235
18,16.831211906871548,16.802711625235496,15.87614436838726,15.869228327834481,15.637201708866579,15.551953608576452,-16.831211906871548,0.04535960701888918,1.5200371973638342
19,16.918769885011912,16.87963284125445,15.885781448606716,15.835475590909944,15.579030892697292,15.524008787016234,-16.918769885011912,0.06228853972004142,1.6440521581065493
20,16.854274756586847,16.798502836796445,15.864334167694855,15.804778056753225,15.522117562712058,15.481946230005242,-16.854274756586847,0.08876376720367195,1.5755393808946234
21,16.910150289697214,16.87885783723022,15.908228715592564,15.893211749720908,15.635828823922846,15.543486030495066,-16.910150289697214,0.049803484915900184,1.594607711091677
22,16.82493763018836,16.778539345716332,15.930318630795425,15.873172494234813,15.599057989134707,15.537588861799309,-16.82493763018836,0.0738451632470692,1.4238303593731079
23,17.121367633287733,17.10254509240818,15.98922525354325,15.969859635370053,15.703838971307073,15.615648611796978,-17.121367633287733,0.0299570042252982,1.8018605602015616
24,16.65241330974712,16.58926586148906,15.745847762919976,15.696226129949661,15.482493148760172,15.383037815618167,-16.65241330974712,0.10050228533910062,1.442843880143474
25,16.83748576016024,16.795902836631587,15.844541027974818,15.76641733815866,15.556784258445264,15.524068086835104,-16.83748576016024,0.06618127827797635,1.5803206234436826
26,16.89571450773411,16.837583452169433,15.918815057078513,15.860695862542492,15.637375225049741,15.551030207755598,-16.89571450773411,0.092518448402678,1.554783764755952
