sample,gamma0,d1,d2,d3,d4,d5
1,-1.2038601443249504,0.11595128293148188,0.4978172502355974,0.5831964479572456,0.7827606672504693,0.8425171017361307
2,-1.1190627297027527,0.12207511640067044,0.5685206804604963,0.6720702382886962,0.7123699145949383,0.8214668662411068
3,-1.1999059827539833,0.15195457692679262,0.6430679863913071,0.7609547362853055,0.7845833159975939,0.8898764106926826
4,-1.2365217386602771,0.17125576306581172,0.4987371486460782,0.6863535778044363,0.6883567786086429,0.731575121435725
5,-1.0454054551383352,0.19830838844251106,0.6323837978377397,0.8716315226623507,0.8854317602881397,0.9215708886960355
6,-1.1152516617990642,0.15517122597293984,0.6590613815959581,0.7904800556740247,0.7723961594163372,0.8253892942597307
7,-1.0329759273002304,0.2498625424972173,0.6267498490687596,0.8043014846565205,0.8685311572662457,0.8968961669208373
8,-1.1830451120881835,0.06064039668026673,0.5725581426730485,0.6666166793658295,0.7462169147142688,0.7857315414541098
9,-1.1328444669118833,0.11048102201586778,0.7032042295102572,0.7706081643347775,0.7520589123772377,0.9049827206598395
10,-1.0918585563889391,0.11518268438650198,0.5912904616434004,0.6741862516518076,0.7752567564675074,0.7801592787135406
11,-1.086012326475239,0.11765639613916949,0.7237319090614783,0.8352065290469213,0.8390480669463256,0.9585604146686947
12,-1.1253432480011356,0.11981123324951881,0.6192422418467606,0.7670929432591158,0.8549545765017432,0.9461775349992543
13,-1.2461021096380542,0.14963963305819994,0.5769582085331244,0.6450950088233302,0.707240663555349,0.8268011719973598
14,-1.1413216243032265,0.18128257665050065,0.47382509958331287,0.7436469719543108,0.738076355844909,0.8078559168316676
15,-1.2024831510109892,0.15796108175755988,0.6129507322170025,0.6836464371038288,0.8192364505984111,0.9296742715033033
16,-1.1403310249619594,0.20138364280798499,0.554255044222272,0.7374139654101001,0.8131386576080154,0.8070941399217945
17,-1.1768058924640645,0.1266722564701965,0.5601975993535938,0.7402957567010089,0.8000867851351235,0.8528936142904265
18,-1.2161505015233909,0.24506703340733033,0.49031107383069966,0.6844469881320915,0.6829797171353547,0.8455464134250935
19,-1.2596336365802794,0.2223473571768674,0.36321544685747353,0.5952431477132794,0.6219072458105487,0.7237716171171469
20,-1.2871749292063392,0.11478012856632581,0.4325423851710798,0.593359435941688,0.7045422940247326,0.7356313545817563
21,-1.1414083007542735,0.136660310215285,0.6506500606156871,0.7240591241389353,0.859719477727502,0.9693967587522369
22,-1.0211394600825627,0.08439208953443877,0.7665063890529487,0.8129925630328562,0.8103961600080063,0.8909718032747954
23,-1.0326982936957028,0.26045847039409803,0.626632722112487,0.7549893487508499,0.8671780327075207,0.8668641094477081
24,-1.2163910286554243,0.11225818809107907,0.549720563074434,0.6600779640374851,0.7461792312747937,0.7512209324447253
25,-1.0424418691778545,0.15744860765259847,0.6757502039864941,0.7799053916448528,0.7975899265040154,0.8917931683172239
26,-0.9571887484328544,0.24033464428406964,0.654423870900603,0.766265028658129,0.8510851611828801,0.9190015678445492
27,-1.0394620559008088,0.18556379372635828,0.628098313482747,0.8760116577435326,0.817214707991787,0.9498043308960061
28,-1.2023435534711926,0.1282485700202952,0.5225585955796296,0.7319222955425613,0.7678165586551835,0.7557598062986456
29,-1.1586834277213331,0.20083421052245592,0.6502250723675504,0.7603437988490995,0.8050646309086494,0.88966361740431
30,-0.9901188405090768,0.15284296605038206,0.6430563286880276,0.7896968824222174,0.885903215968551,0.9095121795741902
31,-1.0676345424883518,0.26165793494919926,0.6765133802373031,0.8600334808265959,0.8770870547474305,0.9205871521107628
32,-1.154314888531634,0.05561207007370077,0.6669175039403329,0.6893224613283903,0.6944330929785908,0.8257007405510434
33,-1.0859053237567566,-0.04879818434968896,0.6342887143839733,0.6757914479452554,0.7053736446354544,0.8469887207532886
34,-1.0891516660461076,0.16862394456556362,0.6770380167730501,0.7839249821364703,0.8257284271542721,0.8377241073872365
35,-1.1199745520209297,0.08854241542324698,0.5491079968956568,0.7344807438855553,0.7918244870628244,0.7740976296883062
36,-1.176534450900204,0.2575219309254605,0.5341591927916295,0.7069517531628614,0.7774882877214958,0.7823581124428263
37,-1.1014709397573834,0.1332716630440941,0.6226906754495009,0.7573650703407799,0.7949815670194513,0.8676614585208738
38,-1.1246381164579016,0.1303732907790366,0.6187594946010317,0.7691037603847464,0.8350676660394946,0.8586976338099971
39,-1.0937183002876132,0.31384740435648456,0.47934993141530907,0.7520242675845875,0.8181302775254928,0.8489939015140808
40,-1.1054195302101415,0.143288372997636,0.6547243573651809,0.8280896501447416,0.8409660837870976,0.8947648156441148
41,-1.1210937598616635,0.20695703899230672,0.5730878863206298,0.7192466122670332,0.7331060074385938,0.8136220222312125
42,-1.1522085876318906,0.006727508892376942,0.6612215120902925,0.7030357957311367,0.7630294189920658,0.7705470117596966
