sample,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,Phi_L,d1,d2,d3,d4,d5,d6,d7
1,-3.50890403,-3.58215463,-3.79032425,-3.79084376,-3.79217096,-3.79223025,-3.79274173,-3.79357038,3.50890403,0.13989835,0.53747304,0.53846522,0.541,0.54111324,0.54209008,0.54367269
2,-3.54833266,-3.62188477,-3.83030758,-3.83069794,-3.83089167,-3.83283072,-3.8328797,-3.83348805,3.54833266,0.14047419,0.53853244,0.53927796,0.53964796,0.54335127,0.54344482,0.54460668
3,-3.44508986,-3.53163031,-3.72712435,-3.72745023,-3.72924119,-3.729444,-3.73089773,-3.73104313,3.44508986,0.16528008,0.5386462,0.53926857,0.54268906,0.5430764,0.54585281,0.54613051
4,-3.4789517,-3.59064708,-3.76307236,-3.76330061,-3.76340009,-3.76432576,-3.76683081,-3.76711113,3.4789517,0.21332245,0.54263049,0.54306641,0.5432564,0.5450243,0.5498086,0.55034396
5,-3.63087951,-3.74702625,-3.90679738,-3.91246832,-3.91336425,-3.9147011,-3.91491117,-3.91618623,3.63087951,0.22182394,0.52696431,0.53779502,0.53950612,0.54205932,0.54246052,0.5448957
6,-3.54392633,-3.61639774,-3.82459563,-3.82665012,-3.82724059,-3.82832428,-3.82887207,-3.82950312,3.54392633,0.13841021,0.53603888,0.53996267,0.54109038,0.54316008,0.54420629,0.54541149
7,-3.54119802,-3.63711645,-3.82134624,-3.82327369,-3.82680101,-3.82772418,-3.82821852,-3.82859679,3.54119802,0.1831907,0.53504368,0.53872484,0.54546152,0.54722466,0.54816877,0.54889121
8,-3.5075679,-3.60901272,-3.78840146,-3.78923029,-3.78925961,-3.79061412,-3.79248898,-3.79290829,3.5075679,0.19374533,0.53635259,0.53793554,0.53799153,0.54057847,0.54415919,0.54496
9,-3.51811589,-3.59392672,-3.7993169,-3.80037109,-3.80129153,-3.80276132,-3.80359738,-3.80375536,3.51811589,0.14478801,0.53705436,0.53906772,0.54082563,0.54363273,0.54522949,0.5455312
10,-3.55326565,-3.66250174,-3.83539633,-3.835845,-3.83829732,-3.83938059,-3.83940301,-3.83957399,3.55326565,0.20862556,0.53882992,0.5396868,0.5443704,0.54643929,0.5464821,0.54680865
11,-3.42977119,-3.49832496,-3.7142147,-3.71661625,-3.71670395,-3.71690824,-3.71700186,-3.71735708,3.42977119,0.13092807,0.5432471,0.54783371,0.54800122,0.54839138,0.54857019,0.5492486
12,-3.48380565,-3.61187978,-3.77082847,-3.77261698,-3.77292861,-3.7733668,-3.77373752,-3.77472758,3.48380565,0.24460358,0.5481732,0.551589,0.55218419,0.55302106,0.55372908,0.55561995
