delta,configuration,raw_lower,radius,max_weight,stationarity_radius,optimality_radius,moment_dimension,variable_count,min_moment_eigenvalue,wall_seconds
0.0,dense_r2,-0.4999999992485778,2,2,0,0,16,13,4.92900350245987e-10,0.19265841699962039
0.0,sparse_r3,-0.4999999994794377,3,1,0,0,10,22,8.909684977435237e-10,0.06872458400175674
0.0,sparse_r3_stationarity,-0.499999999478528,3,1,1,0,10,22,8.936467831006723e-10,0.0722457919982844
0.0,dense_r2_optimality,-0.4999999969435349,2,2,0,1,16,13,1.1985161153927082e-09,0.21663262500078417
0.5,dense_r2,-0.6249999989313174,2,2,0,0,16,13,2.720977057616301e-10,0.1689132499996049
0.5,sparse_r3,-0.6249999960753732,3,1,0,0,10,22,3.8571655555318035e-09,0.07152637499893899
0.5,sparse_r3_stationarity,-0.6249999960717371,3,1,1,0,10,22,3.8591229958554996e-09,0.12278612500085728
0.5,dense_r2_optimality,-0.6249999987913787,2,2,0,1,16,13,7.74555287560403e-10,0.42949508300080197
1.0,dense_r2,-0.7499999996317095,2,2,0,0,16,13,4.910558915859465e-10,0.24612829200123088
1.0,sparse_r3,-0.7499999992599755,3,1,0,0,10,22,8.322686201981105e-10,0.09411108299900661
1.0,sparse_r3_stationarity,-0.7499999992599755,3,1,1,0,10,22,8.322686201981105e-10,0.08149887500258046
1.0,dense_r2_optimality,-0.7499999988211123,2,2,0,1,16,13,7.449607604255982e-10,0.20381699999779812
2.0,dense_r2,-0.9999999991429533,2,2,0,0,16,13,5.421221897385179e-10,0.16841541699977824
2.0,sparse_r3,-0.9999999989794366,3,1,0,0,10,22,3.245350401515282e-10,0.0683704580005724
2.0,sparse_r3_stationarity,-0.9999999989769098,3,1,1,0,10,22,3.2398664911636757e-10,0.07878595799775212
2.0,dense_r2_optimality,-0.999999998516274,2,2,0,1,16,13,3.143958387076909e-10,0.21697258299900568
