path,source_role,delta,level,block_size,certified_lower,bethe_lower,bethe_upper,certified_upper,lower_error,upper_error,width,lower_method,upper_method,generator,solver,git_commit,sha256,byte_count
outputs/final/grid/delta_m2/level_3_block_4.json,xxz-grid,-2,3,4,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,local-term-spectrum,polarized-or-neel-product,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,f83e717f7b75c429ebfa68accb664e5fc8b2f780a58523245fae7100913268bf,718
outputs/final/grid/delta_m2/level_5_block_6.json,xxz-grid,-2,5,6,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,local-term-spectrum,polarized-or-neel-product,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,113b4e2e12310ef4223e608c5fa5b1710748c3a54bd4f8aa77ebfbe68e83223f,718
outputs/final/grid/delta_m2/level_7_block_8.json,xxz-grid,-2,7,8,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,local-term-spectrum,polarized-or-neel-product,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,e5d900326f95d4adbbaf11124fe36bd8b86a442ec0098a53efd1814528d36a6b,718
outputs/final/grid/delta_m1/level_3_block_4.json,xxz-grid,-1,3,4,-0.25,-0.25,-0.25,-0.25,0.00,0.00,0.00,local-term-spectrum,polarized-or-neel-product,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,5cf822674e34de8f44c6137666a60aa9baa6e2dcb2f55a98b248a5b361015917,739
outputs/final/grid/delta_m1/level_5_block_6.json,xxz-grid,-1,5,6,-0.25,-0.25,-0.25,-0.25,0.00,0.00,0.00,local-term-spectrum,polarized-or-neel-product,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,b7339096855cd1b0f6001e735ecc023ca2f03a654018ea49c92f92b513a3ecac,739
outputs/final/grid/delta_m1/level_7_block_8.json,xxz-grid,-1,7,8,-0.25,-0.25,-0.25,-0.25,0.00,0.00,0.00,local-term-spectrum,polarized-or-neel-product,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,dbdc6721597ec14dbf620edffe4e1ab1aaf3c62529979165ac80b35ff54c8e28,739
outputs/final/grid/delta_m0p5/level_3_block_4.json,xxz-grid,-0.5,3,4,-0.2965351655,-0.274591221622174030958518642364651896059513092041015625,-0.274446884054483974946236912728636525571346282958984375,-0.2274631224691020214929158114607306448181,0.02194394387782596904148135764,0.04698376158538195345332110127,0.06907204303089797850708418854,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,eabdba1e91a8df7e0d1916a2d170b7a0e3ebc5255d1df149fac6b8ee5212f8c9,1228
outputs/final/grid/delta_m0p5/level_5_block_6.json,xxz-grid,-0.5,5,6,-0.28412636,-0.274591221622174030958518642364651896059513092041015625,-0.274446884054483974946236912728636525571346282958984375,-0.2422333305786578160034879810249136594331,0.009535138377825969041481357635,0.03221355347582615894274893170,0.04189302942134218399651201898,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,2828f47bd71e11cf6a690b8068d4e0f3297e836d9648c1c9f2284a8b3174c940,4471
outputs/final/grid/delta_m0p5/level_7_block_8.json,xxz-grid,-0.5,7,8,-0.2840084858833333333333333333333333333334,-0.274591221622174030958518642364651896059513092041015625,-0.274446884054483974946236912728636525571346282958984375,-0.2499372762427996762484424064072496869652,0.009417264261159302374814690969,0.02450960781168429869779450632,0.03407120964053365708489092693,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,f1ff60421ba706810443cd465356496b7c736593296c86a289f9c2e2f405f1fb,3878
outputs/final/grid/delta_0/level_3_block_4.json,xxz-grid,0,3,4,-0.35355339065,-0.3183098861837907467275954331853426992893218994140625,-0.31830988618379063570529297066968865692615509033203125,-0.2795084971874736979007646622433456626425,0.03524350446620925327240456681,0.03880138899631693780452830843,0.07404489346252630209923533776,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,785af9047148b043b7ee15a699fde10805c1601233b9424b4c0ee95b6ae9a676,1227
