family,bond_dimension,depth,slack_margin,raw_lower,min_numerical_slack,exact_lower,status,promoted
u1-conic-rg,6,5,0,-0.46712927294774115,-3.65495615281007e-11,,optimal,false
u1-conic-rg,6,7,0,-0.45639164705193397,-3.712270929740189e-7,,optimal_inaccurate,false
u1-conic-rg,6,9,0,-0.451557586734983,-1.004810318335534e-6,,optimal_inaccurate,false
u1-conic-rg,6,11,0,-0.4489686177418895,-3.3387438198275242e-6,,optimal_inaccurate,false
u1-conic-rg,6,13,0,-0.4474244180594897,-1.50850384949132e-6,,optimal_inaccurate,false
u1-conic-rg,6,15,0,-0.44644270925755863,-4.288757685512149e-6,,optimal_inaccurate,false
u1-conic-rg,6,17,0,-0.445773298274977,-2.7971875563273306e-6,-0.46218701,exact-repair-dominated,false
u1-conic-rg,6,17,0.0001,-0.44760607531655994,9.144690964563324e-5,,strict-numerical-dominated,false
u1-conic-rg,6,17,0.00001,-0.4459555919899805,5.531552815220214e-6,-0.445955592,exact-verified,false
u1-conic-rg,6,19,0,-0.44528580759513053,-7.838338345982603e-6,,optimal_inaccurate,false
u1-conic-rg,6,19,0.00001,-0.4455039960267747,4.414405791065271e-6,-0.445503996,exact-verified,false
u1-conic-rg,6,21,0,-0.44496401878922665,-5.972045947521844e-6,,optimal_inaccurate,false
u1-conic-rg,6,21,0.00001,-0.4451779599237683,1.094619849102286e-6,-0.4451779599,exact-verified,false
u1-conic-rg,6,23,0,-0.4447111086144071,-1.2021518059111837e-5,,optimal_inaccurate,false
u1-conic-rg,6,23,0.00001,-0.44494534915236345,-3.0458051224255954e-6,,numerical-slack-failed,false
u1-conic-rg,6,23,0.000015,-0.4450613894482063,6.946345297367591e-6,-0.4450613894,exact-verified,false
u1-conic-rg,6,31,0.00002,-0.4447274665895768,1.928428354556524e-6,-0.4447274666,exact-verified,false
u1-conic-rg,6,39,0.00003,-0.44494134892870846,2.6574633088259063e-5,,strict-numerical-dominated,false
u1-conic-rg,6,39,0.00001,-0.44428633014080776,4.298973058448378e-6,-0.4442863301,exact-verified,false
u1-conic-rg,6,47,0.00001,-0.44423502616321275,5.095019543367395e-6,,strict-interpolation-anchor,false
u1-conic-rg,6,47,0,-0.4438759601322945,-2.1893565898745028e-6,,numerical-slack-failed,false
u1-conic-rg-interpolated,6,47,0.000002,-0.4439765669618028,2.0000000083420894e-6,-0.443976567,exact-verified,true
u1-conic-rg,6,63,0.00001,-0.4442443274401114,-1.6352957397018864e-5,,numerical-slack-failed,false
u1-scs-rg,6,63,0.00001,-0.44604738481491224,-3.915774649219044e-5,,numerical-slack-failed,false
u1-barrier-rg,6,48,0,-0.4467277853202573,4.250589539328164e-6,,strict-numerical-dominated,false
