step,label,N,opt,E_ref,ref_source,gap_ref,rel_err,J2_model,table3_dmrg,table3_new,table3_old,dev_vs_dmrg,dev_vs_new,d,extra,r,rdm,pso,lso,lol,three_type,SU2_symmetry,lattice,Gram,correlation,J2,supp,coe,mosek_tol_pfeas,mosek_tol_dfeas,mosek_tol_relgap,termination_status,primal_status,status_source,primal_residual,dual_residual,duality_gap,solve_s,wall_s,peak_rss_gb,peak_swap_gb,limit_hit,error,protocol_sha256,harness_commit,qmbcertify_commit,script_sha256,project_toml_sha256,manifest_toml_sha256,julia_version,mosek_version,hostname,cpu_model,timestamp_utc,source_run
t1q-scnet,j100_0.2,100,-0.40860761229685183,,,,,0.2,-0.4432295,-0.4432378,-0.4435928,0.03462188770314817,0.034630187703148185,4,4,5,10,0,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.15000000000000002]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,1.2e-8,4.2e-8,1.6e-12,856.358487056,6603.983628034592,87.69730758666992,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r04n02,AMD EPYC 7742 64-Core Processor,2026-07-28T19:26:44Z,scnet-20260729-001929
t1q-scnet,j100_0.4,100,-0.380888570004292,,,,,0.4,-0.4432295,-0.4432378,-0.4435928,0.062340929995708005,0.06234922999570802,4,4,5,10,0,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.30000000000000004]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,1.5e-8,1.1e-7,5.6e-13,966.10420969,7452.978547096252,97.22521209716797,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r07n03,AMD EPYC 7742 64-Core Processor,2026-07-28T20:09:40Z,scnet-20260729-001929
t1q-scnet,j100_0.5,100,-0.3749999956961154,-0.375,MG_exact,-4.303884582057549e-9,1.1477025552153464e-8,0.5,-0.4432295,-0.4432378,-0.4435928,0.06822950430388458,0.0682378043038846,4,4,5,10,0,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.375]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,5.8e-9,1.9e-7,7.0e-13,802.989179066,6168.392580032349,88.10116577148438,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r03n08,AMD EPYC 7742 64-Core Processor,2026-07-28T19:07:52Z,scnet-20260729-001929
t1q-scnet,j100_0.6,100,-0.38141486274157516,,,,,0.6,-0.4432295,-0.4432378,-0.4435928,0.06181463725842484,0.06182293725842486,4,4,5,10,0,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.44999999999999996]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,2.4e-9,1.5e-7,4.2e-13,803.958330738,5809.418253898621,90.52639770507812,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r03n08,AMD EPYC 7742 64-Core Processor,2026-07-28T20:45:15Z,scnet-20260729-001929
t1q-scnet,j100_0.8,100,-0.42491055771758135,,,,,0.8,-0.4432295,-0.4432378,-0.4435928,0.01831894228241865,0.018327242282418665,4,4,5,10,0,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.6000000000000001]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,8.2e-9,5.3e-7,5.0e-13,902.15945758,7221.396324157715,103.03507995605469,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r02n03,AMD EPYC 7742 64-Core Processor,2026-07-28T21:28:27Z,scnet-20260729-001929
t1q-scnet,j100_1.0,100,-0.49263137927659956,,,,,1.0,-0.4432295,-0.4432378,-0.4435928,-0.04940187927659956,-0.04939357927659954,4,4,5,10,0,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.75]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,9.3e-9,9.4e-7,3.0e-14,1085.331412115,7040.366004228592,104.7553596496582,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r07n01,AMD EPYC 7742 64-Core Processor,2026-07-28T20:00:07Z,scnet-20260729-001929
t1q-scnet,j100c_0.2_pso3,100,,,,,,0.2,-0.4432295,-0.4432378,-0.4435928,,,4,4,5,10,3,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.15000000000000002]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,NaN,NaN,NaN,NaN,6290.603038072586,110.14131164550781,0.0,MAX_RSS_GB,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r02n03,AMD EPYC 7742 64-Core Processor,2026-07-28T23:14:28Z,scnet-20260729-001929
t1q-scnet,j100c_0.2_pso3,100,,,,,,0.2,-0.4432295,-0.4432378,-0.4435928,,,4,4,5,10,3,true,100,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.15000000000000002]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,NaN,NaN,NaN,NaN,5761.8088138103485,230.06525039672852,0.0,MAX_RSS_GB,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a04r08n03,AMD EPYC 7742 64-Core Processor,2026-07-29T01:46:24Z,scnet-20260729-001929
t1q-scnet,j40_0.2,40,-0.4089457223077567,,,,,0.2,-0.443663,-0.4436649,-0.443782,0.034717277692243254,0.03471917769224325,4,4,5,10,0,true,40,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.15000000000000002]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,1.3e-8,2.3e-8,3.5e-12,450.183091206,3649.6623711586,16.987777709960938,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r04n02,AMD EPYC 7742 64-Core Processor,2026-07-28T21:02:16Z,scnet-20260729-001929
t1q-scnet,j40_0.4,40,-0.3810499605208927,,,,,0.4,-0.443663,-0.4436649,-0.443782,0.06261303947910729,0.06261493947910729,4,4,5,10,0,true,40,"[1, 1]",false,chain,false,false,0,"[[1, 4], [1, 7]]","[0.75, 0.30000000000000004]",1.0e-8,1.0e-8,1.0e-8,OPTIMAL,FEASIBLE_POINT,inferred_absent_warning_line,1.9e-8,7.5e-9,4.3e-12,425.441343145,3609.8510370254517,18.22376251220703,0.0,,,d9e9728b357e91a7d9c161749a546f385bd2e1c90aead8bd94c9489a711dbea3,MISSING,MISSING,337b18142f93b98c5eeaef900f4ce19ccea6ea38c443bb4d63ffeeb0b9ebe838,e65de1408ebaa9331ce2d7c5d1f3d6087909425a2d55682e8fc64a05d9143fa7,f3053e2a84a5dfcb8dd575009ea707f7e437ad85f81c74f047d5562062110ccb,1.12.6,Mosek=11.2.0;MosekTools=0.15.10,a01r04n02,AMD EPYC 7742 64-Core Processor,2026-07-28T21:10:08Z,scnet-20260729-001929
