N,arm,E,pfeas,dfeas,mu,scalarized,rows,newwords,wall_s,rss_gb,status
10,B,-0.45154960610541467,5.6e-9,7.7e-9,8.6e-12,19376,472,-1,18.7,1.22,OPTIMAL
10,C,-0.45154960691119955,3.5e-9,1.8e-8,5.4e-12,19376,472,0,19.1,1.25,OPTIMAL
10,A,-0.4515446345864799,7.2e-9,4.5e-10,3.6e-11,29315,527,-1,19.6,1.21,OPTIMAL
10,D,-0.4515496069145203,3.5e-9,1.9e-8,5.3e-12,19397,472,0,18.8,1.25,OPTIMAL
8,B,-0.45638667089699375,8.3e-9,3.5e-9,1.6e-11,15085,145,-1,20.3,1.13,OPTIMAL
8,C,-0.45638667110949827,1.0e-8,2.7e-10,2.0e-11,15085,145,0,19.4,1.27,OPTIMAL
14,D,,,,,,,,,,STRUCTURALLY_ABSORBED
20,C,-0.4454338244947629,1.2e-8,3.5e-7,8.9e-12,40831,1742,0,21.9,1.46,OPTIMAL
20,D,,,,,,,,,,STRUCTURALLY_ABSORBED
12,B,-0.4489881077364106,2.9e-9,5.2e-9,3.7e-12,23667,726,-1,21.0,1.16,OPTIMAL
12,C,-0.4489881019933648,2.0e-8,1.5e-9,2.5e-11,23667,726,0,21.6,1.21,OPTIMAL
12,A,-0.4489574122227556,1.8e-8,2.3e-10,6.9e-11,40431,930,-1,21.3,1.22,OPTIMAL
12,D,,,,,,,,,,STRUCTURALLY_ABSORBED
14,C,-0.4474641167606778,1.6e-8,1.8e-8,1.8e-11,27958,980,0,20.6,1.24,OPTIMAL
14,C4,-0.4474641206954123,7.4e-9,3.6e-7,8.0e-12,27958,980,0,56.4,9.39,OPTIMAL
