N,arm,psd_scalars,psd_blocks,largest_block,tsupp_rows,cons_nnz,rg_rows,build_s,rss_gb,status,config_sha16
14,B,27958,16,66,980,187431,0,18.0,1.34,BUILD_OK,c7f360bd31801d9d
14,C6,77494,22,128,980,188023,768,19.5,1.41,BUILD_OK,2a3192bccc2f03ee
14,D,77630,23,128,982,188091,768,17.3,1.33,BUILD_OK,3327d7027ac27ebd
14,A,53563,16,96,1416,335298,0,17.5,1.31,BUILD_OK,6d985fe1d54c5993
20,B,40831,22,66,1742,404595,0,16.8,1.32,BUILD_OK,9535bf2dd93f4e3c
20,C6,90367,28,128,1742,405187,768,17.8,1.48,BUILD_OK,fc7e0acf4e96ff09
20,D,90503,29,128,1744,405255,768,18.4,1.32,BUILD_OK,678b88b308607303
20,A,106615,22,114,3420,998315,0,16.7,1.3,BUILD_OK,a2b0991cfdefca65
26,B,62247,28,72,2924,817378,0,17.5,1.33,BUILD_OK,c3eec8b47a05fa9f
26,C6,111783,34,128,2924,817970,768,17.6,1.34,BUILD_OK,7d713edc8b9287b3
26,D,111954,35,128,2926,818056,768,16.5,1.33,BUILD_OK,3c8705b188fd979f
26,A,183427,28,132,6323,2293266,0,19.0,1.3,BUILD_OK,76dcec44649de51a
30,B,82858,32,78,4039,1261953,0,19.4,1.29,BUILD_OK,f421d4a36c321638
30,C6,132394,38,128,4039,1262545,768,18.3,1.42,BUILD_OK,817264972fa2a541
30,D,132604,39,128,4041,1262651,768,16.5,1.34,BUILD_OK,89f33a5bf3f3ba31
30,A,249915,32,144,8812,3647756,0,19.0,1.31,BUILD_OK,d0db8a5f1e197a09
20,C10,156415,36,128,1742,405187,1792,15.7,1.44,BUILD_OK,0d81902459b9265d
