N,arm,E,pfeas,dfeas,mu,scalarized,mosek_rows,newwords,gamma2_dim,rg_rows,wall_s,rss_gb,status,config_sha16
14,B,-0.4474641215158288,2.7e-9,2.3e-8,2.9e-12,27958,980,-1,0,0,21.3,1.29,OPTIMAL,c7f360bd31801d9d
14,C6,-0.44746405927851357,3.2e-7,1.6e-9,2.1e-10,27958,980,0,0,768,255.6,16.26,OPTIMAL,2a3192bccc2f03ee
14,A,-0.44741733629188707,6.6e-9,3.1e-9,2.0e-11,53563,1416,-1,0,0,23.8,1.38,OPTIMAL,6d985fe1d54c5993
20,B,-0.4454338256439514,7.9e-9,8.7e-8,5.0e-12,40831,1742,-1,0,0,23.2,1.38,OPTIMAL,9535bf2dd93f4e3c
20,C6,-0.44543378060292455,1.5e-7,4.6e-8,6.4e-11,40831,1742,0,0,768,263.4,16.4,OPTIMAL,fc7e0acf4e96ff09
20,A,-0.44527718377959047,5.9e-9,8.9e-9,8.9e-12,106615,3420,-1,0,0,29.3,2.87,OPTIMAL,a2b0991cfdefca65
20,C10,,,,,,,,,,,,OOM_18G_CAP,
20,C14,,,,,,,,,,,,UNAVAILABLE_ED_CEILING,
14,D,,,,,,,,,,,,OOM_18G_CAP,
20,D,,,,,,,,,,,,OOM_18G_CAP,
14,E,,,,,,,,,,,,OOM_18G_CAP,
20,E,,,,,,,,,,,,OOM_18G_CAP,
