N,S,L_joint,L_base,eps_cmp,ordering,gamma2_dim,newwords,wall_s
10,B_pair_edge,-0.45154463311466,-0.45154463153958,5.35e-08,ok,6,0,322.3
10,B_half,-0.45154463341632,-0.45154463153958,2.08e-08,ok,6,0,372.2
10,B_half+B_pair_edge,-0.45154463311417,-0.45154463153958,7.30e-08,ok,8,0,373.1
10,B_bond_edge,-0.45154463085570,-0.45154463153958,9.03e-08,ok,8,0,311.3
10,B_bond_edge+B_pair_edge,-0.45154463392835,-0.45154463153958,2.34e-07,ok,10,0,304.6
10,B_bond_edge+B_half,-0.45154463049349,-0.45154463153958,8.20e-08,ok,10,0,294.6
10,B_bond_edge+B_half+B_pair_edge,-0.45154463388415,-0.45154463153958,8.80e-08,ok,12,0,382.5
10,B_bond_half,-0.45154463069063,-0.45154463153958,6.78e-08,ok,8,0,288.3
10,B_bond_half+B_pair_edge,-0.45154463392877,-0.45154463153958,1.67e-07,ok,10,0,379.3
10,B_bond_half+B_half,-0.45154463052049,-0.45154463153958,7.60e-08,ok,10,0,270.0
10,B_bond_half+B_half+B_pair_edge,-0.45154463387403,-0.45154463153958,1.45e-07,ok,12,0,360.9
10,B_bond_edge+B_bond_half,-0.45154463394398,-0.45154463153958,8.58e-08,ok,12,0,279.8
10,B_bond_edge+B_bond_half+B_pair_edge,-0.45154463347401,-0.45154463153958,2.29e-08,ok,14,0,308.9
10,B_bond_edge+B_bond_half+B_half,-0.45154463332295,-0.45154463153958,2.73e-08,ok,14,0,258.2
12,B_pair_edge,-0.44894966573262,-0.44894966864368,7.77e-08,ok,6,0,445.3
12,B_half,-0.44894966597206,-0.44894966864368,7.63e-08,ok,6,0,359.9
12,B_half+B_pair_edge,-0.44894966570245,-0.44894966864368,6.86e-08,ok,8,0,476.1
12,B_bond_edge,-0.44894966105028,-0.44894966864368,1.45e-07,ok,8,0,264.0
12,B_bond_edge+B_pair_edge,-0.44894966235175,-0.44894966864368,9.24e-08,ok,10,0,422.2
12,B_bond_edge+B_half,-0.44894966204983,-0.44894966864368,9.95e-08,ok,10,0,304.5
12,B_bond_edge+B_half+B_pair_edge,-0.44894966341709,-0.44894966864368,8.17e-08,ok,12,0,382.2
12,B_bond_half,-0.44894966669052,-0.44894966864368,6.46e-08,ok,8,0,378.5
12,B_bond_half+B_pair_edge,-0.44894966425823,-0.44894966864368,9.31e-08,ok,10,0,383.9
12,B_bond_half+B_half,-0.44894966764207,-0.44894966864368,6.90e-08,ok,10,0,290.4
12,B_bond_half+B_half+B_pair_edge,-0.44894965849528,-0.44894966864368,1.39e-07,ok,12,0,266.5
12,B_bond_edge+B_bond_half,-0.44894966055556,-0.44894966864368,1.07e-07,ok,12,0,398.4
12,B_bond_edge+B_bond_half+B_pair_edge,-0.44894966058677,-0.44894966864368,1.22e-07,ok,14,0,402.1
12,B_bond_edge+B_bond_half+B_half,-0.44894966307355,-0.44894966864368,8.62e-08,ok,14,0,344.5
