stage_bond_dimension,sweep_index,reported_bond_dimension,discarded_weight,energy_hartree
100,0,100,2.0792426117425925e-06,-59.600902216915856
100,1,100,3.7209495501149688e-06,-60.493972550165154
100,2,100,1.6489204287398532e-05,-61.067251430386406
100,3,100,2.5605665423045261e-05,-62.151141081091012
100,4,100,3.8314975183810751e-05,-62.16867740940851
100,5,100,4.396674433720318e-05,-62.196750784001331
100,6,100,7.5786651692996533e-05,-62.20257317671043
100,7,100,7.5973944139510658e-05,-62.253929578507346
200,0,200,6.2778294016995142e-06,-62.259083612531583
200,1,200,9.4777233849724396e-06,-62.259648057404135
200,2,200,2.1048997107023697e-05,-62.259732731606938
200,3,200,1.3199691668776895e-05,-62.259776528451873
200,4,200,2.3299904760095476e-05,-62.259785042111915
200,5,200,1.3721125394554896e-05,-62.25978636750704
200,6,200,1.2519891940255515e-05,-62.259804435295543
200,7,200,1.2898918023739337e-05,-62.259827322679456
400,0,400,2.3665741138249757e-06,-62.259984248157593
400,1,400,1.7836353713827448e-06,-62.260013601343246
400,2,400,3.5096916570972459e-06,-62.260018422534223
400,3,400,1.9030290911781414e-06,-62.260019626093481
400,4,400,3.5537741087718201e-06,-62.260019981705454
400,5,400,1.8859848204652871e-06,-62.260020057597366
400,6,400,1.4400849051390457e-06,-62.260024241783874
400,7,400,1.4770093498629931e-06,-62.260028687622629
600,0,600,9.368306789847392e-07,-62.260037735776166
600,1,600,5.0181195898381466e-07,-62.260044685967209
600,2,600,9.9911823891066945e-07,-62.260044980288846
600,3,600,5.0700903532664685e-07,-62.260045187071476
600,4,600,1.0071986351925815e-06,-62.260045209066163
600,5,600,5.0930527329847324e-07,-62.260045299098813
600,6,600,3.6953666566074741e-07,-62.260046551837206
600,7,600,3.8208418604790573e-07,-62.260048077116998
800,0,800,3.7261563235909056e-07,-62.260048567819211
800,1,800,1.8412942455857347e-07,-62.260050678064765
800,2,800,3.7205744936525138e-07,-62.260050688593751
800,3,800,1.8356260729194779e-07,-62.260050742431567
800,4,800,3.7397652795210862e-07,-62.260050715438084
800,5,800,1.838868213671063e-07,-62.260050752882229
800,6,800,1.3261300134081977e-07,-62.260051295746457
800,7,800,1.3704259935644186e-07,-62.260051931311182
1000,0,1000,1.7108779786785842e-07,-62.260051840382843
1000,1,1000,7.0428070875054918e-08,-62.260052392910481
1000,2,1000,1.8057637490739918e-07,-62.260052440332281
1000,3,1000,6.9816558178991661e-08,-62.260052408680806
1000,4,1000,1.8103131970971596e-07,-62.260052448092068
1000,5,1000,6.9829049699778495e-08,-62.260052410323681
1000,6,1000,5.373733747864667e-08,-62.26005283752697
1000,7,1000,5.5583236912391291e-08,-62.260053094694968
1500,0,1500,3.0104819025458848e-08,-62.260053207524336
1500,1,1500,1.1021431716260379e-08,-62.260053435336175
1500,2,1500,3.2606283609347444e-08,-62.260053452432636
1500,3,1500,1.076915105001813e-08,-62.260053443801922
1500,4,1500,3.545867986131923e-08,-62.260053493765824
1500,5,1500,1.1090888994877285e-08,-62.260053473414771
1500,6,1500,9.1725497154595615e-09,-62.260053673859275
1500,7,1500,9.5529990367961875e-09,-62.260053763176991
