epsilon,method,dimension,runs,certified_success_rate,latent_success_rate,censored_certified_query_q25,censored_certified_query_median,censored_certified_query_q75,censored_certified_shots_median,best_exact_infidelity_q25,best_exact_infidelity_median,best_exact_infidelity_q75
0.1,nominal_hessian,15,15,1.0,1.0,235.0,238.0,241.0,15597568.0,5.9827983681703945e-05,0.00010608604884454476,0.00013982571639375996
0.1,nominal_hessian,20,15,1.0,1.0,309.5,313.0,328.0,20512768.0,6.582361149581883e-05,7.21576893274456e-05,0.00012405190603592686
0.1,nominal_hessian,30,15,1.0,1.0,451.5,461.0,506.5,30212096.0,5.024850215068488e-05,8.14403167171962e-05,0.00010948177727143626
0.1,random,20,15,0.0,0.0,701.0,701.0,701.0,45940736.0,0.0014419639398984274,0.0017242542519032567,0.0023321741710014
0.1,raw_full,40,15,0.13333333333333333,0.26666666666666666,701.0,701.0,701.0,45940736.0,0.0009552306073135619,0.0013399592400009652,0.0015915718681553948
0.1,robust_ensemble,15,15,1.0,1.0,235.0,237.0,241.5,15532032.0,5.053538862892504e-05,6.643091377944721e-05,0.0001833748483272002
0.1,robust_ensemble,20,15,1.0,1.0,316.0,320.0,331.5,20971520.0,4.818637690134908e-05,5.2119626869018276e-05,9.851485557210715e-05
0.1,robust_ensemble,30,15,1.0,1.0,454.5,506.0,512.0,33161216.0,5.0381183549941255e-05,7.273283040443168e-05,0.00010363195606433173
0.3,nominal_hessian,15,15,0.8,0.8666666666666667,256.0,259.0,275.0,16973824.0,0.0003325137559282987,0.0004924287327119359,0.0007925137576030306
0.3,nominal_hessian,20,15,0.8666666666666667,0.8666666666666667,354.5,372.0,393.0,24379392.0,0.0001400496711674304,0.00017954421747023996,0.00030496592461287664
0.3,nominal_hessian,30,15,1.0,1.0,539.0,554.0,571.0,36306944.0,7.237924145220287e-05,0.0001993220944657148,0.0003168173613786185
0.3,random,20,15,0.0,0.0,701.0,701.0,701.0,45940736.0,0.012599605566490202,0.014183820518338108,0.021039468558777252
0.3,raw_full,40,15,0.26666666666666666,0.3333333333333333,700.5,701.0,701.0,45940736.0,0.0008831886176857151,0.007732816316403768,0.010997031589521644
0.3,robust_ensemble,15,15,0.6666666666666666,0.8,262.5,282.0,701.0,18481152.0,0.00041331248266679443,0.0004754610999079256,0.000774990160345157
0.3,robust_ensemble,20,15,0.8666666666666667,1.0,351.5,360.0,374.0,23592960.0,9.525719962716339e-05,0.00014169997449042793,0.00047301427477242086
0.3,robust_ensemble,30,15,1.0,1.0,549.5,572.0,583.5,37486592.0,8.183966708047441e-05,0.0001572038759889427,0.0002203026990688639
0.5,nominal_hessian,15,15,0.2,0.4,701.0,701.0,701.0,45940736.0,0.0008285936806727845,0.0018587921012576114,0.0025142524397160915
0.5,nominal_hessian,20,15,0.6,0.6666666666666666,404.0,414.0,701.0,27131904.0,0.0002141234245079393,0.0005382689282693587,0.0015473406997538741
0.5,nominal_hessian,30,15,0.9333333333333333,0.9333333333333333,566.5,599.0,620.5,39256064.0,0.00011403904300283374,0.0001917147192574964,0.00033808007247904115
0.5,random,20,15,0.0,0.0,701.0,701.0,701.0,45940736.0,0.006068329223920588,0.00959077343139092,0.01647970645986785
0.5,raw_full,40,15,0.5333333333333333,0.8666666666666667,700.0,700.0,701.0,45875200.0,0.0004216616102740711,0.0006070448451012123,0.0009101655418830568
0.5,robust_ensemble,15,15,0.13333333333333333,0.2,701.0,701.0,701.0,45940736.0,0.0011958754088916002,0.001854184038980411,0.002448590909720827
0.5,robust_ensemble,20,15,0.5333333333333333,0.5333333333333333,393.0,444.0,701.0,29097984.0,0.0002251764918799748,0.0007138251545524277,0.0013651747281443471
0.5,robust_ensemble,30,15,1.0,1.0,566.5,579.0,609.0,37945344.0,0.00016450320668848217,0.00020353361020297722,0.00028693755118847086
