epsilon,dimension,subspace,success_rate,censored_query_q25,censored_query_median,censored_query_q75,best_infidelity_q25,best_infidelity_median,best_infidelity_q75
0.1,3,hessian,0.0,1001.0,1001.0,1001.0,0.0017159486251936418,0.0017159851957584404,0.0017180079194479836
0.1,3,random,0.0,1001.0,1001.0,1001.0,0.0018150351091839045,0.0019470104722039139,0.00196202090418629
0.1,5,hessian,0.0,1001.0,1001.0,1001.0,0.001671835460420934,0.0016725174121883235,0.0016729218672891788
0.1,5,random,0.0,1001.0,1001.0,1001.0,0.0016983459797388356,0.0018512053719718091,0.0018664154072188799
0.1,10,hessian,1.0,22.0,22.0,22.0,0.0008755015172675629,0.000883074400329753,0.0008836461342215385
0.1,10,random,0.2,1001.0,1001.0,1001.0,0.0013802855942893766,0.0014464044715870594,0.001493020066516304
0.1,15,hessian,1.0,32.0,32.0,32.0,2.7162951284909198e-05,4.6683141091019564e-05,0.00013014204831418574
0.1,15,random,0.4,77.0,1001.0,1001.0,0.0009967192334960906,0.0012704696279786099,0.001408716024381973
0.1,20,hessian,1.0,42.0,42.0,42.0,6.496710936754191e-05,9.886793465274657e-05,0.00013886215618397202
0.1,20,random,0.4,48.0,1001.0,1001.0,0.000888816654603386,0.00124042307842831,0.0015846125554511703
0.1,30,hessian,1.0,62.0,62.0,62.0,2.568105735645254e-05,3.957988682257163e-05,5.648496430354921e-05
0.1,30,random,0.4,78.0,1001.0,1001.0,0.0009464306006041756,0.0010536185447401758,0.0011791998938280868
0.1,40,hessian,1.0,82.0,82.0,82.0,3.247820796847822e-05,3.852288330541409e-05,7.183369761443181e-05
0.1,40,random,0.4,199.0,1001.0,1001.0,0.0009129272346691808,0.0010030097373993074,0.0011369065737961703
0.1,40,raw_full,0.6,156.0,165.0,1001.0,0.0007098272724154198,0.0009600628877657336,0.0011062850734019358
0.3,3,hessian,0.0,1001.0,1001.0,1001.0,0.01572299647818487,0.015729064749338995,0.015733051485753657
0.3,3,random,0.0,1001.0,1001.0,1001.0,0.0163500455031399,0.0183507336546872,0.018488464179462927
0.3,5,hessian,0.0,1001.0,1001.0,1001.0,0.015343239468316727,0.015347668769734701,0.015371663834773952
0.3,5,random,0.0,1001.0,1001.0,1001.0,0.014606603804520613,0.014982267358004231,0.015011402006838703
0.3,10,hessian,0.0,1001.0,1001.0,1001.0,0.008147931889114002,0.00814822953435268,0.008209751992001801
0.3,10,random,0.0,1001.0,1001.0,1001.0,0.01084950901570636,0.012586180046918805,0.013504292396671613
0.3,15,hessian,0.6,50.0,57.0,1001.0,0.0007261592915239756,0.0009558567606449131,0.0010312546348349994
0.3,15,random,0.0,1001.0,1001.0,1001.0,0.010212117997644765,0.011246996503008644,0.013315587673257911
0.3,20,hessian,0.6,67.0,72.0,1001.0,0.0002683194376014164,0.0005008536203784386,0.0011568611787056149
0.3,20,random,0.0,1001.0,1001.0,1001.0,0.009509778363465116,0.011484486101144942,0.013454228608139385
0.3,30,hessian,1.0,108.0,114.0,123.0,0.00014933902551073075,0.0001567592071944901,0.00024484500427257583
0.3,30,random,0.2,1001.0,1001.0,1001.0,0.007140262199569647,0.008652310865570945,0.011140257374690377
0.3,40,hessian,1.0,100.0,106.0,121.0,0.000115773712656142,0.0001161794102705338,0.00014221080059328983
0.3,40,random,0.0,1001.0,1001.0,1001.0,0.009102017024602449,0.009572318653672252,0.009593651644977386
0.3,40,raw_full,0.2,1001.0,1001.0,1001.0,0.007866111587126356,0.007947322556309588,0.008547620143257273
0.5,3,hessian,0.0,1001.0,1001.0,1001.0,0.043871593459337666,0.04388022611058917,0.04390979897040059
0.5,3,random,0.0,1001.0,1001.0,1001.0,0.046817617008850676,0.04978735990586214,0.05450030629212799
0.5,5,hessian,0.0,1001.0,1001.0,1001.0,0.043031873379426266,0.043047398312006546,0.04312516834366076
0.5,5,random,0.0,1001.0,1001.0,1001.0,0.03568599981606391,0.040867796539928114,0.04240290895534904
0.5,10,hessian,0.0,1001.0,1001.0,1001.0,0.02335163151828179,0.023456685991279813,0.023495019474872203
0.5,10,random,0.0,1001.0,1001.0,1001.0,0.03392756878283221,0.03781168654796785,0.03965008557538485
0.5,15,hessian,0.0,1001.0,1001.0,1001.0,0.0035592571896948533,0.0037295760599063144,0.0038501289981921483
0.5,15,random,0.0,1001.0,1001.0,1001.0,0.015185195979978805,0.021522653371827682,0.02807906691860529
0.5,20,hessian,0.6,126.0,162.0,1001.0,0.0005784937824134806,0.0007577487390326709,0.0010389555305269083
0.5,20,random,0.0,1001.0,1001.0,1001.0,0.012681003174143446,0.012898286198966713,0.01479791601835001
0.5,30,hessian,0.8,127.0,132.0,166.0,0.0001715088002763876,0.0002317712138066863,0.0006885767805352438
0.5,30,random,0.0,1001.0,1001.0,1001.0,0.01410049926723067,0.01730449470662876,0.020891459541665935
0.5,40,hessian,1.0,174.0,176.0,203.0,0.00010448308312660526,0.0001232267722695024,0.0002037958525601402
0.5,40,random,0.0,1001.0,1001.0,1001.0,0.0018702560156671488,0.005455446363091254,0.022174077462513875
0.5,40,raw_full,1.0,244.0,251.0,258.0,0.00028914921580547315,0.0005491477626750063,0.0006649085385612707
