epsilon,perturbation_seed,k,generator_dimension,minimum_coverage,mean_coverage,uncovered_weight,largest_angle_degrees,covered_90,covered_95,covered_99
0.0,113,15,15,0.9999999999981699,0.9999999999997934,3.1019631308026874e-12,7.751023439854259e-05,15,15,15
0.0,113,16,15,0.9999999999982037,0.9999999999997988,3.0198066269804258e-12,7.67921816449035e-05,15,15,15
0.0,113,17,15,0.9999999999984543,0.9999999999998225,2.6649793483102258e-12,7.123256155098263e-05,15,15,15
0.0,113,18,15,0.9999999999988756,0.9999999999998557,2.1653789872289053e-12,6.0756058786488236e-05,15,15,15
0.0,113,19,15,0.9999999999988949,0.9999999999998617,2.072120253160392e-12,6.0231900335879045e-05,15,15,15
0.0,113,20,15,0.9999999999989007,0.9999999999998669,1.9957369090661814e-12,6.007436768419945e-05,15,15,15
0.0,113,21,15,0.9999999999989257,0.9999999999998759,1.8618440122963875e-12,5.938485182304961e-05,15,15,15
0.0,113,22,15,0.9999999999989524,0.9999999999998804,1.7952306308188781e-12,5.8643747265684634e-05,15,15,15
0.0,113,23,15,0.9999999999989875,0.9999999999998831,1.7503776206240218e-12,5.7653432178788306e-05,15,15,15
0.0,113,24,15,0.9999999999989975,0.9999999999998888,1.6693313398263854e-12,5.73682526946535e-05,15,15,15
0.0,113,25,15,0.9999999999990128,0.9999999999998935,1.5965007094109751e-12,5.692820290457343e-05,15,15,15
0.0,113,26,15,0.9999999999990747,0.9999999999998984,1.5232259897857148e-12,5.511305627937753e-05,15,15,15
0.0,113,27,15,0.9999999999990778,0.999999999999899,1.5165646516379638e-12,5.502039585742148e-05,15,15,15
0.0,113,28,15,0.999999999999095,0.9999999999999045,1.432853835581227e-12,5.450794798469078e-05,15,15,15
0.0,113,29,15,0.9999999999990952,0.9999999999999044,1.4312995233467518e-12,5.450126112359898e-05,15,15,15
0.0,113,30,15,0.9999999999991367,0.9999999999999095,1.3560264022771662e-12,5.323605600496145e-05,15,15,15
0.0,113,31,15,0.9999999999991367,0.9999999999999102,1.347144618080165e-12,5.323605600496145e-05,15,15,15
0.0,113,32,15,0.9999999999991396,0.9999999999999133,1.3029577417000837e-12,5.314698087620737e-05,15,15,15
0.0,113,33,15,0.9999999999991505,0.9999999999999171,1.2447820552097255e-12,5.280988575771863e-05,15,15,15
0.0,113,34,15,0.9999999999992608,0.9999999999999343,9.865441796819141e-13,4.926059381030111e-05,15,15,15
0.0,113,35,15,0.9999999999994333,0.9999999999999473,7.891465259035613e-13,4.313035970652455e-05,15,15,15
0.0,113,36,15,0.9999999999994773,0.9999999999999566,6.505906924303417e-13,4.142342211220004e-05,15,15,15
0.0,113,37,15,0.999999999999521,0.9999999999999599,6.019629239517599e-13,3.9652248359908213e-05,15,15,15
0.0,113,38,15,0.9999999999995908,0.9999999999999669,4.980460488468452e-13,3.66526527844743e-05,15,15,15
0.0,113,39,15,0.9999999999997629,0.9999999999999837,2.4424906541753444e-13,2.790155266088344e-05,15,15,15
0.0,113,40,15,0.9999999999999973,0.9999999999999998,6.217248937900877e-15,2.9575586669421963e-06,15,15,15
0.01,113,15,15,0.9998028976424981,0.9999767384227257,0.00034892365911520784,0.8044199070747462,15,15,15
0.01,113,16,15,0.9998078535079796,0.99997743734178,0.00033843987329928993,0.7942418579886906,15,15,15
0.01,113,17,15,0.9998120791667154,0.9999777590184806,0.00033361472279269666,0.7854593254584129,15,15,15
0.01,113,18,15,0.9998182081172678,0.9999784703536793,0.0003229446948135317,0.7725436649347933,15,15,15
0.01,113,19,15,0.9998594375243367,0.9999818544261718,0.00027218360742464753,0.6793092150530707,15,15,15
0.01,113,20,15,0.999880852357776,0.9999834061706966,0.0002489074395525259,0.6254231942327647,15,15,15
0.01,113,21,15,0.9998885636975801,0.9999844943807534,0.0002325842886965468,0.6048449311168211,15,15,15
0.01,113,22,15,0.9998928732658463,0.9999851613678302,0.00022257948254422733,0.5930336262237044,15,15,15
0.01,113,23,15,0.9998987616953554,0.9999856254554271,0.0002156181685909475,0.5765040896044198,15,15,15
0.01,113,24,15,0.9999061388971088,0.9999864784835003,0.00020282274749505724,0.555101311004381,15,15,15
0.01,113,25,15,0.999913437145177,0.9999873661984477,0.00018950702328224267,0.5330828166077696,15,15,15
0.01,113,26,15,0.9999261629532326,0.9999884723122823,0.00017291531576757446,0.49234001674003225,15,15,15
0.01,113,27,15,0.9999311646513027,0.999988876983545,0.00016684524682464286,0.4753717545022459,15,15,15
0.01,113,28,15,0.999931449258403,0.9999893370029006,0.00015994495649274132,0.4743879764422837,15,15,15
0.01,113,29,15,0.9999338778865778,0.9999898675087938,0.00015198736809274305,0.4659086587271225,15,15,15
0.01,113,30,15,0.9999384708543456,0.9999907519931539,0.00013872010269344592,0.44943566049326317,15,15,15
0.01,113,31,15,0.9999385093260847,0.9999910663716206,0.0001340044256912254,0.4492951284781924,15,15,15
0.01,113,32,15,0.9999389650303884,0.9999913140234429,0.0001302896483597049,0.4476271466193589,15,15,15
0.01,113,33,15,0.9999398662589362,0.9999918681692911,0.00012197746063447035,0.4443100089916115,15,15,15
0.01,113,34,15,0.9999448999608155,0.999994627177607,8.05923358947469e-05,0.42530704301036965,15,15,15
0.01,113,35,15,0.9999840579751625,0.9999980260935089,2.9608597367225542e-05,0.22876813256457706,15,15,15
0.01,113,36,15,0.9999892533025748,0.9999985047343535,2.2428984696398757e-05,0.187828253807707,15,15,15
0.01,113,37,15,0.9999892792031492,0.9999985899367393,2.115094891042002e-05,0.1876017743788172,15,15,15
0.01,113,38,15,0.9999910562003473,0.9999990854431942,1.3718352087743746e-05,0.17135007973662775,15,15,15
0.01,113,39,15,0.9999927811589086,0.9999995187439267,7.218841098999285e-06,0.15394191891410614,15,15,15
0.01,113,40,15,0.9999999999999984,0.9999999999999994,7.549516567451064e-15,2.2588727439225506e-06,15,15,15
0.02,113,15,15,0.9992074868703361,0.9999067143442093,0.0013992848368605815,1.6131815490807841,15,15,15
0.02,113,16,15,0.9992275070393879,0.9999095216347104,0.0013571754793453294,1.5926701056522714,15,15,15
