epsilon,minimum_coverage_minimum,minimum_coverage_q25,minimum_coverage_median,minimum_coverage_q75,minimum_coverage_maximum,mean_coverage_minimum,mean_coverage_q25,mean_coverage_median,mean_coverage_q75,mean_coverage_maximum
0.0,0.9999999999981699,0.9999999999981699,0.9999999999981699,0.9999999999981699,0.9999999999981699,0.9999999999997934,0.9999999999997934,0.9999999999997934,0.9999999999997934,0.9999999999997934
0.01,0.9996507870842736,0.9997412084744725,0.9997850870983802,0.9998028976424981,0.9999046691393288,0.99996052391972,0.9999704724199361,0.9999745672152852,0.9999767384227257,0.9999800412351896
0.02,0.9986190560192701,0.9989603136879982,0.9991310872109184,0.9992074868703361,0.9996198861801228,0.9998432339281933,0.999881695708712,0.9998976754322032,0.9999067143442093,0.9999203535203843
0.03,0.9969298785383554,0.9976510584856194,0.998024539589106,0.998208037830241,0.9991475896411268,0.9996499210447687,0.9997334023412026,0.9997684642173155,0.9997895972339698,0.9998212217430371
0.05,0.9916857378164652,0.9934260679290307,0.9944032953532579,0.9949770523004613,0.9976489866735047,0.9990428246824905,0.9992573707742589,0.9993498735876656,0.9994129587888196,0.9995057810640853
0.075,0.981920204061859,0.9850909575896655,0.987119788772497,0.9885877197256617,0.9947614752174301,0.9978911105806957,0.9983242390257558,0.998518984861766,0.9986730044085335,0.9988947947223523
0.1,0.9690033982221667,0.9733297702185458,0.9766364902997297,0.979550930780848,0.990785663945444,0.9963326580717174,0.9970144985018679,0.9973378687795146,0.9976324391232158,0.9980473793360757
0.125,0.9533731889201874,0.9581444512897899,0.9628504123284525,0.9678587327724419,0.9857669082385575,0.9943990753506705,0.995329136475157,0.9958005433123714,0.9962917386660147,0.996968229625273
0.15,0.9354418588033879,0.9395805172304614,0.9457118344509328,0.9535377756181223,0.9797515753322561,0.9921206021082016,0.9932715698445302,0.9939047392954816,0.9946538623123392,0.9956620694537605
0.175,0.9155831837144546,0.9177309631197669,0.9252309052276148,0.9366510929336163,0.9727765211809424,0.9895253612152749,0.9908479367552057,0.9916523713525975,0.9927244260262831,0.9941336268567327
0.2,0.8927390229693649,0.8941245757510442,0.9014821662091725,0.9172986239539836,0.9648246160128159,0.9866389654781679,0.9880673196506711,0.9890498698086672,0.990511787320802,0.9923876124108085
0.25,0.8341573246865935,0.8448100494854194,0.8474674961801177,0.8717742958924859,0.9453964802783781,0.9800822545217707,0.9814868251604385,0.982843513091941,0.9852838721567847,0.9882615267516941
0.3,0.765980924877126,0.7775790407439765,0.7971079874129561,0.8184378385894416,0.9212125788297976,0.9726066463005338,0.9736633193979781,0.9754284044383594,0.9790889330890149,0.9833206638199947
0.35,0.6910173332174812,0.7025214039202661,0.7440122780698648,0.759169254678865,0.8924980272619695,0.9643400154963527,0.964771722378986,0.9670089128649816,0.9720791971515939,0.9776012693478701
0.4,0.6124719462773097,0.6228939331940047,0.6886887058532867,0.6960764127523792,0.859332442235718,0.9550140317887431,0.9553953361068588,0.9578297261683688,0.964428223408825,0.9711397099253855
0.5,0.4573458593236209,0.46322043805306357,0.5668230532205358,0.5726907856659594,0.780151562694798,0.9337264766365487,0.9359135980014168,0.9382141265303908,0.9479199127698738,0.9561460014649437
0.6,0.32111119046614944,0.3214390458924172,0.44524630679161215,0.4534076434944608,0.6856574425739488,0.9112584136390135,0.915073151219351,0.9183964328769694,0.9308761034955031,0.9387083489137281
0.75,0.16554311668485563,0.173162267237959,0.2861136259444647,0.2958067905865712,0.5256685449455202,0.8774426459451683,0.8830555201693565,0.8906849458772675,0.9062772888053251,0.9091845003740958
1.0,0.0487701646508741,0.052790147097852964,0.09248753917514947,0.14458034760888222,0.281782698880252,0.8250970110232422,0.8299802727355848,0.8514847559035755,0.8581956703083009,0.8705254643889894
1.5,0.0023093620006461703,0.009350044602613518,0.024082818659919056,0.05750785178881044,0.14375592698468456,0.7352730227161856,0.7383502635925847,0.7845772967774693,0.7883555831229808,0.8103294311547463
2.0,0.001318760494013892,0.006203928694155521,0.013072244795812578,0.05933686377214716,0.10273941225291625,0.6821224852507525,0.7026775068901184,0.7232148070902639,0.744227064000718,0.7544199983370677
