epsilon,perturbation_seed,threshold,required_k
0.0,113,0.9,15
0.0,113,0.95,15
0.0,113,0.99,15
0.01,113,0.9,15
0.01,113,0.95,15
0.01,113,0.99,15
0.02,113,0.9,15
0.02,113,0.95,15
0.02,113,0.99,15
0.03,113,0.9,15
0.03,113,0.95,15
0.03,113,0.99,15
0.05,113,0.9,15
0.05,113,0.95,15
0.05,113,0.99,15
0.075,113,0.9,15
0.075,113,0.95,15
0.075,113,0.99,19
0.1,113,0.9,15
0.1,113,0.95,15
0.1,113,0.99,24
0.125,113,0.9,15
0.125,113,0.95,15
0.125,113,0.99,34
0.15,113,0.9,15
0.15,113,0.95,15
0.15,113,0.99,35
0.175,113,0.9,15
0.175,113,0.95,19
0.175,113,0.99,35
0.2,113,0.9,15
0.2,113,0.95,20
0.2,113,0.99,35
0.25,113,0.9,19
0.25,113,0.95,26
0.25,113,0.99,36
0.3,113,0.9,20
0.3,113,0.95,34
0.3,113,0.99,38
0.35,113,0.9,25
0.35,113,0.95,35
0.35,113,0.99,40
0.4,113,0.9,34
0.4,113,0.95,35
0.4,113,0.99,40
0.5,113,0.9,35
0.5,113,0.95,36
0.5,113,0.99,40
0.6,113,0.9,35
0.6,113,0.95,38
0.6,113,0.99,40
0.75,113,0.9,36
0.75,113,0.95,39
0.75,113,0.99,40
1.0,113,0.9,38
1.0,113,0.95,40
1.0,113,0.99,40
1.5,113,0.9,39
1.5,113,0.95,40
1.5,113,0.99,40
2.0,113,0.9,40
2.0,113,0.95,40
2.0,113,0.99,40
0.0,211,0.9,15
0.0,211,0.95,15
0.0,211,0.99,15
0.01,211,0.9,15
0.01,211,0.95,15
0.01,211,0.99,15
0.02,211,0.9,15
0.02,211,0.95,15
0.02,211,0.99,15
0.03,211,0.9,15
0.03,211,0.95,15
0.03,211,0.99,15
0.05,211,0.9,15
0.05,211,0.95,15
0.05,211,0.99,15
0.075,211,0.9,15
0.075,211,0.95,15
0.075,211,0.99,23
0.1,211,0.9,15
0.1,211,0.95,15
0.1,211,0.99,37
0.125,211,0.9,15
0.125,211,0.95,15
0.125,211,0.99,39
0.15,211,0.9,15
0.15,211,0.95,19
0.15,211,0.99,40
0.175,211,0.9,15
0.175,211,0.95,33
0.175,211,0.99,40
0.2,211,0.9,16
0.2,211,0.95,36
0.2,211,0.99,40
0.25,211,0.9,33
0.25,211,0.95,39
0.25,211,0.99,40
0.3,211,0.9,36
0.3,211,0.95,39
0.3,211,0.99,40
0.35,211,0.9,38
0.35,211,0.95,40
0.35,211,0.99,40
0.4,211,0.9,39
0.4,211,0.95,40
0.4,211,0.99,40
0.5,211,0.9,40
0.5,211,0.95,40
0.5,211,0.99,40
0.6,211,0.9,40
0.6,211,0.95,40
0.6,211,0.99,40
0.75,211,0.9,40
0.75,211,0.95,40
0.75,211,0.99,40
1.0,211,0.9,40
1.0,211,0.95,40
1.0,211,0.99,40
1.5,211,0.9,40
1.5,211,0.95,40
1.5,211,0.99,40
2.0,211,0.9,40
2.0,211,0.95,40
2.0,211,0.99,40
0.0,307,0.9,15
0.0,307,0.95,15
0.0,307,0.99,15
0.01,307,0.9,15
0.01,307,0.95,15
0.01,307,0.99,15
0.02,307,0.9,15
0.02,307,0.95,15
0.02,307,0.99,15
0.03,307,0.9,15
0.03,307,0.95,15
0.03,307,0.99,15
0.05,307,0.9,15
0.05,307,0.95,15
0.05,307,0.99,15
0.075,307,0.9,15
0.075,307,0.95,15
0.075,307,0.99,25
0.1,307,0.9,15
0.1,307,0.95,15
0.1,307,0.99,35
0.125,307,0.9,15
0.125,307,0.95,15
0.125,307,0.99,35
0.15,307,0.9,15
0.15,307,0.95,19
0.15,307,0.99,35
0.175,307,0.9,15
0.175,307,0.95,21
0.175,307,0.99,39
0.2,307,0.9,18
0.2,307,0.95,25
0.2,307,0.99,39
0.25,307,0.9,19
0.25,307,0.95,35
0.25,307,0.99,39
0.3,307,0.9,25
0.3,307,0.95,35
0.3,307,0.99,40
0.35,307,0.9,25
0.35,307,0.95,35
0.35,307,0.99,40
0.4,307,0.9,34
0.4,307,0.95,36
0.4,307,0.99,40
0.5,307,0.9,35
0.5,307,0.95,39
0.5,307,0.99,40
0.6,307,0.9,36
0.6,307,0.95,39
0.6,307,0.99,40
0.75,307,0.9,38
0.75,307,0.95,39
0.75,307,0.99,40
1.0,307,0.9,39
1.0,307,0.95,40
1.0,307,0.99,40
1.5,307,0.9,40
1.5,307,0.95,40
1.5,307,0.99,40
2.0,307,0.9,40
2.0,307,0.95,40
2.0,307,0.99,40
0.0,401,0.9,15
0.0,401,0.95,15
0.0,401,0.99,15
0.01,401,0.9,15
0.01,401,0.95,15
0.01,401,0.99,15
0.02,401,0.9,15
0.02,401,0.95,15
0.02,401,0.99,15
0.03,401,0.9,15
0.03,401,0.95,15
0.03,401,0.99,15
0.05,401,0.9,15
0.05,401,0.95,15
0.05,401,0.99,15
0.075,401,0.9,15
0.075,401,0.95,15
0.075,401,0.99,18
0.1,401,0.9,15
0.1,401,0.95,15
0.1,401,0.99,27
0.125,401,0.9,15
0.125,401,0.95,15
0.125,401,0.99,34
0.15,401,0.9,15
0.15,401,0.95,16
0.15,401,0.99,35
0.175,401,0.9,15
0.175,401,0.95,21
0.175,401,0.99,37
0.2,401,0.9,15
0.2,401,0.95,26
0.2,401,0.99,38
0.25,401,0.9,22
0.25,401,0.95,31
0.25,401,0.99,40
0.3,401,0.9,26
0.3,401,0.95,35
0.3,401,0.99,40
0.35,401,0.9,31
0.35,401,0.95,36
0.35,401,0.99,40
0.4,401,0.9,34
0.4,401,0.95,38
0.4,401,0.99,40
0.5,401,0.9,36
0.5,401,0.95,40
0.5,401,0.99,40
0.6,401,0.9,38
0.6,401,0.95,40
0.6,401,0.99,40
0.75,401,0.9,40
0.75,401,0.95,40
0.75,401,0.99,40
1.0,401,0.9,40
1.0,401,0.95,40
1.0,401,0.99,40
1.5,401,0.9,40
1.5,401,0.95,40
1.5,401,0.99,40
2.0,401,0.9,40
2.0,401,0.95,40
2.0,401,0.99,40
