epsilon,perturbation_seed,threshold,required_k
0.0,113,0.9,15
0.0,113,0.95,15
0.0,113,0.99,15
0.01,113,0.9,15
0.01,113,0.95,15
0.01,113,0.99,15
0.02,113,0.9,15
0.02,113,0.95,15
0.02,113,0.99,15
0.03,113,0.9,15
0.03,113,0.95,15
0.03,113,0.99,15
0.05,113,0.9,15
0.05,113,0.95,15
0.05,113,0.99,15
0.075,113,0.9,15
0.075,113,0.95,15
0.075,113,0.99,19
0.1,113,0.9,15
0.1,113,0.95,15
0.1,113,0.99,23
0.125,113,0.9,15
0.125,113,0.95,15
0.125,113,0.99,34
0.15,113,0.9,15
0.15,113,0.95,15
0.15,113,0.99,35
0.175,113,0.9,15
0.175,113,0.95,19
0.175,113,0.99,35
0.2,113,0.9,15
0.2,113,0.95,20
0.2,113,0.99,35
0.25,113,0.9,19
0.25,113,0.95,26
0.25,113,0.99,36
0.3,113,0.9,20
0.3,113,0.95,34
0.3,113,0.99,38
0.35,113,0.9,25
0.35,113,0.95,35
0.35,113,0.99,40
0.4,113,0.9,34
0.4,113,0.95,35
0.4,113,0.99,40
0.5,113,0.9,35
0.5,113,0.95,36
0.5,113,0.99,40
0.6,113,0.9,35
0.6,113,0.95,38
0.6,113,0.99,40
0.75,113,0.9,36
0.75,113,0.95,39
0.75,113,0.99,40
1.0,113,0.9,38
1.0,113,0.95,40
1.0,113,0.99,40
1.5,113,0.9,39
1.5,113,0.95,40
1.5,113,0.99,40
2.0,113,0.9,40
2.0,113,0.95,40
2.0,113,0.99,40
