epsilon,threshold,minimum,q25,median,q75,maximum
0.0,0.9,15.0,15.0,15.0,15.0,15.0
0.0,0.95,15.0,15.0,15.0,15.0,15.0
0.0,0.99,15.0,15.0,15.0,15.0,15.0
0.01,0.9,15.0,15.0,15.0,15.0,15.0
0.01,0.95,15.0,15.0,15.0,15.0,15.0
0.01,0.99,15.0,15.0,15.0,15.0,15.0
0.02,0.9,15.0,15.0,15.0,15.0,15.0
0.02,0.95,15.0,15.0,15.0,15.0,15.0
0.02,0.99,15.0,15.0,15.0,15.0,15.0
0.03,0.9,15.0,15.0,15.0,15.0,15.0
0.03,0.95,15.0,15.0,15.0,15.0,15.0
0.03,0.99,15.0,15.0,15.0,15.0,15.0
0.05,0.9,15.0,15.0,15.0,15.0,15.0
0.05,0.95,15.0,15.0,15.0,15.0,15.0
0.05,0.99,15.0,15.0,15.0,15.0,15.0
0.075,0.9,15.0,15.0,15.0,15.0,15.0
0.075,0.95,15.0,15.0,15.0,15.0,15.0
0.075,0.99,15.0,18.0,19.0,23.0,25.0
0.1,0.9,15.0,15.0,15.0,15.0,15.0
0.1,0.95,15.0,15.0,15.0,15.0,15.0
0.1,0.99,15.0,24.0,27.0,35.0,37.0
0.125,0.9,15.0,15.0,15.0,15.0,15.0
0.125,0.95,15.0,15.0,15.0,15.0,15.0
0.125,0.99,33.0,34.0,34.0,35.0,39.0
0.15,0.9,15.0,15.0,15.0,15.0,15.0
0.15,0.95,15.0,15.0,16.0,19.0,19.0
0.15,0.99,34.0,35.0,35.0,35.0,40.0
0.175,0.9,15.0,15.0,15.0,15.0,15.0
0.175,0.95,15.0,19.0,21.0,21.0,33.0
0.175,0.99,35.0,36.0,37.0,39.0,40.0
0.2,0.9,15.0,15.0,15.0,16.0,18.0
0.2,0.95,15.0,20.0,25.0,26.0,36.0
0.2,0.99,35.0,37.0,38.0,39.0,40.0
0.25,0.9,15.0,19.0,19.0,22.0,33.0
0.25,0.95,26.0,28.0,31.0,35.0,39.0
0.25,0.99,36.0,39.0,40.0,40.0,40.0
0.3,0.9,15.0,20.0,25.0,26.0,36.0
0.3,0.95,34.0,34.0,35.0,35.0,39.0
0.3,0.99,38.0,40.0,40.0,40.0,40.0
0.35,0.9,21.0,25.0,25.0,31.0,38.0
0.35,0.95,35.0,35.0,35.0,36.0,40.0
0.35,0.99,40.0,40.0,40.0,40.0,40.0
0.4,0.9,33.0,34.0,34.0,34.0,39.0
0.4,0.95,35.0,36.0,36.0,38.0,40.0
0.4,0.99,40.0,40.0,40.0,40.0,40.0
0.5,0.9,35.0,35.0,35.0,36.0,40.0
0.5,0.95,36.0,38.0,39.0,40.0,40.0
0.5,0.99,40.0,40.0,40.0,40.0,40.0
0.6,0.9,35.0,36.0,37.0,38.0,40.0
0.6,0.95,38.0,39.0,40.0,40.0,40.0
0.6,0.99,40.0,40.0,40.0,40.0,40.0
0.75,0.9,36.0,38.0,38.0,40.0,40.0
0.75,0.95,39.0,39.0,40.0,40.0,40.0
0.75,0.99,40.0,40.0,40.0,40.0,40.0
1.0,0.9,38.0,39.0,40.0,40.0,40.0
1.0,0.95,40.0,40.0,40.0,40.0,40.0
1.0,0.99,40.0,40.0,40.0,40.0,40.0
1.5,0.9,39.0,40.0,40.0,40.0,40.0
1.5,0.95,40.0,40.0,40.0,40.0,40.0
1.5,0.99,40.0,40.0,40.0,40.0,40.0
2.0,0.9,40.0,40.0,40.0,40.0,40.0
2.0,0.95,40.0,40.0,40.0,40.0,40.0
2.0,0.99,40.0,40.0,40.0,40.0,40.0
