epsilon,trial,seed,stage,optimization_queries,confirmation_queries,reported_infidelity,reported_upper_bound,confirmed,update_queries,rotation_frobenius
0.3,0,4517,1,200,4,0.001407623291015625,0.0015329383018973515,False,158,0.06556334618604259
0.3,0,4517,2,200,4,0.000186920166015625,0.00023613585541401024,True,0,
0.3,1,4518,1,200,4,0.000274658203125,0.00033310963264073933,True,0,
0.3,2,4519,1,200,4,0.000659942626953125,0.0007474838091794936,True,0,
0.3,3,4520,1,200,4,0.00042724609375,0.0004987637007179711,True,0,
0.3,4,4521,1,200,4,0.000217437744140625,0.0002700701909053812,True,0,
0.5,0,104517,1,200,4,0.00318145751953125,0.0033670086623970212,False,158,0.13348569235643032
0.5,0,104517,2,200,4,0.00119781494140625,0.001313842192915213,False,158,0.11090570415613461
0.5,0,104517,3,272,4,0.00069427490234375,0.0007839228289535761,True,0,
0.5,1,104518,1,200,4,0.001026153564453125,0.0011339552288291528,False,158,0.22095814862383045
0.5,1,104518,2,200,4,0.00046539306640625,0.0005397925799878598,True,0,
0.5,2,104519,1,200,4,0.001247406005859375,0.0013656977467506898,False,158,0.06451738411245025
0.5,2,104519,2,200,4,0.000698089599609375,0.000787968366603276,True,0,
0.5,3,104520,1,200,4,0.0027923583984375,0.002966561311601711,False,158,0.13151324412274937
0.5,3,104520,2,200,4,0.001312255859375,0.001433441855358002,False,158,0.10015974110970959
0.5,3,104520,3,272,4,0.000820159912109375,0.0009171187571981935,True,0,
0.5,4,104521,1,200,4,0.002170562744140625,0.0023248264421198155,False,158,0.11269816290845645
0.5,4,104521,2,200,4,0.000774383544921875,0.0008687534294566545,True,0,
