epsilon,method,rank,trial,seed,success,query_to_target,queries_used,shots_to_target,shots_used,best_exact_infidelity,initial_overlap_mean,final_overlap_mean,final_overlap_minimum,final_largest_angle_degrees,wall_seconds
0.3,tracked_rank15,15,0,4517,True,300,566,19660800,37093376,0.00013363544904132496,0.9790889330890148,0.9736962809694724,0.8435335096299013,23.300807944051364,0.6594037089962512
0.3,fixed_top15,15,0,14517,True,45,255,2949120,16711680,0.00016012246925267704,0.9790889330890148,,,,0.3500147080048919
0.3,fixed_top30,30,0,24517,True,89,532,5832704,34865152,0.00010395191647627477,0.9790889330890148,,,,1.105767042026855
0.3,raw_full40,40,0,34517,False,,649,,42532864,0.006571874463859206,0.9790889330890148,,,,1.8045114579726942
0.3,tracked_rank15,15,1,4518,True,38,204,2490368,13369344,0.0002220867876207011,0.9790889330890148,0.9749478953822611,0.8537106720980517,22.48725288416371,0.27435600000899285
0.3,fixed_top15,15,1,14518,False,,248,,16252928,0.0015566979158653238,0.9790889330890148,,,,0.3395729169715196
0.3,fixed_top30,30,1,24518,True,105,540,6881280,35389440,0.00021894451919224345,0.9790889330890148,,,,1.1329665829543956
0.3,raw_full40,40,1,34518,False,,724,,47448064,0.0011072885464091797,0.9790889330890148,,,,2.051599125028588
0.3,tracked_rank15,15,2,4519,True,55,204,3604480,13369344,0.0006052484643079836,0.9790889330890148,0.9780527122101338,0.8613827123586617,21.858363223478072,0.2718172909808345
0.3,fixed_top15,15,2,14519,True,47,246,3080192,16121856,0.0005497396259981358,0.9790889330890148,,,,0.33771699998760596
0.3,fixed_top30,30,2,24519,True,80,572,5242880,37486592,9.695182709190675e-05,0.9790889330890148,,,,1.2215649579884484
0.3,raw_full40,40,2,34519,False,,720,,47185920,0.0060529960926376525,0.9790889330890148,,,,2.0187321249977686
0.3,tracked_rank15,15,3,4520,True,37,204,2424832,13369344,0.0003337868843205083,0.9790889330890148,0.9762026468204946,0.8596943997928511,21.9979791846486,0.2704800830106251
0.3,fixed_top15,15,3,14520,True,46,260,3014656,17039360,0.0002788549428315301,0.9790889330890148,,,,0.3561466669780202
0.3,fixed_top30,30,3,24520,True,83,523,5439488,34275328,0.0002641318960852068,0.9790889330890148,,,,1.0848752919700928
0.3,raw_full40,40,3,34520,False,,708,,46399488,0.0076422697044019605,0.9790889330890148,,,,1.9840429169707932
0.3,tracked_rank15,15,4,4521,True,61,204,3997696,13369344,0.00011899892846112259,0.9790889330890148,0.974248654188757,0.8451598491991809,23.172289452235745,0.27317454101284966
0.3,fixed_top15,15,4,14521,True,44,247,2883584,16187392,0.0003469030099390036,0.9790889330890148,,,,0.34046108298934996
0.3,fixed_top30,30,4,24521,True,110,576,7208960,37748736,0.00012418186202656223,0.9790889330890148,,,,1.2153587500215508
0.3,raw_full40,40,4,34521,False,,621,,40697856,0.006865575385926803,0.9790889330890148,,,,1.7130788340000436
0.5,tracked_rank15,15,0,104517,True,787,1000,51576832,65536000,0.0006918285656857259,0.9479199127698743,0.9469452977184933,0.689613722907103,33.85708145743838,1.0405817920109257
0.5,fixed_top15,15,0,114517,False,,267,,17498112,0.005659255135372021,0.9479199127698743,,,,0.36249429103918374
0.5,fixed_top30,30,0,124517,True,130,558,8519680,36569088,0.00020944521344135048,0.9479199127698743,,,,1.180474291963037
0.5,raw_full40,40,0,134517,False,,694,,45481984,0.006620287386020496,0.9479199127698743,,,,1.9673744160099886
0.5,tracked_rank15,15,1,104518,True,82,566,5373952,37093376,0.00046421079719549674,0.9479199127698743,0.9422736951051632,0.6830143713420478,34.26454649848309,0.6633857080014423
0.5,fixed_top15,15,1,114518,False,,250,,16384000,0.0014615690523009928,0.9479199127698743,,,,0.34448737499769777
0.5,fixed_top30,30,1,124518,False,,510,,33423360,0.004332573579680532,0.9479199127698743,,,,1.065014916996006
0.5,raw_full40,40,1,134518,True,269,777,17629184,50921472,0.0008096314688561534,0.9479199127698743,,,,2.2168636249843985
0.5,tracked_rank15,15,2,104519,True,394,566,25821184,37093376,0.000645651215823162,0.9479199127698743,0.9435273213254614,0.6846257173629353,34.16527063198046,0.6534952499787323
0.5,fixed_top15,15,2,114519,True,78,260,5111808,17039360,0.0008954528756976998,0.9479199127698743,,,,0.35407800000393763
0.5,fixed_top30,30,2,124519,True,140,566,9175040,37093376,0.00041106485895947564,0.9479199127698743,,,,1.1980525419930927
0.5,raw_full40,40,2,134519,False,,865,,56688640,0.001679880248831589,0.9479199127698743,,,,2.5003080829628743
0.5,tracked_rank15,15,3,104520,True,787,1000,51576832,65536000,0.0006246287416176166,0.9479199127698743,0.9446050758382278,0.6876060723470341,33.98128736084752,1.0201977079850622
0.5,fixed_top15,15,3,114520,True,69,290,4521984,19005440,0.0007691205534789969,0.9479199127698743,,,,0.39386254095006734
0.5,fixed_top30,30,3,124520,False,,479,,31391744,0.006146021360999843,0.9479199127698743,,,,0.9948429579962976
0.5,raw_full40,40,3,134520,False,,648,,42467328,0.002621420889705739,0.9479199127698743,,,,1.8187630419852212
0.5,tracked_rank15,15,4,104521,True,394,566,25821184,37093376,0.0007195495495594395,0.9479199127698743,0.9414068249627234,0.6530358035370807,36.088677016164354,0.6499912079889327
0.5,fixed_top15,15,4,114521,False,,249,,16318464,0.006658214193088097,0.9479199127698743,,,,0.33755229099188
0.5,fixed_top30,30,4,124521,True,130,598,8519680,39190528,0.00012967945605169007,0.9479199127698743,,,,1.261892375012394
0.5,raw_full40,40,4,134521,False,,746,,48889856,0.0025443456011083887,0.9479199127698743,,,,2.1191347500425763
