epsilon,method,dimension,runs,certified_success_rate,latent_success_rate,censored_query_q25,censored_query_median,censored_query_q75,censored_shots_median,best_exact_infidelity_q25,best_exact_infidelity_median,best_exact_infidelity_q75
0.05,nominal_hessian,1,15,1.0,1.0,13.0,13.0,13.0,851968.0,0.0002414497017707018,0.000385122254397241,0.0004557154436279909
0.05,nominal_hessian,2,15,1.0,1.0,19.0,19.0,19.0,1245184.0,0.00011050820234626002,0.00023496338161388408,0.00032744721531829946
0.05,nominal_hessian,3,15,1.0,1.0,25.0,25.0,25.0,1638400.0,5.587825173125616e-06,1.0464921710862107e-05,1.6366708132209418e-05
0.05,nominal_hessian,4,15,1.0,1.0,30.0,30.0,31.0,1966080.0,4.559680556459611e-06,7.227629549189096e-06,1.398971223254275e-05
0.05,random,3,15,1.0,1.0,25.0,25.0,25.0,1638400.0,0.00014457640245912895,0.00017178000518691672,0.0005320421875538717
0.05,raw_full,20,15,1.0,1.0,127.0,127.0,127.0,8323072.0,1.6772528045883028e-06,4.0775526273795215e-05,0.0001845906878879533
0.1,nominal_hessian,1,15,0.3333333333333333,0.4,19.5,501.0,501.0,32833536.0,0.0009655359395929763,0.0015413589183075338,0.001806644087929965
0.1,nominal_hessian,2,15,0.5333333333333333,0.6,19.0,95.0,501.0,6225920.0,0.00030837162656388584,0.0009390259728694339,0.0011983653444928577
0.1,nominal_hessian,3,15,1.0,1.0,25.0,25.0,25.0,1638400.0,5.248475790531337e-06,1.3223498659953314e-05,3.3302301623183705e-05
0.1,nominal_hessian,4,15,1.0,1.0,30.0,30.0,31.0,1966080.0,5.248475790531337e-06,9.223295750704352e-06,2.1496949299593116e-05
0.1,random,3,15,0.6,0.6,25.0,50.0,501.0,3276800.0,0.0005116205369818938,0.0006407496431034554,0.0020776756210837966
0.1,raw_full,20,15,1.0,1.0,126.0,127.0,127.0,8323072.0,3.1324616654337945e-05,0.00010305509390917678,0.000266968636281506
0.3,nominal_hessian,1,15,0.0,0.0,501.0,501.0,501.0,32833536.0,0.00871827304637568,0.014142317657070302,0.015742715919364325
0.3,nominal_hessian,2,15,0.0,0.0,501.0,501.0,501.0,32833536.0,0.0016585125531223266,0.008500645814359054,0.009736835540411992
0.3,nominal_hessian,3,15,1.0,1.0,25.0,25.0,48.0,1638400.0,9.914555823958837e-05,0.0003148912367358925,0.0006098013454379214
0.3,nominal_hessian,4,15,1.0,1.0,30.0,31.0,58.5,2031616.0,7.997186720315463e-05,0.000298970580699498,0.0003573890404931501
0.3,random,3,15,0.0,0.0,501.0,501.0,501.0,32833536.0,0.004482601235055783,0.006466086013241612,0.018897908506422034
0.3,raw_full,20,15,1.0,1.0,125.5,126.0,247.5,8257536.0,9.70013750379306e-05,0.00016877301419682134,0.0006031999086999473
