eta,p_parallel,seed,initial_infidelity,nonlinear_channel_error,quadratic_infidelity,quadratic_absolute_residual,quadratic_relative_residual,success,cycles,steps,final_infidelity,improvement_factor
0.01,0.0,0,6.557730973655307e-06,1.6505173084559917e-09,1.448945737694515e-21,1.6505173084545427e-09,0.999999999999122,True,0,0,6.557730973655307e-06,1.0
0.01,0.0,1,6.6258791412976414e-06,3.4554913165468167e-10,7.610905417176264e-22,3.4554913165392056e-10,0.9999999999977974,True,0,0,6.6258791412976414e-06,1.0
0.01,0.0,2,6.779049134431059e-06,1.7340833946168553e-09,1.0173105007217342e-23,1.7340833946168452e-09,0.9999999999999941,True,0,0,6.779049134431059e-06,1.0
0.01,0.0,3,6.680999607000527e-06,4.17816979354924e-10,1.5287448039885416e-21,4.1781697935339524e-10,0.9999999999963411,True,0,0,6.680999607000527e-06,1.0
0.01,0.0,4,6.491284673637577e-06,2.260768791205831e-09,2.96699775736172e-21,2.2607687912028637e-09,0.9999999999986876,True,0,0,6.491284673637577e-06,1.0
0.01,0.0,5,6.680789413360256e-06,6.698790967779954e-10,-4.526497840144542e-21,6.69879096782522e-10,1.0000000000067573,True,0,0,6.680789413360256e-06,1.0
0.01,0.0,6,6.990927887551291e-06,7.071053326399933e-09,-8.185516400915238e-22,7.071053326400752e-09,1.000000000000116,True,0,0,6.990927887551291e-06,1.0
0.01,0.0,7,6.607092183885666e-06,4.1304842671428777e-10,-1.58995065074851e-21,4.130484267158777e-10,1.0000000000038494,True,0,0,6.607092183885666e-06,1.0
0.01,0.0,8,6.690559140076769e-06,5.239244266437001e-10,4.059117842835486e-21,5.23924426639641e-10,0.9999999999922525,True,0,0,6.690559140076769e-06,1.0
0.01,0.0,9,6.7413113675640625e-06,8.608726559907957e-10,2.929950361588713e-21,8.608726559878657e-10,0.9999999999965965,True,0,0,6.7413113675640625e-06,1.0
0.01,0.5,0,0.0002410752485574874,0.00023872497198693725,0.0002395755420873229,-8.505701003856485e-07,0.0035629707830992672,True,2,8,8.33544437183198e-06,28.92170324741828
0.01,0.5,1,0.0001692316711959463,0.00023467808785532183,0.00023261584250671666,2.0622453486051696e-06,0.008787549649188108,True,2,8,8.410713173689911e-06,20.120965689964404
0.01,0.5,2,0.00017784252882856457,0.000185989629573325,0.0001841482838407027,1.8413457326222845e-06,0.009900260228736829,True,2,8,8.306257132006945e-06,21.410669812191877
0.01,0.5,3,0.0003455725809471289,0.00032841066775004694,0.0003277431082569449,6.675594931020612e-07,0.0020326973471219275,True,2,8,8.465123850365242e-06,40.82309804979623
0.01,0.5,4,0.00013857381506822143,0.00015076453106903544,0.00015020883232963656,5.556987393988714e-07,0.0036858718390760997,True,2,8,8.51466789318911e-06,16.27471755875138
0.01,0.5,5,0.0003525187457586454,0.0002733738684032198,0.00027368384469892267,-3.0997629570285066e-07,0.0011338914634139176,True,2,8,8.25383075303554e-06,42.70971338114709
0.01,0.5,6,0.00020843129434003905,0.00025386621278804196,0.00025582877733371513,-1.9625645456731685e-06,0.007730703996091648,True,2,8,8.427311782222003e-06,24.7328329277836
0.01,0.5,7,5.1625464440741014e-05,5.336802233887259e-05,5.298150836620977e-05,3.865139726628167e-07,0.007242426376764665,True,2,8,8.44528899838215e-06,6.112930469357629
0.01,0.5,8,0.00025786194994269483,0.0002073545107032577,0.00020731438018674548,4.0130516512236394e-08,0.00019353577781419301,True,2,8,8.500608445538571e-06,30.334528592248027
0.01,0.5,9,0.00012535609716847197,0.00010941809819297356,0.00011024267929004966,-8.245810970761017e-07,0.00753605766042325,True,2,8,8.329926295702616e-06,15.048884314035623
0.01,1.0,0,0.0004775816536525368,0.0004776212440631072,0.0004791510841746457,-1.5298401115385009e-06,0.003203040339085851,True,2,8,8.368989414841988e-06,57.065630027631464
0.01,1.0,1,0.00037510835942361487,0.00047064092618296526,0.0004652316850134334,5.409241169531884e-06,0.011493350596180408,True,2,8,8.424068277024243e-06,44.52817179161324
0.01,1.0,2,0.0003584399186242649,0.0003726752398383774,0.0003682965676814055,4.3786721569718775e-06,0.011749297213495668,True,2,8,8.355203538934487e-06,42.900201886640765
0.01,1.0,3,0.0006781726126612654,0.0006567315186524614,0.0006554862165138898,1.2453021385716275e-06,0.0018962119271005086,True,2,8,8.390167647875924e-06,80.8294471723641
0.01,1.0,4,0.0002805002945885149,0.00030049580533957,0.00030041766465927324,7.814068029676595e-08,0.0002600391716232593,True,2,8,8.382324832234557e-06,33.4633052527194
0.01,1.0,5,0.0006527552577668572,0.0005437248829433415,0.0005473676893978456,-3.6428064545040778e-06,0.006699723644767742,True,2,8,8.366018225680616e-06,78.02460383879362
0.01,1.0,6,0.00044485171439271335,0.0005122403498718007,0.0005116575546674304,5.827952043702903e-07,0.001137737791480401,True,2,8,8.374137732702903e-06,53.12209192063641
0.01,1.0,7,0.0001018320807724904,0.00010700680676893333,0.00010596301673241956,1.043790036513772e-06,0.009754426545665407,True,2,8,8.35787727305748e-06,12.183964593588508
0.01,1.0,8,0.0004836391349594904,0.0004153358194168608,0.00041462876037349106,7.070590433697131e-07,0.001702379159982968,True,2,8,8.38685831444641e-06,57.66630564467976
0.01,1.0,9,0.00023730420810655906,0.00021748627911179102,0.00022048535858009945,-2.9990794683084287e-06,0.013789741038177674,True,2,8,8.343544604672016e-06,28.441653919328147
