eta,sigma_F,seed,success,final_infidelity,median_fitted_curvature,nonpositive_fit_fraction
0.06,0.0,0,True,7.731126447418912e-06,0.020128131520059128,0.0
0.06,0.0,1,True,8.881728645293574e-06,0.024616911029649493,0.0
0.06,0.0,2,True,7.636724989390498e-06,0.020273804986976764,0.0
0.06,0.0,3,True,8.45487978610171e-06,0.02035100459259031,0.0
0.06,0.0,4,True,7.660325599923023e-06,0.019641175852544383,0.0
0.06,0.0,5,True,8.557805465281288e-06,0.020168785388887278,0.0
0.06,0.0,6,True,7.345392354041192e-06,0.020071213960331027,0.0
0.06,0.0,7,True,7.682852076607016e-06,0.020190826017129036,0.0
0.06,0.0,8,True,7.263555410952361e-06,0.027220213482123258,0.0
0.06,0.0,9,True,7.295074496604937e-06,0.020283891277097073,0.0
0.06,1e-06,0,True,7.733344560933998e-06,0.020127666682565583,0.0
0.06,1e-06,1,True,8.864713305933858e-06,0.02461668762807173,0.0
0.06,1e-06,2,True,7.643375244670292e-06,0.02027363796452543,0.0
0.06,1e-06,3,True,8.45828414645089e-06,0.020351271610429315,0.0
0.06,1e-06,4,True,7.640637730099709e-06,0.019641820920745227,0.0
0.06,1e-06,5,True,8.564879238137646e-06,0.0201686339736223,0.0
0.06,1e-06,6,True,7.348406390350615e-06,0.02007114951732913,0.0
0.06,1e-06,7,True,7.690292647255515e-06,0.020190660377089872,0.0
0.06,1e-06,8,True,7.280492509786907e-06,0.027220155426875843,0.0
0.06,1e-06,9,True,7.297774165715421e-06,0.020284691971815386,0.0
0.06,1e-05,0,True,7.894997763580048e-06,0.02013158661014882,0.0
0.06,1e-05,1,True,8.726990981366978e-06,0.02461036051406095,0.0
0.06,1e-05,2,True,7.4534186512820184e-06,0.020273759373850838,0.0
0.06,1e-05,3,True,8.508150012553895e-06,0.02034811857993307,0.0
0.06,1e-05,4,True,7.5101824717704884e-06,0.019627071053649307,0.0
0.06,1e-05,5,True,8.779337577402569e-06,0.020174725797522546,0.0
0.06,1e-05,6,True,7.506510801513767e-06,0.020076888895113824,0.0
0.06,1e-05,7,True,7.713338316805984e-06,0.020190605101975144,0.0
0.06,1e-05,8,True,6.663215916036248e-06,0.027216986549203237,0.0
0.06,1e-05,9,True,7.1301677960433634e-06,0.020299065028472153,0.0
0.06,0.0001,0,True,8.967025048478573e-06,0.02013264271060249,0.0
0.06,0.0001,1,True,9.457939897339342e-06,0.024669564716758047,0.0
0.06,0.0001,2,True,6.523528755353336e-06,0.020260529406490466,0.0
0.06,0.0001,3,True,9.759722449176335e-06,0.014252846350991047,0.0
0.06,0.0001,4,True,6.351413580973909e-06,0.019666004858350388,0.0
0.06,0.0001,5,True,9.820338072275004e-06,0.01262892101762975,0.0
0.06,0.0001,6,True,6.744606132202957e-06,0.02005074259460673,0.0
0.06,0.0001,7,True,9.858049249211744e-06,0.013808182492613317,0.0
0.06,0.0001,8,True,7.087645298697876e-06,0.02718634892411531,0.0
0.06,0.0001,9,True,6.812347952711573e-06,0.02037009124386762,0.0
0.06,0.001,0,False,0.0006399529833501006,0.015884095838355324,0.2
0.06,0.001,1,False,0.00021520262172559647,0.01948565719593131,0.2
0.06,0.001,2,False,0.0006380420922574515,0.026661075999200486,0.1
0.06,0.001,3,False,0.001285993403899377,0.026024585609104332,0.225
0.06,0.001,4,False,0.0006702076203999653,0.024087689303906406,0.15
0.06,0.001,5,False,0.0003790667147872795,0.025636853208075124,0.175
0.06,0.001,6,False,0.0009695825039972461,0.022540574136102852,0.1
0.06,0.001,7,False,0.0002582085693544456,0.02320030550445935,0.225
0.06,0.001,8,False,0.000367264788379218,0.018770655112924757,0.175
0.06,0.001,9,False,0.0010788828456984034,0.02544053857881315,0.175
0.35,0.0,0,True,7.787686926774562e-07,0.012559938753873763,0.0
0.35,0.0,1,True,5.912797733154118e-06,0.006742305236777668,0.09090909090909091
0.35,0.0,2,True,2.513587687269503e-06,0.007651932979297891,0.043478260869565216
0.35,0.0,3,True,6.445652129138946e-06,0.009864594607465896,0.058823529411764705
0.35,0.0,4,True,7.086539523137869e-06,0.013612757863381862,0.0
0.35,0.0,5,True,9.30554269155115e-06,0.010572396316268495,0.0
0.35,0.0,6,True,1.6367811985218417e-06,0.012413403506764667,0.07692307692307693
0.35,0.0,7,True,1.4822878770970329e-06,0.014645218686359669,0.0
0.35,0.0,8,True,7.951534451622333e-06,0.00741525904438178,0.058823529411764705
0.35,0.0,9,True,1.229050762441286e-06,0.011640594185759147,0.0
0.35,1e-06,0,True,7.573574089092539e-07,0.012560012675949018,0.0
0.35,1e-06,1,True,5.9174476813139705e-06,0.006742314312271801,0.09090909090909091
0.35,1e-06,2,True,2.5096234871013757e-06,0.0076519770888256325,0.043478260869565216
0.35,1e-06,3,True,6.365275822106665e-06,0.009864685079358455,0.058823529411764705
0.35,1e-06,4,True,7.0026843668968835e-06,0.013612595052069687,0.0
0.35,1e-06,5,True,9.314053535314227e-06,0.010572715218415352,0.0
0.35,1e-06,6,True,1.6493973979847533e-06,0.012413323907132276,0.07692307692307693
0.35,1e-06,7,True,1.508446146958331e-06,0.014644988289630267,0.0
0.35,1e-06,8,True,7.977172600648341e-06,0.007414415268163444,0.058823529411764705
0.35,1e-06,9,True,1.2749575835413475e-06,0.011638865792230483,0.0
0.35,1e-05,0,True,8.132294529672458e-07,0.012557902320337466,0.0
0.35,1e-05,1,True,6.021859237514971e-06,0.0067424507520253306,0.09090909090909091
0.35,1e-05,2,True,2.580420207942691e-06,0.0076492511762998395,0.043478260869565216
0.35,1e-05,3,True,7.4800345127967745e-06,0.009860785009464416,0.058823529411764705
0.35,1e-05,4,True,7.806145155819789e-06,0.013609144796275303,0.0
0.35,1e-05,5,True,9.789132264381717e-06,0.010575256895627109,0.0
0.35,1e-05,6,True,1.946236576111371e-06,0.012413849855736764,0.07692307692307693
0.35,1e-05,7,True,1.5011194327896328e-06,0.014635944395758849,0.0
0.35,1e-05,8,True,8.06050949661019e-06,0.007422347403083778,0.058823529411764705
0.35,1e-05,9,True,1.920913458997031e-06,0.011621952028694697,0.0
0.35,0.0001,0,True,6.9604135505385585e-06,0.01279362778084068,0.0
0.35,0.0001,1,True,8.920721605620853e-06,0.006744259475962191,0.09090909090909091
0.35,0.0001,2,True,7.93923849128353e-06,0.007011961938003945,0.043478260869565216
0.35,0.0001,3,True,3.690436795211749e-06,0.008501777665752254,0.05
0.35,0.0001,4,True,8.467071515860791e-06,0.013545217505293956,0.038461538461538464
0.35,0.0001,5,True,7.012784570947784e-06,0.010094094576571308,0.0
0.35,0.0001,6,True,2.28073617390967e-06,0.012430815016873565,0.07692307692307693
0.35,0.0001,7,True,3.273712567108955e-06,0.014621188182796039,0.0
0.35,0.0001,8,False,0.0001271937731530115,0.014540679311909457,0.1
