eta,p_parallel,seed,initial_infidelity,nonlinear_channel_error,quadratic_infidelity,quadratic_absolute_residual,quadratic_relative_residual,success,cycles,steps,final_infidelity,improvement_factor
0.01,0.0,0,6.557730973655307e-06,1.6505173084559917e-09,-3.819189844697823e-22,1.6505173084563737e-09,1.0000000000002314,True,0,0,6.557730973655307e-06,1.0
0.01,0.0,1,6.625879141475278e-06,3.455491316532649e-10,1.2424145649675136e-21,3.455491316520225e-10,0.9999999999964045,True,0,0,6.625879141475278e-06,1.0
0.01,0.0,2,6.779049134431059e-06,1.7340833946165832e-09,2.0646493051316012e-21,1.7340833946145185e-09,0.9999999999988094,True,0,0,6.779049134431059e-06,1.0
0.01,0.0,3,6.6809996068228905e-06,4.178169793549097e-10,5.669385837680017e-22,4.178169793543428e-10,0.9999999999986431,True,0,0,6.6809996068228905e-06,1.0
0.01,0.0,4,6.491284673459941e-06,2.2607687912016073e-09,2.20695442701299e-21,2.2607687911994003e-09,0.9999999999990238,True,0,0,6.491284673459941e-06,1.0
0.01,0.0,5,6.680789413360256e-06,6.698790967823702e-10,-2.5587961060094287e-21,6.69879096784929e-10,1.0000000000038198,True,0,0,6.680789413360256e-06,1.0
0.01,0.0,6,6.990927887373655e-06,7.0710533264090196e-09,1.480053452685999e-21,7.07105332640754e-09,0.9999999999997907,True,0,0,6.990927887373655e-06,1.0
0.01,0.0,7,6.607092183885666e-06,4.1304842671462904e-10,1.9392841681182505e-21,4.1304842671268976e-10,0.999999999995305,True,0,0,6.607092183885666e-06,1.0
0.01,0.0,8,6.690559140076769e-06,5.239244266449399e-10,-1.2063316635597068e-21,5.239244266461462e-10,1.0000000000023026,True,0,0,6.690559140076769e-06,1.0
0.01,0.0,9,6.7413113675640625e-06,8.608726559907811e-10,1.5827114148981091e-21,8.608726559891984e-10,0.9999999999981615,True,0,0,6.7413113675640625e-06,1.0
0.01,0.5,0,0.0002410752485574874,0.00023872497198693725,0.000239575542087323,-8.505701003857569e-07,0.0035629707830997217,True,2,8,8.335444372720159e-06,28.921703244336545
0.01,0.5,1,0.0001692316711959463,0.00023467808785532178,0.0002326158425067167,2.0622453486050882e-06,0.008787549649187765,True,2,8,8.410713174045182e-06,20.120965689114488
0.01,0.5,2,0.00017784252882856457,0.000185989629573325,0.0001841482838407027,1.8413457326222845e-06,0.009900260228736829,True,2,8,8.306257131829309e-06,21.41066981264976
0.01,0.5,3,0.0003455725809473065,0.0003284106677500435,0.00032774310825694477,6.675594930987002e-07,0.0020326973471117148,True,2,8,8.465123850542878e-06,40.82309804896056
0.01,0.5,4,0.00013857381506822143,0.00015076453106903506,0.0001502088323296365,5.556987393985462e-07,0.0036858718390739517,True,2,8,8.514667894965467e-06,16.274717555356094
0.01,0.5,5,0.0003525187457586454,0.0002733738684032199,0.00027368384469892283,-3.0997629570290487e-07,0.0011338914634141156,True,2,8,8.253830752857906e-06,42.70971338206627
0.01,0.5,6,0.00020843129434003905,0.00025386621278804196,0.00025582877733371524,-1.962564545673277e-06,0.0077307039960920745,True,2,8,8.427311782577274e-06,24.732832926740937
0.01,0.5,7,5.1625464440741014e-05,5.336802233887259e-05,5.298150836620976e-05,3.865139726628303e-07,0.007242426376764919,True,2,8,8.445288999270329e-06,6.11293046871474
0.01,0.5,8,0.00025786194994269483,0.0002073545107032577,0.00020731438018674542,4.0130516512290604e-08,0.00019353577781445447,True,2,8,8.500608447314928e-06,30.334528585909073
0.01,0.5,9,0.00012535609716847197,0.00010941809819297356,0.00011024267929004964,-8.245810970760882e-07,0.007536057660423126,True,2,8,8.32992629516971e-06,15.048884314998373
0.01,1.0,0,0.0004775816536525368,0.00047762124406310725,0.0004791510841746459,-1.5298401115386635e-06,0.0032030403390861913,True,2,8,8.368989415197259e-06,57.065630025208975
0.01,1.0,1,0.00037510835942361487,0.0004706409261829658,0.00046523168501343343,5.409241169532372e-06,0.011493350596181432,True,2,8,8.424068276136065e-06,44.528171796308
0.01,1.0,2,0.00035843991862408723,0.0003726752398383778,0.00036829656768140546,4.378672156972311e-06,0.01174929721349682,True,2,8,8.355203538401579e-06,42.90020188935574
0.01,1.0,3,0.0006781726126612654,0.0006567315186524614,0.00065548621651389,1.2453021385714106e-06,0.0018962119271001786,True,2,8,8.390167647698288e-06,80.82944717407541
0.01,1.0,4,0.00028050029458887016,0.0003004958053395696,0.00030041766465927335,7.814068029627806e-08,0.00026003917162163595,True,2,8,8.382324832234557e-06,33.463305252761785
0.01,1.0,5,0.0006527552577668572,0.0005437248829433416,0.0005473676893978458,-3.642806454504186e-06,0.006699723644767941,True,2,8,8.366018226035887e-06,78.02460383548024
0.01,1.0,6,0.00044485171439271335,0.0005122403498717941,0.0005116575546674307,5.827952043634598e-07,0.0011377377914670809,True,2,8,8.37413773323581e-06,53.12209191725586
0.01,1.0,7,0.0001018320807724904,0.00010700680676893104,0.00010596301673241961,1.0437900365114274e-06,0.009754426545643706,True,2,8,8.357877273768022e-06,12.183964592552693
0.01,1.0,8,0.0004836391349594904,0.0004153358194168608,0.00041462876037349117,7.070590433696047e-07,0.001702379159982707,True,2,8,8.38685831444641e-06,57.66630564467976
0.01,1.0,9,0.00023730420810655906,0.00021748627911179075,0.00022048535858009945,-2.9990794683086997e-06,0.013789741038178939,True,2,8,8.343544605027287e-06,28.441653918117094
0.03,0.0,0,6.363575529222399e-06,1.3317852686390897e-07,2.821961592110438e-20,1.3317852686388076e-07,0.9999999999997882,True,0,0,6.363575529222399e-06,1.0
0.03,0.0,1,6.872234274213352e-06,2.8800757828071506e-08,1.1065259873839393e-20,2.880075782806044e-08,0.9999999999996159,True,0,0,6.872234274213352e-06,1.0
0.03,0.0,2,8.346201791498143e-06,1.4200506038638492e-07,-8.551406541683968e-22,1.4200506038638576e-07,1.000000000000006,True,0,0,8.346201791498143e-06,1.0
0.03,0.0,3,7.360882352480669e-06,3.371695998546991e-08,4.340821205865214e-21,3.371695998546557e-08,0.9999999999998712,True,0,0,7.360882352480669e-06,1.0
0.03,0.0,4,5.790595896948414e-06,1.8156512863502302e-07,1.6583374623839407e-20,1.8156512863500643e-07,0.9999999999999086,True,0,0,5.790595896948414e-06,1.0
0.03,0.0,5,7.365323122365819e-06,5.319275811848123e-08,-3.0919448350563825e-20,5.3192758118512146e-08,1.0000000000005813,True,0,0,7.365323122365819e-06,1.0
0.03,0.0,6,1.0603591912905497e-05,5.657477353722443e-07,-1.6230339649412723e-20,5.657477353722605e-07,1.0000000000000286,True,1,1,9.627380472509995e-06,1.1013994869303207
0.03,0.0,7,6.6962955787786e-06,3.306140726772066e-08,1.2529520337301702e-20,3.306140726770813e-08,0.9999999999996211,True,0,0,6.6962955787786e-06,1.0
0.03,0.0,8,7.450443437073684e-06,4.219009223563975e-08,3.629387713405097e-20,4.219009223560345e-08,0.9999999999991397,True,0,0,7.450443437073684e-06,1.0
0.03,0.0,9,7.934622237948386e-06,6.960684971626034e-08,-3.415062380025419e-21,6.960684971626376e-08,1.000000000000049,True,0,0,7.934622237948386e-06,1.0
0.03,0.5,0,0.0021243535435864105,0.0021308497023272413,0.002156179878785907,-2.533017645866588e-05,0.011887359503113301,True,2,8,8.287635020154394e-06,256.3280765164336
0.03,0.5,1,0.0019357664654632402,0.002144937093580181,0.00209354258256045,5.139451101973105e-05,0.023960847697377868,True,2,8,8.48315779430342e-06,228.18937386301354
0.03,0.5,2,0.0016677155893482067,0.0017045575191560163,0.0016573345545663242,4.722296458969217e-05,0.027703943140078863,True,2,8,8.10169293495866e-06,205.84779042316498
0.03,0.5,3,0.003002345919335825,0.002963392384229112,0.002949687974312503,1.3704409916609137e-05,0.004624568109691677,True,2,8,8.64783456696605e-06,347.1789262487185
0.03,0.5,4,0.001316089169087975,0.001366254474944729,0.0013518794909667283,1.43749839780008e-05,0.010521454269038957,True,2,8,8.710723413807298e-06,151.08838916890102
0.03,0.5,5,0.0026740813194705893,0.002449710588831908,0.0024631546022903057,-1.3444013458397634e-05,0.005488000713099796,True,2,8,8.005653300757754e-06,334.024122580662
0.03,0.5,6,0.002100302925103692,0.0022476174618998807,0.0023024589960034367,-5.4841534103556005e-05,0.024399852302802096,True,2,8,8.422172980304676e-06,249.37779478232855
0.03,0.5,7,0.0004685930566189156,0.00048718893141152223,0.00047683357529588777,1.0355356115634463e-05,0.02125531892859739,True,2,8,8.496226033771759e-06,55.15308264590643
0.03,0.5,8,0.002001645418757592,0.001866644409704447,0.0018658294216807082,8.149880237388017e-07,0.00043660593281815357,True,2,8,8.805116146370917e-06,227.32754292884397
0.03,0.5,9,0.001002422720112628,0.0009696747661663836,0.0009921841136104467,-2.2509347444063087e-05,0.02321329607560477,True,2,8,8.033290719333675e-06,124.78357315017904
0.03,1.0,0,0.004244788664990062,0.004262857176614727,0.0043123597575718126,-4.950258095708527e-05,0.011612535655345806,True,2,8,8.201482627379076e-06,517.5635745200082
0.03,1.0,1,0.0040190552705725024,0.004317277335290384,0.0041870851651209014,0.00013019217016948213,0.030156082192186826,True,2,8,8.520804978162656e-06,471.67553780102276
0.03,1.0,2,0.00336937661077078,0.003423973923336254,0.0033146691091326492,0.00010930481420360488,0.03192337811296775,True,2,8,8.154439947938298e-06,413.1953429398503
0.03,1.0,3,0.005971243136990212,0.005917869297402033,0.00589937594862501,1.8493348777022522e-05,0.0031250012204800085,True,2,8,8.416040599124042e-06,709.5074063226015
0.03,1.0,4,0.002630281419454883,0.002703884877567471,0.0027037589819334596,1.258956340115247e-07,4.6561018575903914e-05,True,2,8,8.210373175232544e-06,320.3607635508462
0.03,1.0,5,0.005125818263029325,0.004812498309441205,0.004926309204580611,-0.00011381089513940595,0.023649025479371213,True,2,8,8.39538615012847e-06,610.551816362954
0.03,1.0,6,0.004399221540983278,0.004612668933351112,0.004604917992006876,7.750941344236012e-06,0.0016803593442820401,True,2,8,8.112642045199348e-06,542.2674285976312
0.03,1.0,7,0.0009530264303435288,0.0009819325926952976,0.0009536671505917763,2.82654421035213e-05,0.028785521851286914,True,2,8,8.190504688643241e-06,116.35747326596035
0.03,1.0,8,0.003933971818380344,0.003748962119405484,0.0037316588433614203,1.7303276044063672e-05,0.004615484364191883,True,2,8,8.425303321801803e-06,466.923464725664
0.03,1.0,9,0.001945556880606547,0.00190200222878367,0.0019843682272208947,-8.236599843722465e-05,0.043304890599364695,True,2,8,7.956421131127822e-06,244.52663434253947
0.06,0.0,0,7.3687787169318675e-06,2.1168789289585883e-06,1.1287846368441753e-19,2.116878928958475e-06,0.9999999999999466,True,0,0,7.3687787169318675e-06,1.0
0.06,0.0,1,8.120202677852629e-06,4.804519555698042e-07,4.4261039495357574e-20,4.8045195556976e-07,0.9999999999999079,True,0,0,8.120202677852629e-06,1.0
0.06,0.0,2,1.5354238872100633e-05,2.307684796724255e-06,-3.420562616673587e-21,2.3076847967242583e-06,1.0000000000000016,True,1,2,9.541321111627977e-06,1.6092361521496716
0.06,0.0,3,1.0038550221780352e-05,5.362877236490435e-07,1.7363284823460856e-20,5.362877236490262e-07,0.9999999999999676,True,1,1,9.5268131145132e-06,1.0537154556425137
