mechanism,strength,before_fidelity,after_fidelity,success
detuning (existing channels),0.0,0.9999934003841107,0.9999934003841107,True
new leakage channel,0.0,0.9999934003841107,0.9999934003841107,True
detuning (existing channels),0.05,0.9927606078355954,0.999994456819238,True
new leakage channel,0.05,0.9998533945343038,0.9998585254696062,False
detuning (existing channels),0.1,0.9710972041887026,0.9999906453450917,True
new leakage channel,0.1,0.9994271171786023,0.9994301849865377,False
detuning (existing channels),0.2,0.8865578315327207,0.9996627621568535,False
new leakage channel,0.2,0.9976293874540847,0.9976576713240579,False
detuning (existing channels),0.4,0.5899514190785828,0.9416790508282222,False
new leakage channel,0.4,0.9890346922938991,0.989602565394725,False
