eta,sigma_F,seed,success,final_infidelity,median_fitted_curvature,nonpositive_fit_fraction
0.06,0.0,0,True,7.731126447418912e-06,0.020128131520059198,0.0
0.06,0.0,1,True,8.881728644938303e-06,0.02461691102964942,0.0
0.06,0.0,2,True,7.636724990811584e-06,0.020273804986976875,0.0
0.06,0.0,3,True,8.454879786456981e-06,0.020351004592590285,0.0
0.06,0.0,4,True,7.660325599390117e-06,0.019641175852543793,0.0
0.06,0.0,5,True,8.557805464926017e-06,0.020168785388886785,0.0
0.06,0.0,6,True,7.345392354041192e-06,0.020071213960331093,0.0
0.06,0.0,7,True,7.682852075363567e-06,0.020190826017129078,0.0
0.06,0.0,8,True,7.26355541219581e-06,0.027220213482123178,0.0
0.06,0.0,9,True,7.295074498026022e-06,0.020283891277097642,0.0
0.06,1e-06,0,True,7.73334456288799e-06,0.020127666682565666,0.0
0.06,1e-06,1,True,8.864713305756223e-06,0.02461668762807172,0.0
0.06,1e-06,2,True,7.643375244492657e-06,0.02027363796452552,0.0
0.06,1e-06,3,True,8.458284146806161e-06,0.020351271610429333,0.0
0.06,1e-06,4,True,7.640637729744438e-06,0.019641820920745547,0.0
0.06,1e-06,5,True,8.56487923760474e-06,0.020168633973623024,0.0
0.06,1e-06,6,True,7.348406391238794e-06,0.02007114951732928,0.0
0.06,1e-06,7,True,7.690292645656793e-06,0.02019066037708983,0.0
0.06,1e-06,8,True,7.280492509431636e-06,0.027220155426875628,0.0
0.06,1e-06,9,True,7.297774166425964e-06,0.02028469197181554,0.0
0.06,1e-05,0,True,7.894997763935319e-06,0.02013158661014881,0.0
0.06,1e-05,1,True,8.726990981366978e-06,0.02461036051406101,0.0
0.06,1e-05,2,True,7.4534186512820184e-06,0.020273759373850744,0.0
0.06,1e-05,3,True,8.508150011843353e-06,0.020348118579933024,0.0
0.06,1e-05,4,True,7.510182471592853e-06,0.019627071053649442,0.0
0.06,1e-05,5,True,8.779337577580205e-06,0.02017472579752211,0.0
0.06,1e-05,6,True,7.506510802401945e-06,0.020076888895113845,0.0
0.06,1e-05,7,True,7.713338317161257e-06,0.020190605101975238,0.0
0.06,1e-05,8,True,6.663215915325705e-06,0.027216986549203334,0.0
0.06,1e-05,9,True,7.1301677963986345e-06,0.02029906502847196,0.0
0.06,0.0001,0,True,8.967025047945665e-06,0.020132642710602548,0.0
0.06,0.0001,1,True,9.45793989822752e-06,0.024669564716757988,0.0
0.06,0.0001,2,True,6.5235287548204296e-06,0.02026052940649049,0.0
0.06,0.0001,3,True,9.759722449176335e-06,0.01425284635099086,0.0
0.06,0.0001,4,True,6.351413580441001e-06,0.019666004858348598,0.0
0.06,0.0001,5,True,9.82033807156446e-06,0.012628921017630405,0.0
0.06,0.0001,6,True,6.744606131314779e-06,0.02005074259460677,0.0
0.06,0.0001,7,True,9.858049249567015e-06,0.01380818249261407,0.0
