input,output
1001101100011011,100011011
0100111001000011,001011001
1111000111000011,010010101
1011111111011001,000110011
1001110000101101,101101110
1111101110100001,001001101
1111001010011011,000101001
0111111011010110,100101110
0110110101011011,000010011
1100110000110110,111110010
0110010100101011,010111101
0100010000111010,011111100
0010010001011110,011110010
0111101111010100,100100001
0010110010100100,100110100
0101001111010010,101010001
0101000100011010,010001110
0111100101000011,000001101
0011010011111100,110101100
0100101111111110,100010101
1011101100001110,101100101
0000111110110110,101110101
1100001010110011,000010001
0100010100010000,010101010
0110111110101011,110100111
1110001001111100,101000010
1110100000010001,111110010
0011011111111001,110100011
1011100010100100,010000100
1001000101110001,111010001
1001110101101110,111101001
1110101010001111,000100101
0011001110011011,101001011
1110001011101000,011110100
0100001011001001,101010110
1110001110001000,000110110
1011101100011011,101011011
1111001010101010,001001010
1111111110001100,000011001
1101010000000101,110100110
0111011000111000,010100010
1101100010000011,001110110
1011100110111110,010110001
1100100001011101,101100110
0001100111011010,110011110
0111111011100100,101001010
0010011000101110,000110110
1010110110010110,011110001
0010001110010100,101101110
1001110100011100,100011110
0111011000110101,010110001
1000100010000001,010010010
0000101111001101,110000011
1010001000100111,100101001
1011011101010100,111010001
1111001111000001,010010101
1011101000100001,100001110
1101100100111110,111010001
0001101100101101,001100011
0110001111101000,101110110
0001111110010100,100001001
0101110011011011,101010001
1111100111111011,011111101
1001000110011011,010001101
1110111011100101,011110001
1110101010101110,001100110
0011011011000100,111100010
0111001110010110,111011001
0001101001101000,011101100
1001110001111110,111011010
1101011101011011,101000111
0111100100101001,010011001
0111110011000101,100001110
0001000010101110,101111100
1010000011100110,001101100
1001100001000101,110111010
0110001110000011,111000011
0001110100000110,000110001
1111110010111110,001111010
1101010111110110,010110001
0010001110101101,100111101
0111011111110010,101111001
0000001001001111,010011001
1110101011011111,010010101
1010000111101010,001110110
1010110100100101,100110101
1110100011011000,010011000
1000110110000000,010011010
0101111110111010,111010101
0101111101110010,000100101
1100111011101100,010101010
0011110110000001,101111001
1100110010111010,000010010
0001011010111110,101001110
1010010110101011,010111101
1000011010101010,011011010
0010010000101011,000111110
1001011000001110,100110110
0111111001110100,001101010
0111011111001111,100001111
1101101000010100,110000010
1010011111101110,001110101
0110011010001100,111010010
1110100111111000,011011010
1011001001110111,110111001
1110000101100011,101100101
1101111101110001,100100011
1100110100011111,110101011
0110000000010101,011101010
1111100110110011,001101101
1101000110000110,001101110
0000001010110010,101100010
1111111110010011,000100111
0100111010111110,111101110
1000010000111110,101110010
1110010010001101,000110110
1011011000000010,101101010
0100100100100110,011011110
1011101101111101,110110011
0000101101011000,010101110
1011000111000010,000010110
1111001100111100,110100001
1010100110000111,011011101
1010000100110011,100010101
1111011101010011,100111011
1101101101000101,101111101
0000111001011100,010101010
0011001100110110,000111001
1001111001111100,111011010
0101000011001000,101110000
0111000001101011,001001110
1010000100100001,100100001
0010010111000001,111001001
0100100000001100,010000100
1011000000111010,100101100
0101110101011010,001010001
1011101100111011,100111011
1100100100001010,110001110
0000100111100101,111011001
1010110001100101,110110110
1000001110011011,010110011
1110001111001110,010111001
0101000000111110,011000010
0100110100001010,010000001
1001100100010001,100001001
1111000010111110,001100010
1111101111100011,011001011
0001110010111000,101010100
1110100101111101,101010101
1010110010111101,010011110
1000001101110100,111101110
1001000101010100,110011010
1010011011110101,001010001
0001011010101110,101110110
1111111101100011,101000111
0111001000011010,011001010
0011101100001101,001100011
1011100010100101,010000110
1100000011000011,011000110
1110010101011001,100000101
0011110100101000,000010110
0011111000001001,001100001
0111100110100100,110000110
1001000011011011,001001110
0100100011011101,101100110
0100100111000011,101010101
1001101000000101,100111110
0010010000100001,000101010
1110000101001001,100110001
0111111011100010,101000110
1000111110000100,010010001
1001111100011100,100011001
0011001011110101,110111110
0101111110000000,110111110
0001101011001010,110101010
1000101111110110,000000101
1001001000011011,100001001
1110000010011011,000001110
0010110011000100,111010100
0110000011101111,101111110
0001001111111101,111000011
1101110111101001,010010101
0010010100101110,000110001
1110110101100101,101110101
1111000101110101,101111001
0000001000001110,000011010
0110000101110010,001010110
0100101110110100,111111110
1011110101110010,110100001
0101001111111100,100100001
1001111111011100,001011001
