input,output
01011000111001,0010110
10000101111011,0111001
10001000111000,1100000
01100110101011,0010000
10000110000001,1000010
00000111111101,1000000
01111001110011,1001001
00110100001110,0011000
01100110010101,0100100
01001110110010,0011001
10001110001000,1001011
10000110011011,1101000
10011011100001,0110100
00100010101011,0110010
00100011100100,1000110
00110100011011,0000001
01100000111001,0001001
10100111000011,0010000
10101110110000,1111011
01101000001101,0100001
11001101000111,0111110
00000101010000,1101100
01000001111011,1011011
11001001100011,0000101
01100000011111,0110111
11000011110011,0010010
00011101100111,1101110
11110111101111,0011000
11000011010100,0111010
11011101100010,0001100
10011111101010,0111001
01100011011111,1110110
01000000010000,0100000
00010000100000,0110000
00111001011111,1000011
11000010101011,1110010
00011011101100,1011110
01010111110001,1100010
11000101101010,0001000
00111100110101,0101100
11111010111011,1111000
01010111010000,1010011
01000000001111,0110111
00011011010110,1100010
01010001001001,1111110
01001000110010,0010100
10111011000110,0011010
00111100011110,0000000
01101010101001,0011000
01111001111011,1000101
00101110001011,0011000
01000010101111,0001110
10000001110111,0110111
10110000011110,1111010
10011010011000,1011001
10111111110110,0110001
10010010101010,1111100
01011101111001,1010100
01010100110100,0010100
00001001100001,1100110
00001101111011,1111110
10011100110000,1100110
00001000111001,0111110
00010100001110,0000100
10010010001100,1000110
11100111101110,0011010
10010010101101,1000100
01011010010100,0110001
10001001100101,0100001
11010001111111,0010111
10111110001000,1010111
00011100110011,0111010
00110011011110,1111000
00000100010111,0010101
00111000011011,0000101
10011111100001,0110110
01010100011110,0100100
01010101110010,1100000
10011100111010,1101000
11001101001110,0110000
10010000010110,1101010
00110011110100,1010110
00011111010101,1100010
10111110010110,1001001
10100001110111,0100111
00110000011011,0000011
01011101011100,1011100
00000011110011,1110010
00001101100000,1011010
10111001000010,0010000
11101011111101,0001000
00001010001100,0001110
10101100110011,1000110
10000111110101,0101000
10001001010110,0010010
01010110101010,0000001
01011110010110,0110001
11100100001001,1000010
00010111010100,1100101
11000010100101,1111000
00110101101011,1111110
10111100110101,1001100
10010001001111,0000111
00000100001001,0001010
00011101111111,1110001
10100011010110,0000100
01001100011100,0110100
11001001110010,0010100
11110100000111,1000001
10100111101110,0101010
01011100011010,0111000
01111000110110,0001100
10010001110011,0111101
11000001101101,0001101
11111010100100,1011001
00101100101110,0110000
00100111000110,1100110
10111111010000,0001111
01111010111110,0000010
10011000010001,1101010
00100101110111,1100101
00100110110111,0100100
01000111101011,1001000
00010100101101,0100110
01111000111001,0000110
10111010010110,1001010
11001011110001,0011000
01111111001110,1010001
00000010001010,0001100
11011101111110,0010000
01010110100101,0001100
10011101000110,0001000
01010000000111,0110011
01000001111111,1011111
11100111000001,0110010
01010100010101,0101010
00101101111011,1101110
00000011111011,1111010
01111111101010,1100101
01101001101011,1010101
11001010001100,1101110
10001100010010,1011000
01100010010010,0100010
11101000010111,1011101
11111111000000,0111111
00111011110110,1010010
10110111001000,0010011
01111101010010,1001100
10110010101001,1100000
00101111001010,1101001
01100100100001,0011100
11101000111000,1001000
00000011101100,1010010
01100000001111,0100111
11011101011011,0100110
11011100101000,1000110
00111110010110,0001001
10100010010111,1111010
00001011100001,1011000
10000000011001,1101001
11111010001000,1110101
11001111011101,0110100
10001100110101,1010010
10011000111001,1010110
10001000101101,1001001
10100101110100,0111000
10101100101001,1010100
01110101010101,1110010
11100010111100,1001010
00001101111000,1000010
10010010100101,1001000
11000011111111,0011110
01100111100110,1100110
11000110011000,1110101
10110101011000,0000010
00111011001100,1100001
01101101001111,1100001
01110011100010,1101010
00001110101000,0110011
01000001000111,1111011
11001001001100,0110000
00111111100101,1001010
01011001100011,1001001
00110101110110,1101000
00111001010111,1001101
00101100010001,0000100
11001111101110,0001110
01100111001000,1011101
10111101001011,0011010
00101111000010,1100101
00100011010101,1000100
11001100001011,1010110
01000010001101,0110100
11010111110000,0010011
01001010001101,0110000
10000101100101,0100110
00111000001110,0011100
01010101011111,1100101
00100110000000,0010011
10011101111010,0101000
11110011011010,0100010
00111101001110,1100000
00110010111101,0100100
01110101101000,1100010
01110011010001,1001000
11100111111101,0001000
00111110101001,0100110
01111111010011,1001100
11111110000000,1111111
00010101111001,1110010
10100000001011,1100011
11011001111001,0010110
10010111101000,0111101
11011001111011,0010101
00001000001111,0001011
10100110111011,1001000
10000010101111,1001110
01000010110111,0010110
11100110101010,1011110
01111011111011,1000100
01100011001100,1011010
11011000010001,1001010
11100001000010,0101100
10011111101101,0111100
11111111110100,0001011
00010110000000,0001011
01000001001101,1110101
11011100011001,1000100
11100011001011,0100010
11100010011001,1010000
10111011001110,0010010
01011110101111,0000000
10100110101101,1101000
00101110000001,0010110
01110001011001,1111110
01010011010100,1010110
10011000100010,1001000
01001010111100,0010110
10001110011110,1010110
10001001011001,0011110
01101001110111,1000011
10011110111001,1101010
00001100001110,0001000
00101011110010,1011010
01000000001010,0110010
00101011010110,1111100
11010011001111,0111010
11100110110000,1000011
00000011111100,1000010
01011110110010,0010101
00101110000010,0010101
01000001011110,1101110
10001011011011,0011100
10111101000100,0011010
10011101001101,0000010
01001100101111,0001001
00010010101100,0111010
11010110001011,1100000
11111110001000,1110111
00101101000000,1100110
10101101001000,0011010
01010010011010,0111100
11010010111110,1011000
01100001110001,1000001
