input,output
011011000110,000010001010
000010000110,000000011000
111111101000,110111001000
010111011111,001100000111
101111000111,000110101011
101010010010,010111101000
101110111100,110011011000
011110010110,001100001100
000010101110,000010111000
110001011110,010110000010
101000111000,110001000000
111100001101,001010010100
001101101000,001110110000
111000011110,010010110000
001010000101,000001001100
011011001001,000110011110
011110110000,010110100000
101101100100,101010011000
110100111010,101111110000
110001111000,101011110000
010011010111,001010101101
011001111000,010100001000
010100111101,011010111000
100000110010,110010000000
100010001101,001101110100
010101010010,001011110100
111111111100,100011011100
010011000100,000010011000
000110111110,000101110100
100111101001,101111000001
001111001011,000011000011
111001110110,101110000010
011000111010,010100010000
111100010101,011011100100
000110011111,000010111010
111001111010,100000011100
011110110111,010101110110
011101010000,001110100000
011011101101,011111101001
000001111101,000001111010
000010000111,000000011100
010000111001,011100100000
010111101000,010001001000
000011101011,000011111001
110100101111,111110010100
001001000101,000001011010
000101001000,000001010000
001001111100,001110000100
001011001101,000011110001
000100011110,000011110000
010101010110,001000100010
110010011111,010110010010
011110001100,000101101000
011110001001,000111000010
000000100001,000000000000
110010001110,001010000100
001010111000,001100010000
011110100011,011111011010
011011001000,000110110000
111110101110,110000011100
110010100010,110000101000
100100110101,110000011000
110111000000,000000000000
101110011110,011001101100
010100011100,001100010000
111000100110,111101010000
000010101111,000010111100
111000011011,010111101000
011011100010,011010011100
010101100000,010101000000
111111010001,011110100001
100100011100,011111100000
100010001010,001010101000
011110010100,001101001000
110101001010,001110101100
101110110001,111011111100
011011011101,001011011001
001000101010,001010100000
010101111000,011001001000
101110110111,111101010110
010010101111,010100100010
100101100111,100001001001
111101011010,010100000010
000100010011,000010011000
111110111101,100011011010
101010110000,111111000000
110110010101,011101100010
001010110010,001111101000
100000100110,100110000000
010011010101,001011000001
010011100111,010001001101
001110011110,000100101100
110100011001,010001011000
100100011011,011001111000
000001110000,000001100000
110111010101,011101011001
011000011000,001001000000
100010101111,101100000010
001101111000,001011001000
110101000101,000111010110
101000110110,111000010000
011000010101,001111110000
110100000010,000011010000
100001010000,010000100000
000111111111,000100111011
110111110001,100010000001
011111010111,001100000111
001110010011,000111101010
011001110010,010010110100
011110110011,010111111010
110100011011,010010100100
100000100011,100011000000
100110001101,001100100010
110001101010,111110110100
011010111111,010101101010
000000100010,000000000000
110011110111,100000111101
000111100000,000111000000
011110011000,001011010000
011111001100,000101110100
101111110000,111011010000
100001101100,101101011000
100011001010,001010111100
010011000000,000000000000
100010010110,010111011000
111001101111,110100101001
100010000011,000011001100
010100101111,010001100100
100000001101,001101000000
100001010010,010010100100
011101101111,011011110101
000100000110,000000110000
100001001111,001111011110
111111010000,011111100000
010001111110,011110000010
000010011011,000001101100
010100110001,011110101000
001001100101,001000111010
110111100110,110000111010
001110001001,000011111100
100000010011,010011000000
010011000111,000011110101
110001001010,001111010100
000001111011,000001110110
111000111011,100000011000
000000100000,000000000000
001110110101,001011010010
101110101011,100000000110
110111001100,001000110100
011001011110,001011100010
010010000000,000000000000
001110100000,001110000000
000010110101,000011010100
000100100011,000100011000
100001101110,101111011100
111100010010,011100001000
100111011111,011100111011
101001100101,101101111010
011010101010,011100111000
010100110110,011100001000
000000101000,000000000000
101011001000,001010110000
001101100010,001101110100
010110011010,001111000100
100010011001,011000010100
110111011110,010101110110
110101011001,010001100110
000111111001,000100010001
010011100000,010011000000
100000110000,110000000000
000110100000,000110000000
111010010001,011100001100
101001111110,110111100010
011100111010,010000101000
001011101001,001000011110
010010101110,010100000100
101111001110,001101010110
111110011001,010110010010
100011011011,011010100101
010001010001,001000010010
000101011101,000011001110
100001101101,101100111010
110100011111,010101010100
001101000100,000001101000
011110111011,010011100110
111100011110,010000111000
100101011111,011101111001
001010111101,001101011100
001000001111,000011110000
001101111011,001011101001
010110000110,000011100100
010101110010,011110001100
000000110011,000000000000
001011110010,001110111100
111101111000,100100101000
111101100110,111010010010
110101010000,011010100000
111001111011,100001100001
111110010101,011010001010
011100101011,011001110100
100011010000,010001100000
101001011011,011100111110
111010110110,101101100100
001111110110,001010100110
001011111101,001100011001
000011000100,000000011000
100011101010,101000000010
111111111001,100110011001
100111011010,011001110010
000111001011,000001101101
100001111110,111111111100
001000110111,001101110000
101111101110,100101110110
110000011100,010101000000
010010001100,000110110000
101011011101,011000011001
101011100000,101011000000
110101101001,111011000110
001001000000,000000000000
010111101110,010010010110
000101000110,000000111100
010100111001,011000011000
000100001010,000001010000
001001100110,001000011100
001100110001,001001011000
111101111001,100101001110
110100111101,101000000100
110011001000,001100110000
011011011000,001000101000
000000111110,000000000000
010000010110,001011000000
000011011011,000001000101
110011101110,111000111010
011111110001,010111100001
010111011001,001110010001
011010101111,011111001010
101101000110,000111000010
110001011000,010010110000
001000110000,001100000000
111100011100,010010110000
110110100111,110000000110
101011101101,100010101001
100110010100,010111110000
011011000000,000000000000
110100101100,111100010000
101011001110,001100111010
000111100010,000111011100
110010111101,101111101100
010010010110,001010111000
100111001000,001001110000
111000011111,010011011000
001101010101,000111001110
111010011010,010111111000
000100111111,000111111000
001100100111,001101010100
110100010010,011000110000
011010011001,001000101100
100111100001,100110101110
110110100000,110110000000
110010100100,110101010000
001001101010,001011110100
110101011111,010101100101
110100111111,101011010100
101111100000,101111000000
011001010111,001110010001
010011101000,010111110000
000100100010,000100010000
000011101110,000011101010
110110011001,010000000010
110101111011,101111001001
101001101000,100111010000
000110101111,000111011010
110111011010,010010001010
110000100001,110001100000
111110000011,000010111010
011100000001,000000111000
001100010000,000110000000
010000011001,001100100000
011110100101,011100110010
101000000110,000111100000
110010101110,111001000100
100100011110,011100001000
101111111100,110010011100
011001000000,000000000000
011111001110,000100110110
101100111110,110010011000
100111001111,001110101011
001110011101,000100001010
010101010101,001001110110
001100001011,000011100100
101100011100,011011010000
110000000000,000000000000
100101000100,000100101000
010101000111,000011001001
101100010000,010110000000
010001111001,011101001010
100110110000,110100100000
010001111011,011100101110
111001100110,111100111100
111001111101,100101001110
101010000011,000011111100
001101110100,001001111000
100111000000,000000000000
001110111001,001000100010
001001001000,000010010000
111001000011,000010101110
110110110010,100000000100
011111100011,011110111101
100010110101,110110110100
011010000101,000011101100
001000101110,001011100000
100111000011,000011010101
000000010100,000000000000
101100010011,010100010100
101000110101,111010110000
100001100011,100010100110
111000110000,101010000000
111000111000,100011000000
011110110010,010111000100
010100110010,011111010000
011010101101,011110111100
010111100111,010101110011
010011110110,011000101010
110011010001,011000110110
111101001110,001001001010
111010101000,110011100000
001010001010,000010011000
111010111000,100001010000
001001110100,001100011000
010010100100,010001010000
010110100101,010101000010
111100111010,100110101000
111100101101,110001010100
001110110001,001010111100
