input,output
0110111000,10110111100
1111111101,01001011101
0100110101,10111111010
0010001101,00101111100
1011000010,10010111000
1100111101,01011110110
1110101111,10101001101
1001101110,10101100110
0111000011,00100000110
1011111100,01011110110
0000110110,10010101100
0000010001,10000100100
1000011001,01010110100
0000001001,00100010100
0100100101,00101011010
1000011010,01011110000
0110011100,10101010000
0001010010,10001001000
1101101101,10111101001
1111100010,10000000001
1110011111,01001111110
0001110101,10011111110
0001001100,00100110000
0000101011,00100101110
0101000010,00100101000
0101001101,00010010010
0111010000,10100011000
1010000110,10010101000
0010001100,00101100000
1100100101,10011111010
1101010110,01000100100
1010101001,10111111010
1011010001,01010011100
0110010010,10101110000
1110010001,01001010100
1010110100,01001011100
1111111011,01011001011
1101100101,10010110001
0001001101,00100100010
1000001000,10100000000
1110001011,10101011010
1101010111,01000011110
0101000111,00101110110
0001100100,00001010010
0110100011,00100100001
1011101111,10110011011
1000111100,01001010100
1001011100,01000001000
0111010110,10110110100
1110100000,10001000010
0110000011,00100110010
0111000001,00100011100
1010011101,01010100010
0001000010,00000001000
0110101011,00010001001
0011110101,10010011001
0000111111,10000011001
0001010001,10000110100
1011101010,10110101110
1011101011,10110111101
0111100110,00101000001
1010010010,01010110000
0001110100,10011010010
0100001100,00010100000
1011110101,01000000101
1101010001,01011001100
0011011001,10011111100
0010010011,10000001010
0011100111,00000100011
1001011111,01001000001
0100001111,00010001110
1110001010,10101001000
1111100110,10001010001
1110011100,01000110000
0010010001,10001100100
1100111010,01000111100
0010110001,10001101010
1100110000,01010110100
0110001111,00010101110
0010011100,10000010000
0011001011,00101100110
0110100111,00101111001
0000101110,00100011100
1110101110,10101011010
1011010100,01000011000
0001001010,00100101000
0101000110,00101111000
1111000000,10000111000
0101101001,00010111110
1010001101,10111111100
1111001010,10100010100
0000001000,00100000000
0111000101,00101010010
0101010111,10110101110
1000101010,10100001100
1010101000,10111101100
1110110010,01000110010
1101100110,10010110110
1100011000,01001000000
1111011101,01001111010
0001101111,00100011101
0010111100,10000011100
1100000001,10010000100
0001000110,00001011000
1101100010,10011000110
0011100100,00000100110
1111101000,10100011110
0101011110,10100010100
1100110100,01000001100
0111000111,00101011110
1111111001,01010100101
0001100111,00001010101
0001010111,10010001110
1111101010,10100100001
1110111111,01001011101
0010001010,00101110000
1101010000,01011110000
1100011101,01011000010
1011000101,10011100010
0001110000,10000010010
1001110111,01011101101
0101000000,00100110000
1000011111,01000011110
0101100000,00100101010
1101011001,01000111100
1100001010,10110110000
0001111011,10011000101
0000100111,00001000001
1101110001,01011111110
1111000001,10000111100
0101101010,00010000110
1111011010,01011010100
1011011010,01000100100
1101000011,10011101010
1000000110,10001001000
1001110011,01000111001
0110111001,10110010110
1010010000,01011000000
1100001101,10110111100
1111100111,10001011011
1001101111,10101111101
1111001000,10100111000
1110111001,01011110110
1100001000,10110000000
1110011011,01010000110
0101100110,00101100110
0101110000,10100101010
0010011010,10010001000
1110011010,01010101000
0000111001,10010110010
0000011110,10000111000
0010010100,10010100000
0010101111,00101000101
1111111100,01001111110
1001100000,10001110010
1111000011,10000100110
1111000100,10001111000
0110110100,10111111100
1100000100,10011000000
0001011000,10010010000
1111010010,01001100100
0011111101,10000100101
0000100100,00001000100
1001001000,10101010000
1011000110,10011100100
0011011100,10000011000
0011000010,00001011000
1000001110,10100011000
0110010001,10100010100
1110110000,01001000010
0010110100,10010101100
0001110011,10001101001
1110101010,10101110010
1001110101,01010100001
1001010001,01001110100
1101111101,01010111001
1011010000,01010101000
1010001110,10111011000
0000100101,00001001010
1110100101,10000101110
0000010110,10010101000
0101011100,10101001000
1110000000,10001100000
1110100001,10001000110
0101110100,10111101010
1100011111,01010011110
0000010101,10011101100
0111101110,00010010001
0011011110,10001110100
1011000111,10011101110
1110110110,01011101010
0101110011,10101000101
0011111010,10010001110
0011110111,10011010011
0011110010,10000110110
0000110100,10011000100
1001101010,10101011010
1001000001,10001010100
1011001000,10110101000
1100110001,01010001010
1000000010,10000010000
1110111011,01010111001
0111101000,00010001110
0101010001,10100001100
0110111101,10101111110
0111111111,10100010111
0011010001,10001101100
1101100011,10011000101
1110101101,10101111110
1100010011,01011110010
1001011010,01010011000
1100011100,01011100000
1101011111,01011100001
0101110010,10101111010
0011001100,00101101000
0011111001,10011110001
1100111100,01011001100
0001011011,10011000110
0001010100,10011010000
1101001100,10111001000
1101100000,10011011010
0000110000,10000000100
1111111111,01000001111
1111001001,10100100010
0100000001,00100000100
1110111000,01011000010
0110001101,00010000010
0100101011,00010111110
1001000110,10000111000
1110000111,10000010110
1101111111,01011001011
1110010100,01010010000
0011100011,00001010101
1001010010,01000101000
0010100101,00000100110
0101111000,10110101010
0101111101,10101101001
0000100000,00000000100
1000011011,01011011010
0011010010,10000111000
0010110000,10001001100
0100101111,00010011001
0101110001,10100011110
0011100010,00001010110
0010100111,00000101001
1100010111,01001010110
1100100111,10011110001
0111110000,10100001110
1111110100,01011011110
0101101101,00010001001
1100001110,10110011000
0110010011,10101001010
0010101011,00101100001
0101101000,00010101010
0000110011,10001110110
0000111110,10000111100
0011011000,10011001000
1010111111,01011110101
0010100000,00001001100
0000010111,10010010110
1100010010,01011010000
1011111110,01010100001
0011000101,00000100010
