input,output
10000000,10000
11101110,01110
00010001,00001
10010001,10001
01001000,11000
00110010,00001
10110000,10110
10000011,10110
00100101,01110
01100100,00010
00001001,10010
11010010,11110
00100000,00100
01011100,10110
10100000,10100
11001000,00100
01110110,00101
11011001,00101
01010111,00011
11100001,11110
10110110,11001
00111010,10001
00110110,01001
11100000,11100
01111010,11001
10111100,00001
01000010,01100
00000111,01110
00100010,00010
11111101,01011
00001010,10100
01100011,01001
01111101,10011
11100011,11001
00000001,00010
00110000,00110
10110100,11110
10101010,01010
01001100,10100
10111111,00111
00010100,01010
01101100,10010
00000101,01010
11110001,11101
11111000,00001
00011000,10010
00110001,00101
01101001,11110
01100010,01010
10101001,01110
10001101,00110
11001001,00110
00110111,01011
01011101,10101
01110011,01011
01111001,11101
01010100,00110
00101111,11001
10000101,11010
10000111,11110
10010010,10110
01100110,00110
11100010,11010
01011111,10011
11010101,10101
11001100,01100
11111010,00101
01100101,00001
11010001,11001
00111100,11110
00001110,11100
10001110,00010
01101011,11001
01100000,01100
10010111,11101
11000010,11100
10100100,11100
01010011,01101
00101100,11100
11011010,00001
11011101,01101
00011110,11110
10110011,10011
00100011,00001
01010110,00001
00100111,01001
00000110,01100
00010010,00110
11110011,11011
01011001,11001
01111110,10101
10001001,01010
11010111,10011
11100110,10110
00101101,11110
00111000,10110
00011011,10101
00101011,10001
11010011,11101
10010000,10010
01001010,11100
10011001,01001
00010111,01101
11001010,00010
01111111,10111
00000000,00000
10011000,01010
00001111,11110
00110100,01110
11110100,10001
11000001,11010
10001100,00100
10001010,01100
10011100,00110
10100001,10110
00010101,01001
01110010,01001
11101010,00110
01110001,01101
10111010,01001
