input,output
10100000,00000000
10011111,11100001
11000010,00110000
10111100,11100100
11100100,01110000
01000100,00100000
01100000,00000000
10101000,10100000
11101001,11111100
00100000,00000000
11000111,01010100
11011100,10000100
10100010,00101000
00011101,00011010
10000100,01000000
01010011,00011110
01110011,00010101
00110001,00000110
11101000,11100000
01010100,00101000
01110101,00110001
10111000,10110000
11000011,00100100
01011100,01111000
11011111,10100101
00010010,00000100
00000010,00000000
00101000,00100000
01110110,00101010
10000110,01100000
00000000,00000000
10100100,01010000
01111010,01100010
00101110,00111000
00001111,00000000
11011011,11110001
11010100,01101000
00001101,00000000
01101011,01110010
00100101,00010100
10001110,11100000
11110111,01001011
00011010,00010100
11111000,11110000
00100010,00001000
10001011,10110000
10101010,10011000
10001001,10010000
11101111,10010110
01000010,00010000
10010011,00110110
10011011,10101110
00010101,00001010
11011001,11000110
10100001,00010100
10001101,11010000
00101011,00101100
00010001,00000010
01010110,00111100
10011000,10010000
11001101,10000100
01001100,01100000
11010011,00100001
11010110,01000010
11010111,01011001
10000001,00010000
00001000,00000000
10010110,01101100
11000100,01100000
11100011,00101010
10010001,00010010
01010101,00100110
11110110,01011010
01111100,01010100
11010001,00011010
11100001,00011100
00101100,00110000
01110111,00100011
11111001,11100001
10111101,11110001
10000010,00100000
10110000,00000000
10111010,10000010
01001000,01000000
01111011,01101101
10010100,01001000
01000110,00110000
10001111,11110000
00101001,00100100
11011110,10110010
00111001,00110110
10011101,11000110
01000001,00001000
00110011,00001001
11110001,00011110
00110101,00011110
10011100,11011000
11010101,01110110
00100111,00011100
01110001,00001110
00101010,00101000
10000000,00000000
01110010,00011100
00001011,00000000
11001010,11110000
00111111,00101101
00111011,00111001
11011010,11101100
11110101,01101001
11111011,11000011
00011111,00011110
00000111,00000000
01100101,00111100
01010001,00001010
11100010,00111000
00110100,00011000
10110010,00101100
01110100,00111000
11100000,00000000
10010010,00100100
