task,method,fraction_basis_points,expected_trials,missing_trials,successes,semantic_recovery_successes,semantic_recovery_rate,wilson95_low,wilson95_high,mean_held_out_exact_accuracy,mean_held_out_bit_accuracy,median_gate_count,median_description_length
abs-plus-one,legacy-registry,500,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,legacy-registry,1000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,legacy-registry,2000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,legacy-registry,3000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,legacy-registry,5000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,legacy-registry,10000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,legacy-registry,20000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,legacy-registry,40000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,mdl-enumerator,500,20,0,20,0,0.000000,0.000000,0.161125,0.086471,0.590039,6,3
abs-plus-one,mdl-enumerator,1000,20,0,20,8,0.400000,0.218807,0.613418,0.685178,0.862292,24,5
abs-plus-one,mdl-enumerator,2000,20,0,20,17,0.850000,0.639581,0.947631,0.932271,0.974343,36,6
abs-plus-one,mdl-enumerator,3000,20,0,20,19,0.950000,0.763869,0.991119,0.977823,0.992661,36,6
abs-plus-one,mdl-enumerator,5000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,mdl-enumerator,10000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,mdl-enumerator,20000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,mdl-enumerator,40000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,abc-dont-care,500,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629686,,1
abs-plus-one,abc-dont-care,1000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629644,,3
abs-plus-one,abc-dont-care,2000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629243,,5
abs-plus-one,abc-dont-care,3000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630000,,8
abs-plus-one,abc-dont-care,5000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629588,,13
abs-plus-one,abc-dont-care,10000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.628391,,26
abs-plus-one,abc-dont-care,20000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630683,,51
abs-plus-one,abc-dont-care,40000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629286,,102
abs-plus-one,robdd,500,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629686,,1
abs-plus-one,robdd,1000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629644,,3
abs-plus-one,robdd,2000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629243,,5
abs-plus-one,robdd,3000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630000,,8
abs-plus-one,robdd,5000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629588,,13
abs-plus-one,robdd,10000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.628391,,26
abs-plus-one,robdd,20000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630683,,51
abs-plus-one,robdd,40000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629286,,102
abs-plus-one,sat-cegis,500,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629686,,1
abs-plus-one,sat-cegis,1000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629644,,3
abs-plus-one,sat-cegis,2000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629243,,5
abs-plus-one,sat-cegis,3000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630000,,8
abs-plus-one,sat-cegis,5000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629588,,13
abs-plus-one,sat-cegis,10000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.628391,,26
abs-plus-one,sat-cegis,20000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630683,,51
abs-plus-one,sat-cegis,40000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629286,,102
abs-plus-one,grammar-evolution,500,20,0,20,0,0.000000,0.000000,0.161125,0.086471,0.590039,6,3
abs-plus-one,grammar-evolution,1000,20,0,11,0,0.000000,0.000000,0.161125,0.510959,0.785555,24,5
abs-plus-one,grammar-evolution,2000,20,0,3,0,0.000000,0.000000,0.161125,0.548473,0.828951,10,5
abs-plus-one,grammar-evolution,3000,20,0,1,0,0.000000,0.000000,0.161125,0.556452,0.853226,10,5
abs-plus-one,grammar-evolution,5000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,grammar-evolution,10000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,grammar-evolution,20000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,grammar-evolution,40000,20,0,0,0,0.000000,0.000000,0.161125,,,,
abs-plus-one,memorization,500,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629686,,1
abs-plus-one,memorization,1000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629644,,3
abs-plus-one,memorization,2000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629243,,5
abs-plus-one,memorization,3000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630000,,8
abs-plus-one,memorization,5000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629588,,13
abs-plus-one,memorization,10000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.628391,,26
abs-plus-one,memorization,20000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.630683,,51
abs-plus-one,memorization,40000,20,0,20,0,0.000000,0.000000,0.161125,0.000000,0.629286,,102
abs-plus-one,oracle-expression,500,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,oracle-expression,1000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,oracle-expression,2000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,oracle-expression,3000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,oracle-expression,5000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,oracle-expression,10000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,oracle-expression,20000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
abs-plus-one,oracle-expression,40000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,36,6
add-one,legacy-registry,500,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,legacy-registry,1000,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,legacy-registry,2000,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,legacy-registry,3000,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,legacy-registry,5000,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,legacy-registry,10000,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,legacy-registry,20000,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,legacy-registry,40000,20,0,0,0,0.000000,0.000000,0.161125,,,,
add-one,mdl-enumerator,500,20,0,20,0,0.000000,0.000000,0.161125,0.036078,0.513098,6,3
add-one,mdl-enumerator,1000,20,0,20,19,0.950000,0.763869,0.991119,0.952964,0.978340,24,5
add-one,mdl-enumerator,2000,20,0,20,20,1.000000,0.838875,1.000000,1.000000,1.000000,24,5
