lattice,algorithm,Lx,Ly,N,beta,J,Gamma,epsilon,threads,observable,mean,stderr,tau_int,tau_window,tau_converged,sweep_seconds,ess_per_second,acceptance,mean_operator_count,thermalization_sweeps,measurement_sweeps,seed
triangular,loop,12,12,144,24.0,-1.0,4.76811,0.5,1,E,-4.991195266203704,0.0013096893604754801,4.072826354367199,21,true,0.00842564154065,14.57038848814404,NaN,49280.159,5000,20000,2026073201
triangular,loop,12,12,144,24.0,-1.0,4.76811,0.5,1,mx,0.9077801414025994,0.0007864334655546419,35.91144028381933,180,true,0.00842564154065,1.6524723530684902,NaN,49280.159,5000,20000,2026073201
triangular,loop,12,12,144,24.0,-1.0,4.76811,0.5,1,m2,0.0924367706750276,0.001751025027757007,109.39571150839083,547,true,0.00842564154065,0.5424587619536605,NaN,49280.159,5000,20000,2026073201
triangular,loop,12,12,144,24.0,-1.0,4.76811,0.5,1,m4,0.016871604284825262,0.00043071304426996746,80.55144562102014,403,true,0.00842564154065,0.7367051177092203,NaN,49280.159,5000,20000,2026073201
triangular,line,12,12,144,24.0,-1.0,4.76811,0.5,1,E,-4.989468153935185,0.001316519027646558,4.143518504132405,21,true,0.002094135125,57.62302061592839,0.33986225893472916,49274.1901,5000,20000,2026073202
triangular,line,12,12,144,24.0,-1.0,4.76811,0.5,1,mx,0.9084952147987903,0.0006628300231976779,26.15201188859695,131,true,0.002094135125,9.129777594289397,0.33986225893472916,49274.1901,5000,20000,2026073202
triangular,line,12,12,144,24.0,-1.0,4.76811,0.5,1,m2,0.08911425481251385,0.0016919632518814774,121.32540212144681,607,true,0.002094135125,1.967947750522198,0.33986225893472916,49274.1901,5000,20000,2026073202
triangular,line,12,12,144,24.0,-1.0,4.76811,0.5,1,m4,0.016066719480398756,0.00042335925247353567,90.46781566058398,453,true,0.002094135125,2.6391932914782297,0.33986225893472916,49274.1901,5000,20000,2026073202
honeycomb,loop,8,8,128,16.0,-1.0,2.1325,0.5,1,E,-2.3235593261718783,0.0007840149752981971,1.8393558724241557,10,true,0.00194680443365,139.63102127039406,NaN,13734.0095,5000,20000,2026073301
honeycomb,loop,8,8,128,16.0,-1.0,2.1325,0.5,1,mx,0.8701188933360201,0.0016804157069202426,39.777368391380435,199,true,0.00194680443365,6.456715195918681,NaN,13734.0095,5000,20000,2026073301
honeycomb,loop,8,8,128,16.0,-1.0,2.1325,0.5,1,m2,0.1060978396164598,0.005899423933842839,202.9443545070784,1015,true,0.00194680443365,1.2655249246528,NaN,13734.0095,5000,20000,2026073301
honeycomb,loop,8,8,128,16.0,-1.0,2.1325,0.5,1,m4,0.022182579653592147,0.0017922590886205257,176.12686511834568,881,true,0.00194680443365,1.4582167165338908,NaN,13734.0095,5000,20000,2026073301
honeycomb,line,8,8,128,16.0,-1.0,2.1325,0.5,1,E,-2.324762182617191,0.0007973565531484998,1.9674480485983745,10,true,0.00058427457405,434.96042408735616,0.31917102786961704,13736.47295,5000,20000,2026073302
honeycomb,line,8,8,128,16.0,-1.0,2.1325,0.5,1,mx,0.8708294942482419,0.0012196328632416943,23.362323248805698,117,true,0.00058427457405,36.63000586347668,0.31917102786961704,13736.47295,5000,20000,2026073302
honeycomb,line,8,8,128,16.0,-1.0,2.1325,0.5,1,m2,0.10506665860929924,0.004341408080679827,146.17177345147437,732,true,0.00058427457405,5.854495826256658,0.31917102786961704,13736.47295,5000,20000,2026073302
honeycomb,line,8,8,128,16.0,-1.0,2.1325,0.5,1,m4,0.021897777151055252,0.0013508373178796385,129.97695765501527,650,true,0.00058427457405,6.5839519021483275,0.31917102786961704,13736.47295,5000,20000,2026073302
