lattice,Lx,Ly,N,beta,Gamma,epsilon,observable,mean,stderr,tau_int,tau_window,tau_converged,sweep_seconds,ess_per_second,acceptance,mean_operator_count,thermalization_sweeps,measurement_sweeps,seed
triangular,12,12,144,24.0,4.76811,0.25,E,-4.9884810590277775,0.0020204236283654273,5.363881699453647,27,true,0.0019519077566,47.75639366710629,0.321784167163284,46678.7787,3000,10000,2026073401
triangular,12,12,144,24.0,4.76811,0.25,mx,0.9079222925369841,0.0011528125355946051,39.52292311452991,198,true,0.0019519077566,6.481293027861161,0.321784167163284,46678.7787,3000,10000,2026073401
triangular,12,12,144,24.0,4.76811,0.25,m2,0.08984465446024852,0.0024875511821237264,114.89286313795995,575,true,0.0019519077566,2.2295522892079602,0.321784167163284,46678.7787,3000,10000,2026073401
triangular,12,12,144,24.0,4.76811,0.25,m4,0.016308388613456255,0.0006783796017966015,99.71834172309472,499,true,0.0019519077566,2.5688317875784428,0.321784167163284,46678.7787,3000,10000,2026073401
triangular,12,12,144,24.0,4.76811,0.5,E,-4.989113466435184,0.0017121562820126956,3.5257881149755854,18,true,0.0021123315841,67.13541874503692,0.33974485208763494,49272.9643,3000,10000,2026073402
triangular,12,12,144,24.0,4.76811,0.5,mx,0.9076706326277894,0.0007472523356469611,18.572714549777192,93,true,0.0021123315841,12.7447854146878,0.33974485208763494,49272.9643,3000,10000,2026073402
triangular,12,12,144,24.0,4.76811,0.5,m2,0.09121542729390647,0.002300897149185199,92.39482902679869,462,true,0.0021123315841,2.561888625136208,0.33974485208763494,49272.9643,3000,10000,2026073402
triangular,12,12,144,24.0,4.76811,0.5,m4,0.01660371950714609,0.0005837466359592351,72.27406939699625,362,true,0.0021123315841,3.2751063207048072,0.33974485208763494,49272.9643,3000,10000,2026073402
triangular,12,12,144,24.0,4.76811,1.0,E,-4.990698940972223,0.0016131856593812684,2.9296056053107082,15,true,0.0023713103893,71.97347014611536,0.3625235669019134,54462.4437,3000,10000,2026073403
triangular,12,12,144,24.0,4.76811,1.0,mx,0.9073101345109411,0.0009765572629457566,27.912104836528123,140,true,0.0023713103893,7.554209286924912,0.3625235669019134,54462.4437,3000,10000,2026073403
triangular,12,12,144,24.0,4.76811,1.0,m2,0.09194025860184245,0.004178827992358206,274.8678927280713,1375,true,0.0023713103893,0.7671098995266126,0.3625235669019134,54462.4437,3000,10000,2026073403
triangular,12,12,144,24.0,4.76811,1.0,m4,0.016689647747287817,0.000872137417755019,153.4960219193253,768,true,0.0023713103893,1.3736765222784955,0.3625235669019134,54462.4437,3000,10000,2026073403
honeycomb,8,8,128,16.0,2.1325,0.25,E,-2.3247008300781284,0.001115400179331151,2.171989389138517,11,true,0.0005522335576,416.85931561713926,0.3015916654711466,12968.3473,3000,10000,2026073501
honeycomb,8,8,128,16.0,2.1325,0.25,mx,0.8680013555099652,0.004891032359275059,184.7790795890619,924,true,0.0005522335576,4.899981168309527,0.3015916654711466,12968.3473,3000,10000,2026073501
honeycomb,8,8,128,16.0,2.1325,0.25,m2,0.11212994909546467,0.0168736748702476,827.3742708490427,2000,false,0.0005522335576,1.0943221733917883,0.3015916654711466,12968.3473,3000,10000,2026073501
honeycomb,8,8,128,16.0,2.1325,0.25,m4,0.024036072770989743,0.005219840491708815,746.4554392627416,2000,false,0.0005522335576,1.2129511859116855,0.3015916654711466,12968.3473,3000,10000,2026073501
honeycomb,8,8,128,16.0,2.1325,0.5,E,-2.322326708984378,0.0011582076750468982,2.0451656854317366,11,true,0.0005916933967,413.18522606381117,0.31919969515518265,13731.4851,3000,10000,2026073502
honeycomb,8,8,128,16.0,2.1325,0.5,mx,0.8695971021395078,0.002776313631171995,52.920449855562374,265,true,0.0005916933967,15.967971708090866,0.31919969515518265,13731.4851,3000,10000,2026073502
honeycomb,8,8,128,16.0,2.1325,0.5,m2,0.10676694275447798,0.013242999631495972,424.08213718475207,2000,false,0.0005916933967,1.9926145715138237,0.31919969515518265,13731.4851,3000,10000,2026073502
honeycomb,8,8,128,16.0,2.1325,0.5,m4,0.02262390916099055,0.004022633741655076,368.365110493718,1843,true,0.0005916933967,2.294007282449928,0.31919969515518265,13731.4851,3000,10000,2026073502
honeycomb,8,8,128,16.0,2.1325,1.0,E,-2.3253860351562534,0.0010751650917494434,1.5366923675158115,8,true,0.000637916054,510.0579701675321,0.3406407288449141,15273.7506,3000,10000,2026073503
honeycomb,8,8,128,16.0,2.1325,1.0,mx,0.867893395552462,0.001696969643382377,20.962768228619964,105,true,0.000637916054,37.390204442414614,0.3406407288449141,15273.7506,3000,10000,2026073503
honeycomb,8,8,128,16.0,2.1325,1.0,m2,0.1142359739219548,0.006866414370627929,148.91449112774978,745,true,0.000637916054,5.26343798921927,0.3406407288449141,15273.7506,3000,10000,2026073503
honeycomb,8,8,128,16.0,2.1325,1.0,m4,0.02439954368285988,0.0021387647179326418,128.6176754867477,644,true,0.000637916054,6.09404723558244,0.3406407288449141,15273.7506,3000,10000,2026073503
