L,h,start,seed,tau_m2,tau_m4,tau_S0,tau_Sq,tau_E,block_bins,independent_blocks
12,2.11,ordered,202628501201,12.284925202173579,10.618757293989072,11.94916561946365,8.180030830777692,0.6310403856907848,33,6
12,2.11,ordered,202628501202,16.459299096086273,13.503375447021256,15.652206249268579,7.13508400037067,0.5985144529743683,33,6
12,2.11,random,202628501101,6.403187276042147,6.058001449859519,6.109893093550924,4.351337028505343,0.6089386158470359,33,6
12,2.11,random,202628501102,10.906816363182234,10.310460576697642,10.724787189089074,8.991747500175315,0.5705705310265549,33,6
12,2.1325,ordered,202628502201,7.859667669858482,4.283105145454961,7.661519793698236,4.798875940493407,0.6140776843876129,39,5
12,2.1325,ordered,202628502202,10.277152222701078,8.462106228391939,10.08873560595837,7.374842068842819,0.7382185636164335,39,5
12,2.1325,random,202628502101,19.20532716755653,15.590017296371173,18.190817787364285,10.94204065469638,0.8027176344108136,39,5
12,2.1325,random,202628502102,10.86480771813263,9.479555351596426,10.669266119611201,5.668938909507938,0.5397423477270257,39,5
12,2.15,ordered,202628503201,16.941669240154866,13.960433701487789,16.38104717700851,9.685828765429635,0.5389286056405483,34,5
12,2.15,ordered,202628503202,6.894745873565764,5.857177476087272,7.130241259701233,2.6838031336778014,0.769022366698998,34,5
12,2.15,random,202628503101,10.814957003364658,9.784992798372253,10.70586972327327,4.683377247082623,0.8271646320634536,34,5
12,2.15,random,202628503102,5.506407323595145,3.5366437741539456,3.432543088299036,3.160341037769408,0.5326139092854882,34,5
24,2.11,ordered,202629701201,31.15787320175094,30.00023051063188,31.303200774773117,21.454299971411615,0.56121657425184,63,3
24,2.11,ordered,202629701202,7.744472554480605,7.823510872782682,7.89456504896736,9.373457957914347,0.9118799082009768,63,3
24,2.11,random,202629701101,15.607372377145094,15.00788295736265,15.74548000126614,14.963429255954315,1.131883586872873,63,3
24,2.11,random,202629701102,14.879177310711077,13.206729962028867,17.418844033830062,6.04747119785394,0.58475230844332,63,3
24,2.1325,ordered,202629702201,16.29547780758887,12.974095915064773,16.262587945298407,9.539431339502466,0.5405225771529164,73,2
24,2.1325,ordered,202629702202,13.970015185145437,13.760592444641345,14.77322263576556,12.73923845274829,0.6563339480207862,73,2
24,2.1325,random,202629702101,36.37994176863815,30.665155275957567,33.7037930498556,23.656683882858083,0.5722840222581633,73,2
24,2.1325,random,202629702102,10.653175727896436,9.613243489473351,10.38288790531932,17.88245411198242,0.5443555421814248,73,2
24,2.15,ordered,202629703201,15.003391531626319,10.429844787515831,13.298220571809413,11.403372130239953,0.7520908040628975,36,5
24,2.15,ordered,202629703202,11.887018265131916,10.120032805728309,11.254408496866553,13.936941499384062,0.7279266926807701,36,5
24,2.15,random,202629703101,17.95346234843108,15.184189882909491,17.66005174440122,13.339527879119236,0.6960279904160693,36,5
24,2.15,random,202629703102,12.070961963864631,11.137282120897732,12.13487444447604,6.742744249820549,0.666039164701307,36,5
48,2.11,ordered,202632101201,23.060318309423344,21.338664431416046,32.13163931809302,12.237607241320292,0.7229479061690901,80,2
48,2.11,ordered,202632101202,39.96431812541859,35.27289194607558,39.9564363898601,28.664276148636777,0.8189360755137756,80,2
48,2.11,random,202632101101,38.668823054175036,35.07460438459072,38.26415054754648,36.61992823260172,0.7756031408778622,80,2
48,2.11,random,202632101102,31.924963967801514,30.097011558909422,22.296776424806772,23.18519947655885,0.6005624183977265,80,2
48,2.1325,ordered,202632102201,30.098153237534493,24.88679239077103,30.30628194814918,13.830658971661755,0.8397822708983965,61,3
48,2.1325,ordered,202632102202,23.600943719476994,18.67916833203228,18.868068141780096,12.726713143577802,0.6431787717820835,61,3
48,2.1325,random,202632102101,7.773107072168055,7.051245841157481,16.065686248615812,7.313992309758358,0.7952930245291251,61,3
48,2.1325,random,202632102102,19.29235539205391,17.979626971032978,15.21760433313376,10.354109782523386,0.8701043429267373,61,3
48,2.15,ordered,202632103201,16.42073362097346,13.909365541772125,18.349498121324977,13.416235666506822,0.6383370410704963,64,3
48,2.15,ordered,202632103202,13.518017394127732,9.737887046735095,11.885190803332577,6.29789512884328,0.512626904749828,64,3
48,2.15,random,202632103101,31.982157271426093,24.032214264281265,29.625579109634455,12.93301679044942,0.5727902228674363,64,3
48,2.15,random,202632103102,14.456261536942696,10.98425013633352,10.85029838049062,21.857191410981955,0.5165039853182111,64,3
