model,channel,parameter,information_loss,central_charge,standard_error,samples
clean_ising,identity,0.0,0.0,0.4999806799012175,0.0,1
nishimori,identity,0.0,0.0,0.3700802276519329,0.05047267163857454,1600
self_dual,confusion,0.05,0.05,0.4623912211753852,0.3178459991238908,160
self_dual,confusion,0.1,0.1,0.010241558755210356,0.2399485594403538,160
self_dual,confusion,0.2,0.2,-0.30054550209835257,0.12228760161731385,160
self_dual,confusion,0.35,0.35,-0.5045973007611659,0.03620016638756722,160
self_dual,confusion,0.5,0.5,-0.49998067990144646,8.804641301797746e-18,160
self_dual,erasure,0.0,1.0,-0.49998067990135464,0.0,160
self_dual,erasure,0.5,0.5,0.048250627014556714,0.3778131189772342,160
self_dual,erasure,0.65,0.35,-0.23897418052154862,0.23789065754794553,160
self_dual,erasure,0.8,0.19999999999999996,-0.4199628707250193,0.40122358879867875,160
self_dual,erasure,0.9,0.09999999999999998,0.03997448861587518,0.5896296285676098,160
self_dual,erasure,0.95,0.050000000000000044,0.44304513387254474,0.5669584686170059,160
self_dual,identity,0.0,0.0,0.8069058069514213,0.39985060342406664,160
